RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;Katholieke Volkspartij (KVP);Partij van de Arbeid (P.v.d.A.);Anti-Revolutionaire Partij;Communistische Partij van Nederland;Christelijk-Historische Unie;Partij van de Vrijheid;Staatkundig Gereformeerde Partij (SGP)
Oosterhout;G0826;11280;Noord-Brabant;P30;0;8801;0;;8801;8152;449;82;32;50;23;6
Oosterland;G1136;11237;Zeeland;P29;0;976;0;;976;4;230;110;7;195;127;288
Oosthuizen;G0430;11121;Noord-Holland;P27;0;540;0;;540;27;358;7;65;20;53;1
Oostkapelle;G1137;10720;Zeeland;P29;0;830;0;;830;10;130;290;21;192;18;153
Ooststellingwerf;G0085;10836;Fryslân;P21;0;8374;0;;8374;73;3604;1639;1514;1109;381;13
Oostvoorne;G0581;10009;Zuid-Holland;P28;0;2331;0;;2331;59;957;272;456;108;461;7
Oostzaan;G0431;11303;Noord-Holland;P27;0;2476;0;;2476;45;978;352;840;68;138;38
Ootmarsum;G0176;11079;Overijssel;P23;0;905;0;;905;786;65;20;4;23;4;3
Ophemert;G0270;10829;Gelderland;P25;0;701;0;;701;14;278;114;5;156;111;23
Oploo, Sint Anthonis en Ledeacker;G0827;11415;Noord-Brabant;P30;0;2263;0;;2263;2235;10;2;4;8;;4
Opmeer;G0432;10609;Noord-Holland;P27;0;334;0;;334;211;96;5;10;2;10;
Opperdoes;G0433;10523;Noord-Holland;P27;0;682;0;;682;4;131;329;13;160;7;31
Opsterland;G0086;10005;Fryslân;P21;0;10836;0;;10836;60;4006;2226;2940;881;669;13
Oss;G0828;10834;Noord-Brabant;P30;0;9236;0;;9236;7074;1668;122;133;46;160;20
Ossendrecht;G0829;10929;Noord-Brabant;P30;0;1605;0;;1605;1348;182;33;14;12;5;4
Oterleek;G0434;10133;Noord-Holland;P27;0;484;0;;484;53;265;29;45;18;60;1
Ottersum;G0955;10862;Limburg;P31;0;1229;0;;1229;1158;49;;14;2;5;1
Ottoland;G0582;10097;Zuid-Holland;P28;0;341;0;;341;1;20;245;6;29;15;24
Oud- en Nieuw-Gastel;G0831;11363;Noord-Brabant;P30;0;3344;0;;3344;3031;172;51;21;55;1;4
Oud-Alblas;G0583;10826;Zuid-Holland;P28;0;663;0;;663;;90;293;4;116;26;129
Oud-Beijerland;G0584;11301;Zuid-Holland;P28;0;3771;0;;3771;151;1012;1455;26;229;333;533
Ouddorp;G1142;11126;Zuid-Holland;P28;0;2004;0;;2004;5;120;881;4;123;143;724
Oude Niedorp;G0436;10896;Noord-Holland;P27;0;768;0;;768;534;154;20;31;7;13;7
Oude Pekela;G0038;10848;Groningen;P20;0;3661;0;;3661;246;1519;383;1001;257;223;6
Oude Tonge;G1143;10714;Zuid-Holland;P28;0;1527;0;;1527;370;456;300;20;15;98;258
Oudelande;G0695;11139;Zeeland;P29;0;474;0;;474;52;77;95;4;168;47;19
Oudenbosch;G0830;10397;Noord-Brabant;P30;0;3080;0;;3080;2787;158;42;10;22;22;7
Oudendijk;G0435;11090;Noord-Holland;P27;0;279;0;;279;8;193;3;48;6;19;
Oudenhoorn;G0586;10380;Zuid-Holland;P28;0;480;0;;480;2;218;94;55;28;76;3
Oudenrijn;G1144;10114;Utrecht;P26;0;658;0;;658;272;74;153;6;94;38;13
Ouder-Amstel;G0437;10998;Noord-Holland;P27;0;2858;0;;2858;1171;519;404;138;524;66;15
Ouderkerk aan den IJssel;G0587;10095;Zuid-Holland;P28;0;1779;0;;1779;3;305;653;28;30;203;536
Oudewater;G0589;10188;Zuid-Holland;P28;0;1750;0;;1750;909;171;280;5;282;63;38
Oudorp;G0438;10363;Noord-Holland;P27;0;1059;0;;1059;517;322;52;89;34;37;1
Oud-Vossemeer;G0696;10134;Zeeland;P29;0;1144;0;;1144;269;84;257;11;298;104;98
Ouwerkerk;G1148;10968;Zeeland;P29;0;349;0;;349;2;212;24;1;22;52;33
Overasselt;G0271;10952;Gelderland;P25;0;1251;0;;1251;1193;21;4;2;26;5;
Overslag;G0697;10730;Zeeland;P29;0;122;0;;122;80;23;3;;12;1;2
Ovezande;G0698;11422;Zeeland;P29;0;762;0;;762;610;31;12;;106;2;
Pannerden;G0272;10518;Gelderland;P25;0;698;0;;698;668;23;1;3;2;1;
Papekop;G1151;11244;Zuid-Holland;P28;0;218;0;;218;79;9;64;;55;;9
Papendrecht;G0590;10427;Zuid-Holland;P28;0;2844;0;;2844;42;882;1246;209;163;109;188
Peize;G0124;10501;Drenthe;P22;0;1331;0;;1331;10;636;55;242;54;324;6
Peursum;G1154;10391;Zuid-Holland;P28;0;244;0;;244;;49;101;;11;56;27
Philippine;G0699;10486;Zeeland;P29;0;582;0;;582;474;70;10;4;13;8;2
Piershil;G0591;10179;Zuid-Holland;P28;0;464;0;;464;;133;138;5;36;55;96
Pijnacker;G0594;10031;Zuid-Holland;P28;0;3608;0;;3608;1152;615;516;58;834;155;237
Poederoijen;G1155;10135;Gelderland;P25;0;694;0;;694;4;140;241;2;35;9;263
Polsbroek;G0338;10993;Utrecht;P26;0;493;0;;493;80;50;217;5;53;17;57
Poortugal;G0592;11395;Zuid-Holland;P28;0;1469;0;;1469;115;542;364;68;183;131;60
Poortvliet;G0700;11181;Zeeland;P29;0;892;0;;892;4;35;155;9;172;54;451
Posterholt;G0956;10456;Limburg;P31;0;1026;0;;1026;919;98;2;4;3;;
Purmerend;G0439;11066;Noord-Holland;P27;0;3741;0;;3741;1008;1456;202;665;49;321;5
Putte;G0833;10099;Noord-Brabant;P30;0;789;0;;789;621;126;13;7;7;12;1
Putten;G0273;11109;Gelderland;P25;0;4718;0;;4718;106;629;831;260;2347;149;353
Puttershoek;G0593;10222;Zuid-Holland;P28;0;1279;0;;1279;38;522;293;9;79;152;171
Raalte;G0177;10279;Overijssel;P23;0;5536;0;;5536;3978;699;94;13;582;141;3
Raamsdonk;G0834;11391;Noord-Brabant;P30;0;3308;0;;3308;2361;184;167;21;443;31;78
Rauwerderhem;G0087;10330;Fryslân;P21;0;1539;0;;1539;191;890;190;83;99;80;1
Ravenstein;G0835;10805;Noord-Brabant;P30;0;2368;0;;2368;2268;77;3;5;3;10;1
Reeuwijk;G0595;10485;Zuid-Holland;P28;0;2502;0;;2502;708;499;611;99;123;295;156
Renesse;G1159;10412;Zeeland;P29;0;483;0;;483;6;105;59;7;81;187;26
Renkum;G0274;11325;Gelderland;P25;0;10962;0;;10962;2357;3019;1925;728;1573;908;224
Renswoude;G0339;10269;Utrecht;P26;0;1047;0;;1047;39;192;312;12;229;38;166
Retranchement;G0701;10400;Zeeland;P29;0;412;0;;412;11;199;38;10;71;80;2
Reusel;G0836;10162;Noord-Brabant;P30;0;1248;0;;1248;1211;28;4;3;1;1;
Rheden;G0275;11355;Gelderland;P25;0;16120;0;;16120;2758;6290;1773;1034;2527;1526;40
Rhenen;G0340;10309;Utrecht;P26;0;4839;0;;4839;157;1773;813;128;904;157;870
Rhoon;G0596;10903;Zuid-Holland;P28;0;1455;0;;1455;196;263;341;48;472;97;28
Ridderkerk;G0597;10646;Zuid-Holland;P28;0;9103;0;;9103;68;2994;2699;145;1086;507;1569
Riethoven;G0837;10455;Noord-Brabant;P30;0;395;0;;395;390;5;;;;;
Rietveld;G1160;10828;Zuid-Holland;P28;0;296;0;;296;66;24;89;2;99;5;11
Rijnsaterwoude;G0601;11129;Zuid-Holland;P28;0;358;0;;358;147;38;80;;30;14;45
Rijnsburg;G0602;11118;Zuid-Holland;P28;0;2605;0;;2605;81;159;1347;3;933;27;38
Rijsbergen;G0841;10866;Noord-Brabant;P30;0;1392;0;;1392;1289;61;24;3;11;3;
Rijssen;G0178;10358;Overijssel;P23;0;5462;0;;5462;600;906;970;52;198;93;2610
Rijswijk;G0603;11133;Zuid-Holland;P28;0;12144;0;;12144;3554;3171;1813;671;962;1774;115
Rijswijk (NB);G0842;11016;Noord-Brabant;P30;0;365;0;;365;4;68;135;;144;2;4
Rilland-Bath;G0702;10479;Zeeland;P29;0;1233;0;;1233;150;217;126;12;435;80;186
Ritthem;G1163;10652;Zeeland;P29;0;135;0;;135;2;26;21;4;76;2;4
Rockanje;G0598;10464;Zuid-Holland;P28;0;1683;0;;1683;23;526;330;386;67;344;6
Roden;G0125;10699;Drenthe;P22;0;3059;0;;3059;17;1295;534;406;313;483;1
Roermond;G0957;11313;Limburg;P31;0;9818;0;;9818;7455;1674;142;337;46;138;26
Roggel;G0958;10505;Limburg;P31;0;1145;0;;1145;1138;5;1;1;;;
Rolde;G0126;10470;Drenthe;P22;0;1797;0;;1797;14;996;80;25;41;637;1
Roosendaal en Nispen;G0838;10407;Noord-Brabant;P30;0;13860;0;;13860;11515;1537;335;173;138;106;23
Roosteren;G0959;10954;Limburg;P31;0;562;0;;562;518;38;4;;1;;1
Rosmalen;G0839;10970;Noord-Brabant;P30;0;2927;0;;2927;2645;227;15;15;11;9;3
Rossum;G0276;10860;Gelderland;P25;0;804;0;;804;246;193;149;4;142;60;10
Rotterdam;G0599;10345;Zuid-Holland;P28;0;340171;0;;340171;48382;132393;44600;62137;16078;25252;6812
Rozenburg;G0600;11314;Zuid-Holland;P28;0;1534;0;;1534;4;201;518;3;658;116;24
Rozendaal;G0277;10684;Gelderland;P25;0;261;0;;261;12;113;24;4;46;55;
Rucphen;G0840;11152;Noord-Brabant;P30;0;4043;0;;4043;3802;125;76;8;18;3;2
Ruinen;G0127;10629;Drenthe;P22;0;2543;0;;2543;31;1009;392;74;240;781;3
Ruinerwold;G0128;10944;Drenthe;P22;0;1605;0;;1605;12;591;420;9;150;420;1
Ruurlo;G0278;10879;Gelderland;P25;0;2460;0;;2460;549;970;199;54;61;603;5
Ruwiel;G1164;10526;Utrecht;P26;0;310;0;;310;58;8;99;;51;1;75
Sappemeer;G1168;10080;Groningen;P20;0;3920;0;;3920;414;1233;361;1401;107;336;1
Sas van Gent;G0704;11405;Zeeland;P29;0;1650;0;;1650;848;557;21;58;52;103;7
Sassenheim;G0604;10612;Zuid-Holland;P28;0;3221;0;;3221;1555;306;801;10;441;61;41
Schaesberg;G0960;11335;Limburg;P31;0;3531;0;;3531;2463;508;32;458;52;10;8
Schagen;G0441;10511;Noord-Holland;P27;0;2525;0;;2525;591;1063;108;305;59;379;1
Schaijk;G0843;10276;Noord-Brabant;P30;0;1699;0;;1699;1670;19;5;1;1;3;
Schalkwijk;G1169;10378;Utrecht;P26;0;742;0;;742;626;12;49;7;36;5;5
Scheemda;G0039;10711;Groningen;P20;0;3779;0;;3779;37;1496;675;567;701;284;2
Schellinkhout;G0442;10772;Noord-Holland;P27;0;329;0;;329;19;198;13;30;7;53;1
Schelluinen;G0605;11399;Zuid-Holland;P28;0;249;0;;249;;87;44;2;6;40;69
Schermerhorn;G0443;10308;Noord-Holland;P27;0;625;0;;625;199;239;110;42;10;20;1
Scherpenisse;G0705;10375;Zeeland;P29;0;717;0;;717;1;99;68;10;66;63;387
Scherpenzeel;G0279;11146;Gelderland;P25;0;1173;0;;1173;7;353;232;20;381;62;107
Schiedam;G0606;11260;Zuid-Holland;P28;0;35429;0;;35429;9275;12213;4339;4070;3284;1683;462
Schiermonnikoog;G0088;10355;Fryslân;P21;0;421;0;;421;13;204;120;7;51;20;1
Schijndel;G0844;11178;Noord-Brabant;P30;0;4594;0;;4594;4266;228;19;53;13;9;1
Schimmert;G0961;11076;Limburg;P31;0;915;0;;915;884;29;;1;;1;
Schinnen;G0962;10132;Limburg;P31;0;1871;0;;1871;1671;130;7;57;1;3;2
Schinveld;G0963;10492;Limburg;P31;0;1456;0;;1456;1311;91;18;30;4;1;1
Schipluiden;G0607;10130;Zuid-Holland;P28;0;2088;0;;2088;1185;62;374;13;417;14;23
Schoondijke;G0706;10189;Zeeland;P29;0;969;0;;969;173;249;216;15;101;182;18
Schoonebeek;G0129;10064;Drenthe;P22;0;1960;0;;1960;667;357;351;17;385;171;1
Schoonhoven;G0608;10980;Zuid-Holland;P28;0;2576;0;;2576;431;882;715;52;170;156;159
Schoonrewoerd;G0609;10214;Zuid-Holland;P28;0;539;0;;539;1;77;209;1;74;20;156
Schoorl;G0444;10627;Noord-Holland;P27;0;1616;0;;1616;454;626;47;301;18;152;2
Serooskerke (Schouwen);G1175;11014;Zeeland;P29;0;146;0;;146;1;55;13;4;38;22;6
Serooskerke (Walcheren);G1176;11256;Zeeland;P29;0;824;0;;824;1;26;501;1;220;6;68
Sevenum;G0964;10045;Limburg;P31;0;1733;0;;1733;1712;18;;3;;;
's-Graveland;G0390;10534;Noord-Holland;P27;0;860;0;;860;147;165;164;43;225;76;34
's-Gravendeel;G0517;10052;Zuid-Holland;P28;0;2707;0;;2707;8;905;869;23;362;349;158
's-Gravenhage;G0518;11434;Zuid-Holland;P28;0;275957;0;;275957;57767;87478;37250;36721;15605;31592;2088
's-Gravenmoer;G0787;10469;Noord-Brabant;P30;0;688;0;;688;25;89;367;7;162;12;15
's-Gravenpolder;G0666;11059;Zeeland;P29;0;711;0;;711;82;75;86;3;174;22;266
's-Gravenzande;G0519;10640;Zuid-Holland;P28;0;3839;0;;3839;188;933;991;84;1119;261;238
's-Heer Abtskerke;G0669;10337;Zeeland;P29;0;238;0;;238;34;23;22;1;119;25;13
's-Heer Arendskerke;G0670;10875;Zeeland;P29;0;2546;0;;2546;496;269;663;10;830;117;152
's-Heerenhoek;G0671;10721;Zeeland;P29;0;704;0;;704;645;6;16;3;28;5;
's-Hertogenbosch;G0796;10054;Noord-Brabant;P30;0;25412;0;;25412;17846;5156;481;1278;231;326;38
Sijbekarspel;G0447;11167;Noord-Holland;P27;0;772;0;;772;330;308;15;41;3;72;
Simpelveld;G0965;10515;Limburg;P31;0;1789;0;;1789;1550;166;9;53;2;7;2
Sint Annaland;G0708;11200;Zeeland;P29;0;1329;0;;1329;11;153;203;8;62;112;736
Sint Geertruid;G0966;10288;Limburg;P31;0;447;0;;447;439;8;;;;;
Sint Jansteen;G0709;10864;Zeeland;P29;0;1705;0;;1705;1450;147;24;25;22;20;11
Sint Laurens;G1179;10106;Zeeland;P29;0;555;0;;555;7;65;237;2;157;23;59
Sint Maarten;G0445;10740;Noord-Holland;P27;0;785;0;;785;148;264;169;140;13;37;
Sint Maartensdijk;G0711;10716;Zeeland;P29;0;1365;0;;1365;6;449;184;7;55;84;546
Sint Odiliënberg;G0967;10278;Limburg;P31;0;664;0;;664;611;46;2;2;;3;
Sint Pancras;G0446;10513;Noord-Holland;P27;0;836;0;;836;27;302;201;73;174;24;13
Sint Philipsland;G0712;10394;Zeeland;P29;0;1162;0;;1162;3;51;156;6;145;51;712
Sint-Michielsgestel;G0845;10496;Noord-Brabant;P30;0;2873;0;;2873;2635;160;6;22;32;17;
Sint-Oedenrode;G0846;10399;Noord-Brabant;P30;0;4006;0;;4006;3744;154;7;62;27;10;
Sittard;G0968;11230;Limburg;P31;0;8301;0;;8301;6337;1476;58;319;49;51;11
Sleen;G0130;10489;Drenthe;P22;0;2957;0;;2957;17;1130;470;302;334;692;2
Slenaken;G0969;11274;Limburg;P31;0;285;0;;285;273;6;2;2;1;1;
Sliedrecht;G0610;11331;Zuid-Holland;P28;0;7605;0;;7605;64;2873;1509;682;722;522;1206
Slochteren;G0040;10747;Groningen;P20;0;7079;0;;7079;86;2599;1567;801;754;1162;6
Sloten (F);G0089;10867;Fryslân;P21;0;386;0;;386;60;112;76;3;115;7;5
Sluis;G0713;10895;Zeeland;P29;0;1146;0;;1146;634;266;62;23;79;58;8
Smallingerland;G0090;10405;Fryslân;P21;0;9533;0;;9533;93;3554;3323;1473;789;269;6
Smilde;G0131;11033;Drenthe;P22;0;3162;0;;3162;10;1007;1019;131;785;172;2
Sneek;G0091;11421;Fryslân;P21;0;9582;0;;9582;1249;3405;1990;1019;1323;521;19
Snelrewaard;G0341;10802;Utrecht;P26;0;290;0;;290;163;4;45;2;40;7;24
Soest;G0342;11021;Utrecht;P26;0;10974;0;;10974;3170;2835;2037;986;702;974;178
Someren;G0847;10203;Noord-Brabant;P30;0;3370;0;;3370;3266;48;6;3;45;2;
Sommelsdijk;G1184;11097;Zuid-Holland;P28;0;1992;0;;1992;25;584;649;7;33;254;435
Son en Breugel;G0848;10549;Noord-Brabant;P30;0;1711;0;;1711;1608;81;7;5;9;1;
Spanbroek;G1186;10063;Noord-Holland;P27;0;999;0;;999;783;160;5;25;5;21;
Spaubeek;G0970;10552;Limburg;P31;0;756;0;;756;668;67;2;14;3;1;1
Spijkenisse;G0612;10735;Zuid-Holland;P28;0;1354;0;;1354;10;493;332;79;197;170;54
Sprang-Capelle;G0849;11233;Noord-Brabant;P30;0;2912;0;;2912;150;446;1059;21;641;55;519
Stad aan 't Haringvliet;G1188;11239;Zuid-Holland;P28;0;677;0;;677;1;150;231;1;47;118;129
Stad Delden;G0179;10913;Overijssel;P23;0;1929;0;;1929;1138;422;121;38;87;117;2
Standdaarbuiten;G0850;11212;Noord-Brabant;P30;0;894;0;;894;828;18;13;4;29;;
Staphorst;G0180;11362;Overijssel;P23;0;4229;0;;4229;28;636;1719;61;357;211;1193
Stavenisse;G0714;10619;Zeeland;P29;0;784;0;;784;4;47;145;7;48;28;492
Stavoren;G0092;10240;Fryslân;P21;0;578;0;;578;6;159;156;32;197;16;1
Stedum;G0041;10771;Groningen;P20;0;1360;0;;1360;3;324;574;44;284;114;1
Steenbergen;G0851;10731;Noord-Brabant;P30;0;5029;0;;5029;4297;364;124;35;83;51;24
Steenderen;G0280;10497;Gelderland;P25;0;2031;0;;2031;905;339;337;10;294;136;10
Steenwijk;G0181;10546;Overijssel;P23;0;4489;0;;4489;210;2138;731;281;733;320;15
Steenwijkerwold;G0182;11347;Overijssel;P23;0;3696;0;;3696;612;1326;446;145;936;163;26
Stein;G0971;11319;Limburg;P31;0;2276;0;;2276;1833;321;4;95;17;3;3
Stellendam;G1195;10087;Zuid-Holland;P28;0;975;0;;975;2;196;542;11;58;74;85
Stevensweert;G0972;11203;Limburg;P31;0;633;0;;633;549;62;;5;10;5;2
Stiphout;G1196;11386;Noord-Brabant;P30;0;701;0;;701;649;37;2;6;4;1;
Stolwijk;G0615;11250;Zuid-Holland;P28;0;1434;0;;1434;11;600;283;28;29;263;214
Stoutenburg;G0343;10438;Utrecht;P26;0;798;0;;798;527;34;72;13;98;5;44
Stramproy;G0973;11186;Limburg;P31;0;781;0;;781;759;17;;;2;1;2
Streefkerk;G0616;11105;Zuid-Holland;P28;0;942;0;;942;;215;331;17;120;92;162
Strijen;G0617;10558;Zuid-Holland;P28;0;2692;0;;2692;5;900;658;36;469;423;165
Susteren;G0974;10457;Limburg;P31;0;2092;0;;2092;1803;239;7;33;5;3;2
Swalmen;G0975;10474;Limburg;P31;0;2471;0;;2471;2290;129;15;19;7;5;6
't Zandt;G0054;10956;Groningen;P20;0;1834;0;;1834;3;747;516;33;247;266;4
Tegelen;G0976;11333;Limburg;P31;0;5785;0;;5785;5267;321;30;139;11;14;3
Ten Boer;G0009;10891;Groningen;P20;0;2972;0;;2972;12;900;1254;164;193;414;3
Ter Aar;G0480;11104;Zuid-Holland;P28;0;1953;0;;1953;1155;58;262;3;373;33;68
Terheijden;G0853;10905;Noord-Brabant;P30;0;2247;0;;2247;2052;119;25;8;30;8;3
Termunten;G0042;11023;Groningen;P20;0;2181;0;;2181;8;701;567;487;200;206;
