RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;Katholieke Volkspartij (KVP);Partij van de Arbeid (P.v.d.A.);Anti-Revolutionaire Partij;Communistische Partij van Nederland;Christelijk-Historische Unie;Partij van de Vrijheid;Staatkundig Gereformeerde Partij (SGP)
Wieringerwaard;G0464;11164;Noord-Holland;P27;0;814;0;;814;37;374;83;163;20;128;2
Wijchen;G0296;10723;Gelderland;P25;0;3796;0;;3796;3606;121;17;6;23;20;3
Wijdenes;G0469;10631;Noord-Holland;P27;0;587;0;;587;24;382;28;54;9;83;
Wijdewormer;G0470;10434;Noord-Holland;P27;0;401;0;;401;154;123;30;47;13;31;
Wijhe;G0190;10888;Overijssel;P23;0;2857;0;;2857;788;876;284;62;560;231;25
Wijk bij Duurstede;G0352;10760;Utrecht;P26;0;1776;0;;1776;1017;286;75;12;292;46;40
Wijk en Aalburg;G0876;11084;Noord-Brabant;P30;0;1289;0;;1289;14;183;506;5;49;14;464
Wijlre;G0991;10131;Limburg;P31;0;1145;0;;1145;1085;40;6;9;1;2;2
Wijnandsrade;G0992;10992;Limburg;P31;0;359;0;;359;320;34;2;2;1;;
Wijngaarden;G0634;10263;Zuid-Holland;P28;0;198;0;;198;;4;102;;2;7;83
Wildervank;G1225;10825;Groningen;P20;0;5418;0;;5418;175;2324;982;662;499;727;2
Willemstad;G0872;10827;Noord-Brabant;P30;0;971;0;;971;97;182;231;2;364;47;14
Willeskop;G0349;10758;Utrecht;P26;0;433;0;;433;235;41;36;6;79;8;23
Wilnis;G0350;10365;Utrecht;P26;0;1244;0;;1244;501;35;383;10;238;6;69
Winkel;G0465;10923;Noord-Holland;P27;0;1292;0;;1292;52;672;49;349;13;135;4
Winschoten;G0052;10453;Groningen;P20;0;8393;0;;8393;345;3383;1212;1660;534;1212;5
Winsum;G0053;11135;Groningen;P20;0;1685;0;;1685;7;507;795;18;26;207;
Winterswijk;G0294;11119;Gelderland;P25;0;11026;0;;11026;1413;5908;1239;382;607;1465;12
Wisch;G0295;10318;Gelderland;P25;0;6046;0;;6046;1948;1671;1023;96;915;377;16
Wissenkerke;G0727;10243;Zeeland;P29;0;1986;0;;1986;14;268;693;16;764;83;143
Wittem;G0990;11371;Limburg;P31;0;2381;0;;2381;2211;100;10;33;6;18;3
Woensdrecht;G0873;10602;Noord-Brabant;P30;0;2037;0;;2037;1829;97;43;14;26;19;4
Woerden;G0632;10974;Zuid-Holland;P28;0;5078;0;;5078;1439;1076;906;95;1129;192;232
Wognum;G0466;10818;Noord-Holland;P27;0;1195;0;;1195;868;247;8;31;12;28;
Wolphaartsdijk;G0728;10543;Zeeland;P29;0;1540;0;;1540;44;140;330;4;645;93;273
Wonseradeel;G0099;10454;Fryslân;P21;0;6964;0;;6964;604;1943;1880;320;1733;225;28
Workum;G0100;10768;Fryslân;P21;0;2121;0;;2121;492;573;386;29;563;38;1
Wormer;G0467;10648;Noord-Holland;P27;0;2877;0;;2877;822;907;292;702;58;59;9
Wormerveer;G0468;10361;Noord-Holland;P27;0;6029;0;;6029;812;2084;571;2222;71;242;7
Woubrugge;G0633;10461;Zuid-Holland;P28;0;1300;0;;1300;551;91;241;17;234;88;73
Woudenberg;G0351;11398;Utrecht;P26;0;2086;0;;2086;40;609;563;38;492;129;203
Woudrichem;G0874;10282;Noord-Brabant;P30;0;1089;0;;1089;17;533;334;30;105;30;33
Wouw;G0875;10808;Noord-Brabant;P30;0;2667;0;;2667;2458;111;44;23;17;8;2
Wymbritseradeel;G0101;11427;Fryslân;P21;0;6095;0;;6095;763;907;1546;68;2427;73;1
Yerseke;G0729;11247;Zeeland;P29;0;2490;0;;2490;111;591;480;88;540;148;510
Zaamslag;G0731;11173;Zeeland;P29;0;2053;0;;2053;31;386;764;7;628;90;129
Zaandam;G0471;11044;Noord-Holland;P27;0;23011;0;;23011;2878;8828;2904;6591;589;964;151
Zaandijk;G0472;11404;Noord-Holland;P27;0;2441;0;;2441;158;957;299;823;56;134;
Zaltbommel;G0297;10557;Gelderland;P25;0;2642;0;;2642;456;1318;290;80;239;193;66
Zandvoort;G0473;10910;Noord-Holland;P27;0;4227;0;;4227;734;1666;235;574;454;477;8
Zeeland;G0877;10759;Noord-Brabant;P30;0;1516;0;;1516;1508;3;2;;;;
Zegveld;G0354;10949;Utrecht;P26;0;607;0;;607;120;16;230;1;172;2;65
Zeist;G0355;10324;Utrecht;P26;0;19969;0;;19969;2660;6448;4356;880;2027;2486;789
Zelhem;G0298;11159;Gelderland;P25;0;3427;0;;3427;387;955;1226;30;481;262;86
Zevenaar;G0299;10938;Gelderland;P25;0;3871;0;;3871;3225;392;31;35;145;36;7
Zevenbergen;G0878;10046;Noord-Brabant;P30;0;4217;0;;4217;3146;194;233;22;538;49;15
Zevenhoven;G0635;11317;Zuid-Holland;P28;0;520;0;;520;292;53;74;1;78;11;8
Zevenhuizen;G0636;11377;Zuid-Holland;P28;0;1582;0;;1582;26;559;274;23;259;254;152
Zierikzee;G0732;10843;Zeeland;P29;0;3786;0;;3786;471;1327;827;41;424;569;107
Zijpe;G0476;10004;Noord-Holland;P27;0;3149;0;;3149;858;1486;83;421;47;235;7
Zoelen;G0300;10897;Gelderland;P25;0;1334;0;;1334;14;726;178;20;206;174;16
Zoetermeer;G0637;10766;Zuid-Holland;P28;0;2826;0;;2826;893;573;393;27;257;115;380
Zoeterwoude;G0638;11074;Zuid-Holland;P28;0;2381;0;;2381;1712;127;200;19;229;63;28
Zonnemaire;G1236;10040;Zeeland;P29;0;460;0;;460;3;215;93;4;61;80;4
Zoutelande;G1237;10779;Zeeland;P29;0;453;0;;453;5;34;103;;190;11;104
Zuid- en Noord-Schermer;G0474;11311;Noord-Holland;P27;0;516;0;;516;54;279;25;92;15;26;16
Zuid-Beijerland;G0639;10917;Zuid-Holland;P28;0;1338;0;;1338;5;304;435;10;255;116;207
Zuidbroek;G1240;11282;Groningen;P20;0;1480;0;;1480;20;541;193;482;32;185;2
Zuiddorpe;G0734;11087;Zeeland;P29;0;521;0;;521;425;63;3;20;4;5;1
Zuidhorn;G0056;10021;Groningen;P20;0;2007;0;;2007;34;658;743;83;146;334;1
