Year,OuderRegioNaam,Unnamed: 0,Kiesgerechtigden,Opkomst,OngeldigeStemmen,BlancoStemmen,GeldigeStemmen,VVD,PVV (Partij voor de Vrijheid),CDA,Democraten 66 (D66),GROENLINKS,SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),ChristenUnie,Partij voor de Dieren,50PLUS,Staatkundig Gereformeerde Partij (SGP),DENK,Forum voor Democratie,Volt,JA21,BBB,BIJ1,Piratenpartij,Rooms-Katholieke Staatspartij (RKSP),Sociaal-Democratische Arbeiderspartij (SDAP),Anti-Revolutionaire Partij,Liberale Unie,CHU 1,Vrijzinnig-Democratische Bond (VDB),CHU 2,Vrijheidsbond 1,Vrijheidsbond 2,Communistische Partij van Nederland,HGSP,Christelijk-Historische Unie,Liberale Staatspartij (LSP),Rooms-Katholieke Volkspartij (RKVP),Plattelandersbond,Christelijk-Democratische Unie,Nationaal-Socialistische Beweging (NSB),Katholieke Volkspartij (KVP),Partij van de Vrijheid,Overig,Lijst Welter,Katholieke Nationale Partij,Gereformeerd Politiek Verbond (GPV),Pacifistisch-Socialistische Partij (PSP),Boeren Partij,Democratisch Socialisten '70,Politieke Partij Radikalen (PPR),Nederlandse Middenstands Partij,Rooms Katholieke Partij Nederland (RKPN),Reformatorische Politieke Federatie (RPF),Evangelische Volkspartij,CP,Centrumdemocraten,GL,De Groenen,Algemeen Ouderen Verbond (AOV),Ouderen Unie 55+,Lijst Pim Fortuyn,LN,Verenigde Senioren Partij,ETnNL,TROTS op Nederland Lijst Rita Verdonk
1933,Groningen,32589,209006,194950,2355,5153,187442,0,0,0,0,0,0,0,0,0,0,322,0,0,0,0,0,0,0,8984,53352,43953,0,0,20699,0,0,0,10276,1717,17429,12098,369,3118,2771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1933,Limburg,63894,233975,224751,3790,6642,214319,0,0,0,0,0,0,0,0,0,0,937,0,0,0,0,0,0,0,156417,21895,2001,0,0,1275,0,0,0,2705,134,2172,773,5399,582,482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1933,Noord-Brabant,82219,424505,404412,5033,7226,392153,0,0,0,0,0,0,0,0,0,0,4941,0,0,0,0,0,0,0,295026,27884,11547,0,0,3473,0,0,0,1925,1157,12146,3837,13075,680,291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1933,Noord-Holland,68858,844441,798194,21630,16512,760052,0,0,0,0,0,0,0,0,0,0,4306,0,0,0,0,0,0,0,153904,209561,82563,0,0,55772,0,0,0,51929,5002,47403,65415,6245,7020,8399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1933,Overijssel,30295,269511,255974,3071,7362,245538,0,0,0,0,0,0,0,0,0,0,6759,0,0,0,0,0,0,0,57472,49121,34446,0,0,14211,0,0,0,6775,1584,33089,12582,5420,4289,6873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1933,Total,1076,4136519,3897502,68585,107097,3721828,0,0,0,0,0,0,0,0,0,0,93275,0,0,0,0,0,0,0,1037355,798632,499892,0,0,188952,0,0,0,118238,33930,339813,258750,40905,47688,38464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1933,Utrecht,40178,218838,206810,2711,6153,197946,0,0,0,0,0,0,0,0,0,0,9145,0,0,0,0,0,0,0,48396,41883,35036,0,0,7803,0,0,0,1978,1675,22309,15273,2408,1910,1370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1933,Zeeland,62791,132779,122212,2118,2836,117258,0,0,0,0,0,0,0,0,0,0,11102,0,0,0,0,0,0,0,21101,18049,21783,0,0,5623,0,0,0,647,728,19804,11353,270,1133,347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1933,Zuid-Holland,104441,1041648,981308,19874,36634,924800,0,0,0,0,0,0,0,0,0,0,39836,0,0,0,0,0,0,0,162843,233064,152720,0,0,33770,0,0,0,28654,17086,90751,88624,2408,8423,4466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1937,Drenthe,17947,114414,108194,2081,2706,103407,0,0,0,0,0,0,0,0,0,0,202,0,0,0,0,0,0,0,4940,25568,21267,0,0,14221,0,0,0,2193,243,10790,7142,0,411,5718,8936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1937,Fryslân,21047,227099,213138,2997,3434,206707,0,0,0,0,0,0,0,0,0,0,964,0,0,0,0,0,0,0,13971,47955,51109,0,0,24111,0,0,0,6307,1196,31909,7005,0,453,15667,3486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1937,Gelderland,51960,463698,439268,6384,9131,423765,0,0,0,0,0,0,0,0,0,0,13713,0,0,0,0,0,0,0,121845,81648,68557,0,0,24166,0,0,0,4530,1901,46349,17743,0,3026,5030,16744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1937,Groningen,31985,224512,210023,2832,3998,203193,0,0,0,0,0,0,0,0,0,0,238,0,0,0,0,0,0,0,10741,56054,46966,0,0,22745,0,0,0,11020,1252,13648,7954,0,152,18127,10551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1937,Limburg,62696,256761,247937,4211,6214,237512,0,0,0,0,0,0,0,0,0,0,127,0,0,0,0,0,0,0,192271,16971,3901,0,0,1035,0,0,0,3082,122,1604,496,0,164,378,12638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1937,Noord-Brabant,77920,462791,442854,4518,7872,430464,0,0,0,0,0,0,0,0,0,0,2201,0,0,0,0,0,0,0,330134,27769,17561,0,0,4451,0,0,0,2619,678,10496,2564,0,272,470,7025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1937,Noord-Holland,66623,905542,859117,26755,9074,823288,0,0,0,0,0,0,0,0,0,0,3330,0,0,0,0,0,0,0,171037,231533,128506,0,0,62258,0,0,0,67341,2955,37232,35329,0,505,15250,44683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1937,Overijssel,26513,290091,275579,3807,5240,266532,0,0,0,0,0,0,0,0,0,0,5680,0,0,0,0,0,0,0,66181,53989,41648,0,0,19250,0,0,0,6872,1109,30644,8664,0,402,12248,8995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1937,Total,1056,4462859,4212861,77239,77587,4058047,0,0,0,0,0,0,0,0,0,0,78619,0,0,0,0,0,0,0,1170431,891061,665501,0,0,239502,0,0,0,136026,23693,302829,160260,0,6548,85004,171137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1937,Utrecht,39428,244356,231520,3020,4215,224285,0,0,0,0,0,0,0,0,0,0,7569,0,0,0,0,0,0,0,55722,48212,49931,0,0,9913,0,0,0,3081,929,20069,9526,0,126,2785,10087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1937,Zeeland,60537,139861,128388,2443,2769,123176,0,0,0,0,0,0,0,0,0,0,10543,0,0,0,0,0,0,0,23243,18699,27056,0,0,10396,0,0,0,752,602,18746,7510,0,214,638,3356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
