RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;Rooms-Katholieke Staatspartij (RKSP);Sociaal-Democratische Arbeiderspartij (SDAP);Anti-Revolutionaire Partij;Liberale Unie;CHU 1;Vrijzinnig-Democratische Bond (VDB);Economische Bond;Bond van Vrije Liberalen 1;Sociaal-Democratische Partij (SDP);Middenstandspartij;Christen-Democratische Partij;CHU 2;Socialistische Partij (SOPA);Bond van Vrije Liberalen 2;Bond van Christen-Socialisten;Christelijk-Sociale Partij;Neutrale Partij;Verbond Democratisering Weermacht;Algemene Staatspartij;Politie Partij;Plattelandersbond (links);Staatkundig Gereformeerde Partij (SGP);Plattelandersbond (rechts);Algemeen Vrijzinnige Partij;Groep Van der Zwaag;Groep Alberda;Groep Kuiper;Amsterdamse Politie- en Brandweerpartij;Nationale Bond van Protestantse Kiezers;Unionisten-Liga (Volkswelvaartspartij);Neutrale en Koloniale Bond;Volkspartij;Groep Stoffel;Groep Braam
Aagtekerke;G1000;10531;Zeeland;P29;180;171;0;;171;;2;74;6;;17;3;;;;;;;4;1;;;;;3;;61;;;;;;;;;;;;
Aalsmeer;G0358;11264;Noord-Holland;P27;1495;1380;0;;1380;210;242;288;426;60;15;24;5;23;6;10;4;2;2;29;4;5;4;10;3;;;;;;;;;3;5;;;;
Aalst;G1001;11423;Noord-Brabant;P30;206;199;0;;199;196;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;
Aalten;G0197;11046;Gelderland;P25;2234;2083;0;;2083;323;226;882;190;10;67;29;26;3;15;7;6;;12;23;242;1;6;8;7;;;;;;;;;;;;;;
Aardenburg;G0648;11020;Zeeland;P29;477;456;0;;456;230;35;23;145;1;;8;1;1;4;;;;2;;;;;3;2;;1;;;;;;;;;;;;
Aarle-Rixtel;G0739;10757;Noord-Brabant;P30;452;440;0;;440;417;;;1;;;2;6;3;8;;;;;;1;2;;;;;;;;;;;;;;;;;
Abbekerk;G0359;10439;Noord-Holland;P27;197;189;0;;189;49;30;1;81;2;7;4;1;;1;;;;;13;;;;;;;;;;;;;;;;;;;
Abbenbroek;G0481;11026;Zuid-Holland;P28;173;167;0;;167;;85;9;23;1;7;4;9;4;;1;5;;3;;;;;;;10;;3;3;;;;;;;;;;
Abcoude-Baambrugge;G1003;11184;Utrecht;P26;376;353;0;;353;89;3;97;4;81;22;15;14;3;1;1;;;5;3;4;2;1;4;;;;4;;;;;;;;;;;
Abcoude-Proostdij;G1004;10712;Utrecht;P26;393;375;0;;375;189;4;43;7;96;9;5;8;3;;1;;;6;;;;1;2;1;;;;;;;;;;;;;;
Achtkarspelen;G0059;10199;Fryslân;P21;3252;2978;0;;2978;5;758;1309;227;347;126;18;;7;;5;13;4;8;14;40;15;4;30;9;8;;4;;12;12;3;;;;;;;
Achttienhoven;G1005;10524;Utrecht;P26;155;134;0;;134;27;2;45;;57;2;;;;;;;;;;;;;;;;;1;;;;;;;;;;;
Adorp;G0001;10996;Groningen;P20;334;310;0;;310;;18;161;20;14;55;12;5;5;3;3;;;12;;1;;;;;;;1;;;;;;;;;;;
Aduard;G0002;10999;Groningen;P20;471;440;0;;440;4;97;162;4;15;104;18;2;4;5;3;;1;9;4;1;1;;;4;2;;;;;;;;;;;;;
Aengwirden;G1006;10157;Fryslân;P21;1087;964;0;;964;48;492;70;16;65;93;12;11;2;;3;;;17;9;2;18;3;4;13;15;;2;;54;12;3;;;;;;;
Akersloot;G0360;10346;Noord-Holland;P27;436;411;0;;411;215;15;2;51;7;76;5;9;1;;1;1;;;19;;;3;;1;1;;4;;;;;;;;;;;
Alblasserdam;G0482;11327;Zuid-Holland;P28;1487;1335;0;;1335;10;426;408;62;283;40;16;18;10;4;1;6;1;4;2;3;3;;;;2;;34;;;;;;;;;2;;
Alem, Maren en Kessel;G1007;10495;Noord-Brabant;P30;344;316;0;;316;290;6;1;;;;;5;1;10;;;;;;;1;;;2;;;;;;;;;;;;;;
Alkemade;G0483;10349;Zuid-Holland;P28;1149;1088;0;;1088;825;4;110;9;45;18;4;3;2;;1;4;3;;;40;;;2;13;5;;;;;;;;;;;;;
Alkmaar;G0361;10527;Noord-Holland;P27;5842;5048;0;;5048;1659;861;180;463;324;389;308;364;31;36;34;6;33;;205;4;66;19;10;35;6;;8;;;;;;;7;;;;
Almelo;G0141;11053;Overijssel;P23;5458;4630;0;;4630;924;1468;345;275;265;161;266;211;78;44;11;122;115;31;23;104;47;6;28;33;39;12;22;;;;;;;;;;;
Almkerk;G0740;10788;Noord-Brabant;P30;850;783;0;;783;11;41;559;2;44;20;32;54;3;;3;2;;;;2;2;;2;6;;;;;;;;;;;;;;
Alphen aan den Rijn;G0484;10517;Zuid-Holland;P28;3262;2969;0;;2969;622;253;858;271;557;144;44;18;11;10;14;28;5;;5;11;8;15;2;27;50;;8;8;;;;;;;;;;
Alphen en Riel;G0741;10710;Noord-Brabant;P30;486;473;0;;473;464;1;1;;;;2;;1;;;;;;;;;;;4;;;;;;;;;;;;;;
Ambt Delden;G0142;11400;Overijssel;P23;837;776;0;;776;467;25;17;23;6;50;11;7;4;;;15;1;9;2;6;1;;;3;111;2;16;;;;;;;;;;;
Ambt Doetinchem;G1010;10396;Gelderland;P25;1465;1334;0;;1334;486;246;155;155;44;47;21;48;3;14;8;20;;9;5;48;;4;5;16;;;;;;;;;;;;;;
Ambt Hardenberg;G1011;10174;Overijssel;P23;2488;2273;0;;2273;275;169;819;449;96;9;7;15;7;3;2;332;;6;5;34;13;4;9;2;10;2;5;;;;;;;;;;;
Ambt Ommen;G1012;11069;Overijssel;P23;1197;1072;0;;1072;109;80;262;73;57;74;6;174;1;3;1;67;2;5;2;109;5;1;6;5;14;2;14;;;;;;;;;;;
Ambt Vollenhove;G1013;11088;Overijssel;P23;598;551;0;;551;8;22;285;102;68;1;1;13;;3;1;29;;2;1;;9;;4;2;;;;;;;;;;;;;;
Amby;G0883;10922;Limburg;P31;344;332;0;;332;266;48;;1;2;6;5;;1;;;;;;;;;;;3;;;;;;;;;;;;;;
Ameide;G0485;11349;Zuid-Holland;P28;405;367;0;;367;;91;179;31;1;25;3;7;2;8;1;5;;;3;;;;;;1;1;9;;;;;;;;;;;
Ameland;G0060;11153;Fryslân;P21;510;446;0;;446;98;77;49;113;60;12;7;;1;;4;;2;1;;10;3;;1;8;;;;;;;;;;;;;;
Amerongen;G0306;11372;Utrecht;P26;605;400;0;;400;10;72;203;;75;32;;;4;;3;;;;;;;;;;;;1;;;;;;;;;;;
Amersfoort;G0307;10948;Utrecht;P26;6265;5454;0;;5454;1460;1311;694;137;190;506;183;344;77;95;77;;;42;15;11;18;191;67;19;;9;8;;;;;;;;;;;
Ammerstol;G0486;10863;Zuid-Holland;P28;290;274;0;;274;;186;11;19;;15;2;1;4;2;1;1;;;11;;1;1;3;6;3;;2;5;;;;;;;;;;
Ammerzoden;G0198;10151;Gelderland;P25;647;618;0;;618;410;7;76;5;83;2;2;10;;;;17;;;3;;;;1;2;;;;;;;;;;;;;;
Amstenrade;G0884;10062;Limburg;P31;177;170;0;;170;158;3;1;1;1;;1;;1;;;;;;2;;;;1;1;;;;;;;;;;;;;;
Amsterdam;G0363;11150;Noord-Holland;P27;150526;123699;0;;123699;19047;33411;7919;5524;3616;9169;8518;5062;14058;3473;3036;246;3802;819;630;342;1632;627;1767;327;85;;185;;;;;169;;;;;235;
Andel;G0742;10871;Noord-Brabant;P30;290;261;0;;261;1;15;164;36;36;;2;4;;;;;;;;1;;2;;;;;;;;;;;;;;;;
Andijk;G0364;10822;Noord-Holland;P27;875;812;0;;812;121;49;222;205;6;31;6;1;1;3;4;;6;;148;1;1;2;1;3;1;;;;;;;;;;;;;
Angerlo;G0199;11131;Gelderland;P25;619;591;0;;591;330;37;89;57;12;18;3;17;2;1;5;2;;8;4;3;;;2;1;;;;;;;;;;;;;;
Ankeveen;G1014;10936;Noord-Holland;P27;138;124;0;;124;64;5;21;;19;;;1;2;7;1;2;;;;;;;;2;;;;;;;;;;;;;;
Anloo;G0105;10787;Drenthe;P22;1118;1048;0;;1048;3;411;54;105;3;306;27;19;4;23;;33;;20;;21;1;1;;11;4;;2;;;;;;;;;;;
Anna Paulowna;G0366;10344;Noord-Holland;P27;1012;911;0;;911;144;328;29;13;11;244;3;5;1;13;81;1;;;12;;2;3;1;7;10;;1;;;;;;;2;;;;
Apeldoorn;G0200;11075;Gelderland;P25;9742;8582;0;;8582;890;2498;1312;196;1280;620;609;414;24;108;22;42;;108;31;142;47;32;19;66;9;99;;;;;;14;;;;;;
Appeltern;G0201;11296;Gelderland;P25;861;791;0;;791;694;1;1;;47;;2;26;;;11;;;;1;1;;3;1;3;;;;;;;;;;;;;;
Appingedam;G0003;10886;Groningen;P20;1387;1198;0;;1198;35;346;265;114;116;204;22;9;29;10;5;;;3;12;6;2;3;1;6;4;;3;;;;;;;;;;;3
Arcen en Velden;G0885;10202;Limburg;P31;579;554;0;;554;536;7;;4;1;1;;;;;;;;;;;;;2;3;;;;;;;;;;;;;;
Arkel;G0487;10079;Zuid-Holland;P28;240;225;0;;225;7;38;33;5;6;4;;81;6;;;;10;23;1;;;;;;4;1;4;1;;;;;;;;1;;
Arnemuiden;G0649;11419;Zeeland;P29;461;308;0;;308;3;59;145;30;9;18;15;;2;5;;2;;2;;;1;4;2;2;2;7;;;;;;;;;;;;
Arnhem;G0202;10795;Gelderland;P25;15625;13463;0;;13463;3297;4359;1133;523;219;1001;1193;419;183;207;86;12;;232;51;98;71;129;102;71;19;30;;;;;;28;;;;;;
Asperen;G0488;11369;Zuid-Holland;P28;465;428;0;;428;;29;234;3;39;3;4;67;2;6;;1;6;16;;;;;;;5;3;8;1;;;;;;;;1;;
Assen;G0106;10522;Drenthe;P22;3635;3248;0;;3248;108;1233;495;235;138;538;87;96;23;35;;58;;29;;11;18;82;5;18;31;;8;;;;;;;;;;;
Assendelft;G0367;11373;Noord-Holland;P27;994;943;0;;943;390;188;15;197;5;16;19;3;70;4;5;;3;;13;;2;;2;4;3;;4;;;;;;;;;;;
Asten;G0743;10478;Noord-Brabant;P30;1029;970;0;;970;927;3;;1;14;;2;3;;7;1;1;;;;3;1;1;;6;;;;;;;;;;;;;;
Avenhorn;G0368;11147;Noord-Holland;P27;345;329;0;;329;101;53;1;86;;60;6;;1;3;3;;;;10;;;1;1;1;;;2;;;;;;;;;;;
Avereest;G0143;11190;Overijssel;P23;2022;1794;0;;1794;158;221;376;404;386;19;14;58;3;8;2;23;6;6;11;34;4;4;35;3;13;2;4;;;;;;;;;;;
Axel;G0650;11289;Zeeland;P29;1214;1124;0;;1124;182;24;371;329;117;17;16;1;1;;;;1;3;1;4;;1;4;7;1;44;;;;;;;;;;;;
Baarderadeel;G0061;10422;Fryslân;P21;1482;1379;0;;1379;40;613;204;235;115;42;22;8;8;;2;1;2;11;3;4;11;2;7;2;23;;1;;17;6;;;;;;;;
Baardwijk;G1015;10006;Noord-Brabant;P30;404;381;0;;381;348;1;;4;21;;3;;;1;;;;;;;1;;;2;;;;;;;;;;;;;;
Baarland;G0651;10634;Zeeland;P29;189;182;0;;182;42;5;40;49;24;4;;1;1;1;;2;;;;1;;1;;1;1;9;;;;;;;;;;;;
Baarle-Nassau;G0744;10060;Noord-Brabant;P30;526;510;0;;510;483;8;3;;1;2;5;1;;;1;;;;;;;1;;5;;;;;;;;;;;;;;
Baarn;G0308;11411;Utrecht;P26;2195;1629;0;;1629;335;485;372;;188;224;;;7;;14;;;;4;;;;;;;;;;;;;;;;;;;
Baexem;G0886;11255;Limburg;P31;186;182;0;;182;176;;;2;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;
Baflo;G0004;10539;Groningen;P20;663;613;0;;613;;176;252;17;10;92;11;18;5;7;4;;;14;;1;;;1;3;2;;;;;;;;;;;;;
Bakel en Milheeze;G0745;10749;Noord-Brabant;P30;485;468;0;;468;464;1;;;1;;;;;1;;;;;;;;;;1;;;;;;;;;;;;;;
Balgoij;G1016;10849;Gelderland;P25;120;113;0;;113;111;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;
Barendrecht;G0489;10943;Zuid-Holland;P28;749;695;0;;695;1;59;374;4;70;13;4;109;3;1;1;1;4;5;1;;;1;;;14;2;27;1;;;;;;;;;;
Barneveld;G0203;10906;Gelderland;P25;2468;2262;0;;2262;156;240;1058;25;49;8;15;330;2;34;6;261;;4;2;2;2;;2;20;6;38;;;;;;2;;;;;;
Barradeel;G0062;10156;Fryslân;P21;2045;1914;0;;1914;32;552;489;49;507;113;11;12;8;;9;2;3;21;9;7;17;3;12;2;12;;;;17;18;9;;;;;;;
Barsingerhorn;G0369;10973;Noord-Holland;P27;550;499;0;;499;5;177;6;38;5;202;4;30;2;4;3;1;2;;4;;;8;2;5;;;1;;;;;;;;;;;
Barwoutswaarder;G1017;10447;Zuid-Holland;P28;191;177;0;;177;34;3;68;2;57;3;;1;;;1;1;1;;1;2;1;1;;1;;;;;;;;;;;;;;
Batenburg;G0204;10921;Gelderland;P25;144;137;0;;137;108;;;;4;;;17;;;2;;;;;2;;2;;2;;;;;;;;;;;;;;
Bathmen;G0144;11030;Overijssel;P23;417;398;0;;398;7;11;7;293;3;41;5;4;2;;;6;2;;;;9;;1;3;1;;3;;;;;;;;;;;
Bedum;G0005;10425;Groningen;P20;1306;1189;0;;1189;64;170;558;158;15;128;17;2;11;4;2;3;4;19;3;1;;7;2;1;16;;4;;;;;;;;;;;
Beegden;G0887;11089;Limburg;P31;196;192;0;;192;180;1;;;;;;;;;;;;;;;9;;;2;;;;;;;;;;;;;;
Beek;G0888;11374;Limburg;P31;838;772;0;;772;747;6;1;4;;4;3;2;;;;;;;2;;;;1;2;;;;;;;;;;;;;;
Beek en Donk;G0746;10173;Noord-Brabant;P30;576;531;0;;531;504;;;;;;6;1;1;10;;;;;;;2;1;1;5;;;;;;;;;;;;;;
Beemster;G0370;10816;Noord-Holland;P27;1316;1240;0;;1240;280;200;28;366;17;225;15;9;14;6;5;1;2;;32;;1;10;1;4;9;;15;;;;;;;;;;;
Beers;G0747;11410;Noord-Brabant;P30;203;198;0;;198;196;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;
Beerta;G0006;11043;Groningen;P20;874;732;0;;732;6;297;45;12;19;250;7;33;13;10;5;2;1;8;8;1;;5;2;4;3;;1;;;;;;;;;;;
Beesd;G0205;10259;Gelderland;P25;655;619;0;;619;295;48;28;1;127;10;;89;1;1;1;;;6;1;;;5;1;2;;3;;;;;;;;;;;;
Beesel;G0889;10195;Limburg;P31;690;668;0;;668;634;3;1;9;;2;4;1;;3;;;;;;;;;6;5;;;;;;;;;;;;;;
Beets;G0371;10536;Noord-Holland;P27;150;141;0;;141;1;48;;51;;22;3;;;;;;;;11;;;;;2;1;;2;;;;;;;;;;;
Beilen;G0107;10520;Drenthe;P22;1470;1332;0;;1332;6;268;302;281;156;145;8;18;8;8;;34;;5;;4;5;2;3;66;11;;2;;;;;;;;;;;
Belfeld;G0890;10292;Limburg;P31;290;279;0;;279;270;3;1;2;;;2;;;;;;;;;;;;1;;;;;;;;;;;;;;;
Bellingwolde;G1019;10340;Groningen;P20;1306;1149;0;;1149;8;671;77;97;21;190;16;9;4;8;2;;;10;8;2;3;1;3;9;4;;5;;;;;;;;;;;1
Bemelen;G0891;10878;Limburg;P31;78;75;0;;75;70;1;;1;;;1;;;1;;;;;;;;;1;;;;;;;;;;;;;;;
Bemmel;G0206;10744;Gelderland;P25;1533;1332;0;;1332;1103;12;7;;60;8;9;64;1;1;53;;;3;2;1;;5;;3;;;;;;;;;;;;;;
Bennebroek;G0372;10734;Noord-Holland;P27;299;280;0;;280;143;19;12;5;33;24;10;3;3;1;1;8;;1;1;1;;2;;12;;;;;;;;;;1;;;;
Benschop;G0309;11330;Utrecht;P26;488;365;0;;365;146;8;175;;24;7;;;2;;2;;;;1;;;;;;;;;;;;;;;;;;;
Benthuizen;G0490;10398;Zuid-Holland;P28;199;183;0;;183;5;11;118;9;13;;2;15;;;;2;;;;1;;;;2;3;;1;1;;;;;;;;;;
Berg en Terblijt;G0892;10796;Limburg;P31;356;351;0;;351;297;29;;1;;6;6;;;;;;;;;1;1;;3;7;;;;;;;;;;;;;;
Bergambacht;G0491;10962;Zuid-Holland;P28;886;827;0;;827;7;161;429;131;9;20;3;6;10;;;9;;;6;2;2;3;;11;13;;2;3;;;;;;;;;;
Bergen;G0373;11424;Noord-Holland;P27;756;679;0;;679;303;113;11;88;7;29;30;51;2;5;4;2;5;;8;;10;3;1;2;2;;;;;;;;;3;;;;
Bergen;G0893;11281;Limburg;P31;1305;1242;0;;1242;1207;8;1;1;2;1;4;2;;1;;;;;1;;1;1;8;4;;;;;;;;;;;;;;
Bergen op Zoom;G0748;11037;Noord-Brabant;P30;3911;3301;0;;3301;2379;391;101;128;27;54;28;28;32;8;1;2;;;11;9;43;47;6;6;;;;;;;;;;;;;;
Bergeyk;G0749;11160;Noord-Brabant;P30;518;507;0;;507;480;;1;;;1;4;;;9;;;;;3;;1;;;8;;;;;;;;;;;;;;
Bergh;G0207;10350;Gelderland;P25;2168;1937;0;;1937;1533;77;13;54;13;21;27;13;2;11;55;;;9;2;8;1;2;8;87;;1;;;;;;;;;;;;
Bergharen;G0208;10883;Gelderland;P25;415;388;0;;388;327;1;;2;2;2;;41;;1;3;1;;;;;;4;;4;;;;;;;;;;;;;;
Berghem;G0750;10733;Noord-Brabant;P30;529;490;0;;490;478;1;;;;;;;1;6;;1;;;;1;2;;;;;;;;;;;;;;;;;
Bergschenhoek;G0492;10445;Zuid-Holland;P28;347;325;0;;325;85;12;28;15;142;4;3;9;;1;;2;;;;3;4;1;;8;2;;5;1;;;;;;;;;;
Berkel en Rodenrijs;G0493;10139;Zuid-Holland;P28;689;672;0;;672;324;9;135;16;152;2;2;5;;2;;;1;;;8;;1;;6;2;;7;;;;;;;;;;;
Berkel-Enschot;G0751;11132;Noord-Brabant;P30;441;424;0;;424;422;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Berkenwoude;G0494;10797;Zuid-Holland;P28;177;164;0;;164;;8;51;86;;3;;2;1;1;;3;;;;;;;;5;;;3;1;;;;;;;;;;
Berkhout;G0374;10354;Noord-Holland;P27;676;641;0;;641;233;46;8;212;10;101;4;1;1;4;2;;;;15;1;;1;;2;;;;;;;;;;;;;;
Berlicum;G0752;10362;Noord-Brabant;P30;776;722;0;;722;677;4;3;1;;;7;7;1;13;;;;;;2;1;1;1;4;;;;;;;;;;;;;;
Besoijen;G1020;10056;Noord-Brabant;P30;405;385;0;;385;202;41;17;5;92;3;9;1;;3;4;2;;;1;;3;1;1;;;;;;;;;;;;;;;
Best;G0753;10442;Noord-Brabant;P30;789;762;0;;762;730;8;;;1;;3;;;13;;;1;;;;1;1;3;1;;;;;;;;;;;;;;
Beugen en Rijkevoort;G1021;10252;Noord-Brabant;P30;466;448;0;;448;440;4;;;1;2;;;;1;;;;;;;;;;;;;;;;;;;;;;;;
Beuningen;G0209;10417;Gelderland;P25;703;658;0;;658;594;5;2;;3;;;39;;1;9;1;;1;1;1;;1;;;;;;;;;;;;;;;;
Beusichem;G0210;11182;Gelderland;P25;475;445;0;;445;16;69;51;;2;98;6;146;;2;2;;;13;6;;3;19;2;2;;8;;;;;;;;;;;;
Beverwijk;G0375;10272;Noord-Holland;P27;1701;1459;0;;1459;706;217;42;15;42;252;25;11;21;11;6;6;11;4;15;29;2;8;26;3;;;;;;;;;4;3;;;;
Bierum;G0008;11294;Groningen;P20;901;828;0;;828;1;106;370;14;184;111;14;3;2;3;5;;;3;;;1;1;1;5;1;;;;;;;;;;;;;3
Biervliet;G0652;10257;Zeeland;P29;516;480;0;;480;134;15;15;276;8;6;7;1;1;1;;1;;;1;3;2;;7;1;;1;;;;;;;;;;;;
Biggekerke;G1022;11364;Zeeland;P29;230;216;0;;216;2;4;122;8;16;8;13;2;2;;;2;2;1;3;2;;1;2;;;26;;;;;;;;;;;;
Bingelrade;G0894;10967;Limburg;P31;117;116;0;;116;115;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bladel en Netersel;G0754;11006;Noord-Brabant;P30;448;431;0;;431;393;2;;2;20;2;3;;;2;1;;;;;;2;;;4;;;;;;;;;;;;;;
Blankenham;G0145;10320;Overijssel;P23;134;126;0;;126;9;11;5;77;4;;1;4;;;;7;1;;;;5;;1;;1;;;;;;;;;;;;;
Blaricum;G0376;10493;Noord-Holland;P27;381;336;0;;336;225;8;11;6;2;9;26;7;8;4;;3;4;;3;3;1;2;9;3;;;;;;;;;1;1;;;;
Bleiswijk;G0495;10994;Zuid-Holland;P28;423;403;0;;403;112;7;93;57;100;2;1;;2;;;4;1;;;9;;1;1;8;2;;3;;;;;;;;;;;
Bleskensgraaf en Hofwegen;G0496;10451;Zuid-Holland;P28;248;218;0;;218;;16;139;4;12;2;;17;2;;;;;10;;;1;;;;3;;11;;;;;;;;;1;;
Bloemendaal;G0377;10850;Noord-Holland;P27;1762;1623;0;;1623;532;177;84;61;110;83;191;219;19;14;8;14;1;46;11;8;7;2;18;14;;;;;;;;;3;1;;;;
Blokker;G0378;10804;Noord-Holland;P27;583;548;0;;548;353;18;1;143;4;5;1;;;;;;;;12;;;;;11;;;;;;;;;;;;;;
Blokzijl;G0146;10689;Overijssel;P23;337;299;0;;299;2;62;126;57;8;3;4;20;;;;1;1;2;1;;4;;1;;;7;;;;;;;;;;;;
Bocholtz;G0895;10986;Limburg;P31;497;463;0;;463;331;36;;4;5;58;4;3;;;;;;;2;;;;13;7;;;;;;;;;;;;;;
Bodegraven;G0497;11091;Zuid-Holland;P28;1282;1183;0;;1183;241;47;453;146;117;70;13;2;5;2;4;6;2;;2;9;1;4;4;19;20;;14;2;;;;;;;;;;
Boekel;G0755;10432;Noord-Brabant;P30;638;616;0;;616;603;;;;;;;;1;7;;1;;;;1;2;;;1;;;;;;;;;;;;;;
Bokhoven;G1023;11083;Noord-Brabant;P30;70;58;0;;58;56;1;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;
Bolsward;G0064;10865;Fryslân;P21;1702;1467;0;;1467;470;321;186;180;159;18;7;;11;;19;5;3;11;23;6;6;1;4;;;;;;22;12;3;;;;;;;
Borculo;G0211;11307;Gelderland;P25;1285;1176;0;;1176;93;253;196;346;97;14;12;49;12;38;2;11;;3;3;14;2;;2;1;23;1;;;;;;4;;;;;;
Borger;G0108;10448;Drenthe;P22;2121;1878;0;;1878;52;632;335;242;52;390;11;15;13;10;;52;;23;;22;4;3;4;13;3;;2;;;;;;;;;;;
Borgharen;G0896;11334;Limburg;P31;190;181;0;;181;158;21;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;
Borkel en Schaft;G1026;11013;Noord-Brabant;P30;157;151;0;;151;148;;;;1;;;;;1;;;;;;;;;;1;;;;;;;;;;;;;;
Born;G0897;10927;Limburg;P31;478;464;0;;464;444;6;;;2;5;2;;;;;;;;;;;;2;3;;;;;;;;;;;;;;
Borne;G0147;10326;Overijssel;P23;1567;1446;0;;1446;922;158;16;13;19;67;34;8;8;3;3;17;2;16;9;87;5;2;2;5;46;1;3;;;;;;;;;;;
Borssele;G1254;10043;Zeeland;P29;316;301;0;;301;40;6;38;37;24;57;8;1;1;1;;2;1;4;2;;;;2;6;1;70;;;;;;;;;;;;
Boschkapelle;G1027;10605;Zeeland;P29;272;256;0;;256;218;;2;13;4;9;;;;1;;;;1;1;;;;1;2;;4;;;;;;;;;;;;
Boskoop;G0499;10419;Zuid-Holland;P28;1454;1332;0;;1332;275;175;356;277;120;37;11;4;4;9;8;10;1;;11;13;5;2;1;6;5;;;2;;;;;;;;;;
Bovenkarspel;G0379;10945;Noord-Holland;P27;625;578;0;;578;384;39;8;80;9;31;8;;1;2;;;1;;9;;2;2;;1;;;1;;;;;;;;;;;
Boxmeer;G0756;11227;Noord-Brabant;P30;664;625;0;;625;540;35;2;;3;5;5;11;;6;;;1;;7;1;3;2;2;2;;;;;;;;;;;;;;
Boxtel;G0757;10083;Noord-Brabant;P30;2027;1830;0;;1830;1525;190;1;1;37;1;10;18;17;3;;;;;6;3;8;3;2;5;;;;;;;;;;;;;;
Brakel;G0212;11125;Gelderland;P25;456;432;0;;432;17;22;30;174;137;1;1;10;;;1;2;;4;5;;;3;19;6;;;;;;;;;;;;;;
Brandwijk;G0500;10169;Zuid-Holland;P28;210;195;0;;195;1;;108;57;2;5;;5;1;2;;5;;;;;;;;;1;;6;2;;;;;;;;;;
Breda;G0758;10154;Noord-Brabant;P30;6449;5519;0;;5519;2929;1458;63;32;107;97;309;113;69;41;4;7;;;13;14;52;181;12;18;;;;;;;;;;;;;;
Breskens;G0655;10233;Zeeland;P29;514;373;0;;373;17;84;34;168;;25;12;4;2;;;3;1;;1;2;1;5;2;9;2;1;;;;;;;;;;;;
Breukelen-Nijenrode;G1028;10807;Utrecht;P26;559;462;0;;462;161;37;120;;130;10;;;2;;1;;;;;;;;;;;;1;;;;;;;;;;;
Breukelen-Sint Pieters;G1029;11149;Utrecht;P26;206;175;0;;175;26;14;77;;48;8;;;1;;;;;;1;;;;;;;;;;;;;;;;;;;
Brielle;G0501;10232;Zuid-Holland;P28;883;773;0;;773;53;207;55;132;128;71;11;17;15;8;3;4;1;2;2;;9;40;;;5;;3;6;;;;;;;;1;;
Broek in Waterland;G0380;10289;Noord-Holland;P27;435;408;0;;408;5;70;15;100;32;86;4;9;2;3;4;;2;;12;3;4;1;1;2;5;;48;;;;;;;;;;;
Broek op Langendijk;G1031;10955;Noord-Holland;P27;539;494;0;;494;12;23;196;83;116;13;5;15;1;8;9;1;2;;2;;;1;1;1;;;5;;;;;;;;;;;
Broekhuizen;G0898;10856;Limburg;P31;208;200;0;;200;200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Broeksittard;G1032;10655;Limburg;P31;175;167;0;;167;160;;;;;2;1;;;;;;;;;;;1;1;2;;;;;;;;;;;;;;
Brouwershaven;G0656;10030;Zeeland;P29;351;324;0;;324;;138;57;102;2;8;;3;;5;;1;;1;;1;;1;2;2;1;;;;;;;;;;;;;
Bruinisse;G0657;11291;Zeeland;P29;710;592;0;;592;3;60;215;204;21;3;10;1;1;7;;4;;4;6;10;2;1;9;2;14;15;;;;;;;;;;;;
Brummen;G0213;10798;Gelderland;P25;2062;1849;0;;1849;147;502;280;448;52;43;38;186;2;52;6;5;;13;13;21;3;7;1;13;10;1;;;;;;6;;;;;;
Brunssum;G0899;10533;Limburg;P31;864;712;0;;712;504;147;3;3;14;11;15;3;2;;;;;;;1;;;5;4;;;;;;;;;;;;;;
Budel;G0759;10219;Noord-Brabant;P30;835;763;0;;763;737;5;;;;;6;4;1;4;;;;;1;;2;;;3;;;;;;;;;;;;;;
Buggenum;G1033;10857;Limburg;P31;188;221;0;;221;185;;;1;;;1;;;;;;;;;;;;34;;;;;;;;;;;;;;;
Buiksloot;G1034;10961;Noord-Holland;P27;426;381;0;;381;36;118;48;27;31;22;22;5;10;11;20;3;5;;4;4;;;1;2;2;;7;;;;;;;3;;;;
Bunde;G0900;10831;Limburg;P31;245;230;0;;230;213;11;;;;1;1;;;;;;;;;2;;;;2;;;;;;;;;;;;;;
Bunnik;G0312;10820;Utrecht;P26;369;301;0;;301;183;17;44;;48;5;;;1;;;;;;2;;;;;;;;1;;;;;;;;;;;
Bunschoten;G0313;11343;Utrecht;P26;860;491;0;;491;6;8;456;;8;2;;;1;;3;;;;2;;;;;;;;5;;;;;;;;;;;
