RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;Rooms-Katholieke Staatspartij (RKSP);Sociaal-Democratische Arbeiderspartij (SDAP);Anti-Revolutionaire Partij;Christelijk-Historische Unie;Liberale Staatspartij (LSP);Vrijzinnig-Democratische Bond (VDB);Communistische Partij van Nederland;Staatkundig Gereformeerde Partij (SGP);Revolutionair-Socialistische Partij (RSP);Plattelandersbond;Rooms-Katholieke Volkspartij (RKVP);Christelijk-Democratische Unie;HGSP;VNH;Onafhankelijk Socialistische Partij;Katholiek Democratische Bond;Algemeen Nederlandse Fascistenbond;Democratische Partij;Nationaal Verbond Plicht, Orde, Recht;Nederlandse Christelijke Arbeiderspartij;Limburgsche Federatie;Verbond van Nationalisten;Roomsch-Katholieke Arbeiderspartij (RKAP);Recht en Vrijheid;Marktkooplieden;Lijst Wolswinkel;Onafhankelijke Zakenlui;Nationaal-Socialistische Partij;Nederlandsche Fascisten Unie;Lijst Jacobs;RK Bouwvakarbeiders;Handeldrijvende Middenstand;Volkswelvaartspartij;Bond van Belastingbetalers;Lijst Eijking;Nieuwe Socialistische Partij;Lijst Engels;Hoofd- en handarbeiders;Nationaal Verbond voor Arbeidersbelangen;Lijst Bongers;Lijst De Wit;Voor Algemeen Welzijn;Zuiderzee Partij;Algemeene Nederlandse Huurdersbond;Oranjefascisten;Universeele Partij;Nationale Werkliedenpartij;Anti-crisis Partij;Proletarische Groep;Centrale Democratische Arbeiderspartij;Lijst Triesscheijn;Opbouw en Verbroedering;Algemeene Arbeidersbond;Lijst Groothuis
Haren;G0017;11058;Groningen;P20;4102;3877;31;70;3776;39;727;974;550;472;502;66;2;5;89;9;110;12;60;18;2;33;71;1;;;11;;23;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;
Harenkarspel;G0395;10963;Noord-Holland;P27;1515;1454;9;6;1439;835;215;76;6;8;227;21;;4;21;8;2;2;;4;;1;3;;;;1;;;;;;;;;;;;;3;;;;;;2;;;;;;;;;;;;;
Harlingen;G0072;10909;Fryslân;P21;5798;5428;51;69;5308;637;1641;865;997;268;418;101;20;3;5;22;96;15;27;143;6;4;23;2;6;;4;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Harmelen;G0318;10183;Utrecht;P26;1143;1094;6;9;1079;486;27;185;207;27;12;3;90;1;19;2;4;1;3;;1;5;;;1;;1;1;;;2;;;1;;;;;;;;;;;;;;;;;;;;;;;;;
Haskerland;G0073;10022;Fryslân;P21;4434;4115;49;84;3982;405;961;621;966;143;404;57;6;12;43;22;191;88;6;12;4;2;22;1;2;;6;;7;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;
Hasselt;G0161;10115;Overijssel;P23;1206;1057;5;9;1043;50;119;550;106;36;66;1;35;7;7;8;13;21;3;3;;;2;3;1;;5;;;;1;;;6;;;;;;;;;;;;;;;;;;;;;;;;;
Hattem;G0244;10673;Gelderland;P25;2332;2205;21;62;2122;16;757;558;419;92;44;39;14;;8;2;13;100;24;5;;5;7;2;;;;6;3;;1;;1;;;;;;;;;;;;;;1;;;5;;;;;;;;;
Havelte;G0117;10186;Drenthe;P22;1893;1776;46;0;1730;13;422;124;79;544;206;8;2;2;251;3;14;7;2;4;;6;17;1;;;5;2;14;;2;;;;;;;;;;;;;;;;;;;;;;;2;;;;;
Hazerswoude;G0524;11257;Zuid-Holland;P28;2169;2079;29;18;2032;759;60;580;410;21;9;3;106;;26;8;2;19;4;2;7;4;;;2;;;2;;;5;;;;;;;;3;;;;;;;;;;;;;;;;;;;;
Hedel;G0245;10982;Gelderland;P25;923;867;10;16;841;358;35;152;81;4;5;2;169;1;3;2;3;10;2;7;2;1;7;1;;;1;;;;;;1;;;;;;;;1;;;;;;;;;;;;;;;;;;
Hedikhuizen;G1071;11130;Noord-Brabant;P30;680;698;14;14;670;613;5;5;7;5;2;;2;;5;4;;5;;;3;1;6;;3;;;;;1;;;5;;;;;;;;;1;;;;;;;;;;;;;;;;;
Heel en Panheel;G0915;11208;Limburg;P31;1021;970;8;10;952;920;8;;;;;2;1;;1;3;;1;2;;9;;1;;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heemskerk;G0396;10679;Noord-Holland;P27;1924;1876;4;13;1859;1359;140;28;72;9;36;20;2;1;136;5;;;;6;1;1;2;1;;;;;;;;;;;;;;;;39;;;;;;1;;;;;;;;;;;;;
Heemstede;G0397;11288;Noord-Holland;P27;8315;7820;81;167;7572;2628;709;1051;718;1188;500;93;27;37;16;65;77;46;185;88;2;;44;52;4;;10;;;;;10;5;9;;;;;;1;;;4;;;3;;;;;;;;;;;;;
Heenvliet;G0525;10823;Zuid-Holland;P28;688;617;1;17;599;3;156;56;29;77;28;111;12;1;76;;7;3;3;1;;28;3;;;;;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heer;G0916;11407;Limburg;P31;1891;1819;22;150;1647;864;295;3;3;;10;12;13;6;2;196;1;2;3;3;30;3;11;;5;149;2;;4;;;;;;3;;;;;;;;;;27;;;;;;;;;;;;;;
Heerde;G0246;10291;Gelderland;P25;4418;4225;66;101;4058;26;942;940;1189;418;202;10;20;6;188;7;13;23;11;6;6;7;8;3;4;;;16;4;;3;;1;;;;;;3;;;;;;;;;;;2;;;;;;;;;
Heerewaarden;G0247;10067;Gelderland;P25;605;561;0;12;549;5;231;19;6;182;45;3;2;;16;2;17;1;2;3;;6;5;2;;;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
Heerhugowaard;G0398;10752;Noord-Holland;P27;2300;2217;8;13;2196;1331;269;155;32;22;284;18;6;7;35;7;3;2;;3;;3;12;;;;;;;;;;;;;;;;;4;;;;;;;;3;;;;;;;;;;;
Heerjansdam;G0526;10540;Zuid-Holland;P28;611;572;11;9;552;3;90;158;157;43;10;2;59;;21;;1;6;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heerlen;G0917;10902;Limburg;P31;17452;16775;358;562;15855;9026;2598;384;517;130;165;506;47;65;27;561;111;11;112;85;1057;81;38;12;16;160;19;;10;;;;;;97;;;;;;;;;;20;;;;;;;;;;;;;;
Heesch;G0791;10149;Noord-Brabant;P30;1353;1300;9;1;1290;1200;27;2;9;5;3;;1;1;;2;;1;1;2;7;;1;;4;;1;;1;7;;;12;;;;;;;;;3;;;;;;;;;;;;;;;;;
Heeswijk;G1072;11229;Noord-Brabant;P30;670;639;1;0;638;628;;;1;;;;;;;1;;;;;3;;;;1;;;;;;;;1;;;;;;;;;3;;;;;;;;;;;;;;;;;
Heeze;G0793;10462;Noord-Brabant;P30;1462;1421;6;3;1412;1302;15;12;57;3;5;2;1;;;4;;;;;1;;2;1;2;;2;;;;;;;;;;;;1;;;2;;;;;;;;;;;;;;;;;
Hei- en Boeicop;G0527;11024;Zuid-Holland;P28;357;328;3;9;316;1;18;108;21;5;;1;116;2;8;;2;28;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heiloo;G0399;10793;Noord-Holland;P27;2882;2770;22;42;2706;1124;456;208;60;269;317;22;9;20;115;25;8;2;17;4;2;9;3;8;;;6;;1;;;;3;;;;;;;8;;;;;;10;;;;;;;;;;;;;
Heinenoord;G0528;10821;Zuid-Holland;P28;1034;940;0;30;910;7;135;269;168;89;21;3;151;1;38;1;1;4;8;;;1;2;3;;;;;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heinkenszand;G0672;10413;Zeeland;P29;968;916;11;8;897;433;24;138;163;61;17;3;33;;3;3;8;2;;1;3;1;1;;;;1;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heino;G0162;10854;Overijssel;P23;1394;1352;8;9;1335;669;109;90;355;17;62;2;6;;5;4;3;1;2;;2;;1;;;;;;1;;;;;6;;;;;;;;;;;;;;;;;;;;;;;;;
Hekelingen;G1074;10873;Zuid-Holland;P28;530;493;8;5;480;;185;78;16;48;18;15;18;;93;;;1;;1;;2;1;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hekendorp;G1075;10217;Zuid-Holland;P28;341;319;5;5;309;87;7;72;39;22;5;1;35;;19;;3;;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Helden;G0918;10205;Limburg;P31;2793;2697;32;15;2650;2533;12;21;3;2;8;;10;1;;2;2;;3;;21;1;6;;1;7;;;;;;;;;15;;;;;;;;;;2;;;;;;;;;;;;;;
Hellendoorn;G0163;10806;Overijssel;P23;6748;6538;37;83;6418;1337;570;1393;1837;157;75;47;158;35;51;27;650;15;8;14;1;;9;5;4;;13;;3;;1;;;8;;;;;;;;;;;;;;;;;;;;;;;;;
Hellevoetsluis;G0530;11078;Zuid-Holland;P28;1089;1020;1;55;964;19;228;149;190;238;63;7;30;1;7;1;1;6;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Helmond;G0794;10932;Noord-Brabant;P30;11897;11280;171;282;10827;8238;1299;91;117;106;119;148;11;1;9;116;;5;10;5;102;9;61;2;22;;6;4;;76;7;;46;;;;;;7;;;210;;;;;;;;;;;;;;;;;
Helvoirt;G0795;10389;Noord-Brabant;P30;1059;1016;3;1;1012;896;3;2;40;4;;;15;;2;37;;;;;;1;;;4;;;;;3;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;
Hemelumer Oldephaert en Noordwolde;G1260;10334;Fryslân;P21;2761;2625;14;12;2599;82;237;598;1181;33;151;3;35;3;6;;48;204;2;;;2;5;3;2;;2;;1;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;
Hemmen;G1076;11162;Gelderland;P25;107;103;0;2;101;1;;28;41;1;;;11;;14;;1;;;;;;;3;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hendrik-Ido-Ambacht;G0531;10416;Zuid-Holland;P28;2313;2169;14;63;2092;9;438;580;251;184;23;6;496;6;23;2;7;34;9;1;;14;4;2;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hengelo;G0164;10907;Overijssel;P23;18504;17754;263;703;16788;4901;4880;1018;733;935;1424;732;43;321;95;403;622;20;48;313;147;;36;15;9;;11;;13;;4;;;65;;;;;;;;;;;;;;;;;;;;;;;;;
Hengelo;G0248;10359;Gelderland;P25;2496;2389;14;30;2345;772;245;463;440;128;129;2;49;1;42;14;2;1;6;7;6;9;3;1;;;5;;;;13;;;;;;;;;;7;;;;;;;;;;;;;;;;;;
Hengstdijk;G1077;10636;Zeeland;P29;282;262;7;9;246;214;1;1;8;5;;;4;;1;;;;;;;;;;;;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hennaarderadeel;G0076;10877;Fryslân;P21;2517;2416;13;10;2393;89;281;449;1123;100;221;8;13;2;9;;65;20;;8;1;2;3;2;1;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hensbroek;G0401;10181;Noord-Holland;P27;467;441;1;4;436;210;54;3;9;39;63;19;1;9;25;1;;;1;1;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Herkingen;G1078;10267;Zuid-Holland;P28;515;413;0;15;398;;12;200;6;2;3;;158;;2;1;2;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Herpen;G1079;11262;Noord-Brabant;P30;857;795;9;6;780;745;7;4;2;;;;1;;4;;;;;;2;1;2;;2;;;;;7;;;2;;;;;;;;;1;;;;;;;;;;;;;;;;;
Herpt;G1080;10845;Noord-Brabant;P30;282;276;0;4;272;243;2;4;19;;;;;;2;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Herten;G0919;10138;Limburg;P31;676;641;4;5;632;534;13;2;;;5;1;3;;;1;2;;51;1;14;;1;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Herwen en Aerdt;G0249;10819;Gelderland;P25;2542;2346;39;85;2222;1624;286;81;42;41;50;9;5;;3;16;8;10;4;;9;4;7;;;;4;;;;1;;6;;;;;;;;12;;;;;;;;;;;;;;;;;;
Herwijnen;G0250;11266;Gelderland;P25;1003;880;10;13;857;1;193;282;176;3;8;4;27;2;128;1;5;2;;3;;16;3;;;;2;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Het Bildt;G0063;10128;Fryslân;P21;4853;4578;50;65;4463;4;1103;1343;610;242;564;118;3;186;63;1;93;13;3;13;3;7;18;5;;;6;;64;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;
Heteren;G0251;10290;Gelderland;P25;1903;1799;8;23;1768;857;81;216;241;55;2;16;242;1;30;;6;6;1;;1;3;1;4;;;;;;;1;;;;;;;;;;4;;;;;;;;;;;;;;;;;;
Heukelum;G0533;11308;Zuid-Holland;P28;875;829;11;28;790;5;190;289;60;36;22;4;34;2;104;2;12;5;2;;;7;;;1;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heumen;G0252;10600;Gelderland;P25;1498;1074;3;10;1061;954;17;10;14;8;3;2;;;2;41;;;2;;4;;3;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;
Heusden;G0797;10307;Noord-Brabant;P30;988;892;7;22;863;448;107;71;108;30;15;2;31;1;;13;;19;2;;;2;5;;1;;2;2;;1;;;1;;;;;;1;;;1;;;;;;;;;;;;;;;;;
Heythuysen;G0920;10840;Limburg;P31;1213;1176;9;6;1161;1110;3;;2;4;1;2;5;;;17;1;1;4;;5;;;;;5;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;
Hillegersberg;G1081;10227;Zuid-Holland;P28;9918;9509;181;313;9015;1419;1480;1661;1202;1290;570;64;266;31;71;11;22;147;444;94;50;103;22;39;1;;6;2;5;;2;;;;;;;;10;;;;3;;;;;;;;;;;;;;;;
Hillegom;G0534;11236;Zuid-Holland;P28;5131;4811;49;43;4719;2315;601;556;548;210;65;24;77;2;5;120;58;73;9;10;6;9;5;9;;;;7;3;;;;;;;;;;6;;;;1;;;;;;;;;;;;;;;;
Hilvarenbeek;G0798;11297;Noord-Brabant;P30;1973;1925;19;5;1901;1594;33;18;28;26;5;;20;;24;126;2;2;1;;10;;6;;1;;;;;4;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hilversum;G0402;11285;Noord-Holland;P27;33252;31845;424;1043;30378;5998;7063;4018;3137;2739;1596;548;766;297;46;740;287;96;796;700;27;;56;128;1209;;22;;;;2;53;13;12;;;;;;10;;;15;;;4;;;;;;;;;;;;;
Hindeloopen;G0077;10672;Fryslân;P21;516;476;7;2;467;2;164;66;158;2;33;10;;;;1;15;8;;1;;1;5;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;
Hoedekenskerke;G0673;11072;Zeeland;P29;768;740;8;7;725;373;13;77;109;26;7;;108;;;;3;;1;2;;;2;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hoek;G0674;10038;Zeeland;P29;1543;1460;36;27;1397;26;178;280;145;335;12;6;270;3;39;2;8;39;4;15;2;2;3;2;;;13;;13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hoenkoop;G0319;10611;Utrecht;P26;279;261;2;3;256;135;7;49;18;5;4;1;15;;14;;;;1;;1;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hoensbroek;G0921;11177;Limburg;P31;4554;4425;101;163;4161;2362;992;99;141;7;10;101;22;6;4;111;25;4;19;35;97;20;12;;5;45;4;;3;;;;;;32;;;;;;;;;;5;;;;;;;;;;;;;;
Hoevelaken;G0253;11358;Gelderland;P25;632;589;5;13;571;35;85;86;188;12;;1;56;;64;2;;7;3;;;;;;;;;2;;;28;;1;;;;;;1;;;;;;;;;;;;;;;;;;;;
Hoeven;G0799;10065;Noord-Brabant;P30;1733;1658;25;21;1612;1494;54;5;12;;;2;25;;1;2;1;;;1;5;;;;;;;5;;1;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;
Holten;G0165;11246;Overijssel;P23;2178;2055;26;27;2002;27;309;329;873;68;188;6;14;2;59;4;86;1;3;11;1;;8;3;;;1;;3;;;;;6;;;;;;;;;;;;;;;;;;;;;;;;;
Hontenisse;G0675;11123;Zeeland;P29;2715;2541;37;34;2470;1996;34;24;58;52;10;6;46;1;15;9;1;3;1;2;12;1;2;2;;;195;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hoofdplaat;G0676;10147;Zeeland;P29;611;548;18;9;521;403;12;20;34;23;3;;17;1;;;;;1;1;;;2;1;;;2;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hoogblokland;G0535;11040;Zuid-Holland;P28;438;411;4;8;399;2;72;159;3;73;5;;64;;10;;;1;;1;;4;;;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hooge en Lage Mierde;G0801;10476;Noord-Brabant;P30;829;814;1;0;813;763;;;5;;3;;;;2;4;;;1;;5;22;2;;2;;1;;;;;;2;;;;;;;;;1;;;;;;;;;;;;;;;;;
Hooge en Lage Zwaluwe;G0802;11318;Noord-Brabant;P30;2453;2292;24;18;2250;1128;168;198;554;19;13;1;83;;8;18;1;23;8;5;;9;4;1;2;;;1;;;2;;;;;4;;;;;;;;;;;;;;;;;;;;;;;
Hoogeloon, Hapert en Casteren;G0800;10657;Noord-Brabant;P30;1075;1049;1;1;1047;1005;1;;33;;;1;;;;1;;;;;1;;;;2;;;;;;;;1;;;;;;;;;2;;;;;;;;;;;;;;;;;
Hoogeveen;G0118;10839;Drenthe;P22;7180;6581;180;380;6021;40;1059;2785;1218;138;325;21;132;8;30;7;67;21;14;11;;18;64;6;;;20;15;8;;6;;;;;;;;;;;;;;;;;;;;;;;8;;;;;
Hoogezand;G1083;10410;Groningen;P20;6066;5400;98;246;5056;392;1979;486;167;425;658;439;7;17;170;11;59;9;31;20;4;27;112;2;6;;7;;26;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;
Hoogkarspel;G0403;10642;Noord-Holland;P27;1056;1012;3;14;995;556;150;19;3;114;106;15;1;1;19;5;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;2;;1;;;;;;;;;;;
Hoogkerk;G1084;10953;Groningen;P20;2006;1911;17;42;1852;42;567;579;179;91;119;135;1;3;5;1;54;12;1;8;1;12;20;2;8;;4;;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hoogland;G0320;10545;Utrecht;P26;1697;1629;20;24;1585;1072;86;93;115;25;9;1;46;;63;17;5;1;3;1;2;6;1;;;;1;;2;;26;;;3;;;;1;;;;;;;;;;1;;5;;;;;;;;;
Hoogvliet;G1085;10348;Zuid-Holland;P28;618;580;10;20;550;14;68;153;133;21;8;5;101;3;19;1;2;1;1;2;;13;4;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hoogwoud;G0404;11029;Noord-Holland;P27;1159;1114;4;6;1104;498;199;12;5;97;196;20;;6;38;;19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hoorn;G0405;11392;Noord-Holland;P27;6726;6416;42;182;6192;1724;1921;366;250;739;631;72;9;124;73;146;39;2;7;6;4;10;6;16;;;4;;3;;;;3;;;;;;;10;;;;;;16;;11;;;;;;;;;;;
Hoornaar;G0536;10516;Zuid-Holland;P28;358;330;2;9;319;;47;180;2;48;12;;15;2;4;;;;;1;;7;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Horn;G0922;11176;Limburg;P31;755;733;1;13;719;661;6;;;1;;2;;;1;;;1;43;;1;;;1;;;;;;;;;;;1;;;;;;;;;;1;;;;;;;;;;;;;;
Horssen;G0254;10607;Gelderland;P25;520;498;0;2;496;424;1;;44;20;;;4;;;;;;;1;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;
Horst;G0923;11108;Limburg;P31;3196;3128;6;22;3100;2975;20;9;9;4;5;7;7;;2;24;;2;4;;8;;3;;;6;2;;;;;;;;13;;;;;;;;;;;;;;;;;;;;;;;;
Houten;G0321;10230;Utrecht;P26;1141;1094;12;14;1068;684;43;90;30;17;12;4;144;1;13;2;1;5;4;1;;1;;;;;1;13;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Houthem;G1086;11111;Limburg;P31;969;928;7;15;906;705;22;15;16;5;2;5;3;1;2;7;5;;1;;30;1;1;;;82;1;;;;;;;;1;;;;;;;;;;1;;;;;;;;;;;;;;
Huijbergen;G0803;10466;Noord-Brabant;P30;377;366;6;3;357;302;;;3;;1;1;2;1;;41;;;;;2;;1;;2;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;
Huissen;G0255;11047;Gelderland;P25;2524;2382;18;52;2312;2044;85;9;79;30;1;4;2;;16;11;2;2;4;;9;;3;;;;;;;;2;;1;;;;;;;;8;;;;;;;;;;;;;;;;;;
Huizen;G0406;11170;Noord-Holland;P27;4391;4092;60;72;3960;48;360;1543;804;137;120;46;320;25;7;4;109;243;82;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hulsberg;G0924;11216;Limburg;P31;1015;978;14;19;945;755;31;9;5;3;3;7;5;1;;12;4;1;6;4;28;3;5;;3;55;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;
Hulst;G0677;11408;Zeeland;P29;1982;1879;23;51;1805;1259;179;13;5;15;7;11;24;;7;1;;3;5;14;19;1;2;4;;;235;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hummelo en Keppel;G0256;11235;Gelderland;P25;1747;1610;28;23;1559;224;261;254;156;243;191;9;15;1;153;3;16;;9;4;4;4;4;;;;2;;;;5;;;;;;;;;;1;;;;;;;;;;;;;;;;;;
Hunsel;G0925;10784;Limburg;P31;677;649;2;4;643;628;;;;1;5;;;1;;;;;;;6;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;
Hurwenen;G1089;11432;Gelderland;P25;295;277;2;11;264;96;50;20;47;15;3;;2;;27;;1;;;1;;;;;;;1;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;
Idaarderadeel;G0078;10815;Fryslân;P21;3358;3143;11;51;3081;159;1408;212;57;206;750;78;;3;5;5;107;8;2;54;4;5;11;1;;;2;;3;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;
IJlst;G0102;11062;Fryslân;P21;749;721;3;6;712;2;94;240;277;16;32;4;;;2;1;29;14;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IJsselmonde;G1230;11357;Zuid-Holland;P28;3176;3037;43;104;2890;45;655;806;624;290;16;32;292;14;13;1;2;22;18;17;2;20;5;4;1;;;3;3;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IJsselmuiden;G0191;10641;Overijssel;P23;1552;1458;21;23;1414;306;98;249;182;36;32;8;370;2;76;6;13;10;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IJsselstein;G0353;10152;Utrecht;P26;2275;2203;23;24;2156;1007;118;194;294;25;7;8;214;;61;1;1;13;4;2;3;1;;3;3;;;190;1;;3;;;1;;;;;;;;;;;;;;1;;1;;;;;;;;;
IJzendijke;G0730;10688;Zeeland;P29;1353;1265;38;49;1178;674;151;49;36;128;18;20;13;1;8;6;4;1;7;8;5;1;6;;;;31;;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ilpendam;G0407;10809;Noord-Holland;P27;1265;1207;12;6;1189;226;336;123;91;16;120;140;13;;101;1;1;2;1;6;1;1;5;;;;;;1;;;;;;;;;;;1;;;;;;1;;2;;;;;;;;;;;
Itteren;G0926;10458;Limburg;P31;262;256;1;4;251;201;7;;;;;1;;;1;17;;;;;1;1;;;1;18;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;
Ittervoort;G1090;10190;Limburg;P31;153;148;0;4;144;130;2;3;;;;;2;;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jaarsveld;G1091;10847;Utrecht;P26;739;673;4;10;659;42;118;192;45;32;5;;168;1;30;;2;1;3;1;1;2;;;;;2;10;;;2;;;1;;;;;;;;;;;;;;1;;;;;;;;;;;
Jabeek;G0927;10256;Limburg;P31;243;235;3;9;223;199;4;;2;;;5;;;;;;1;;1;;;;;;7;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;
Jisp;G0408;10481;Noord-Holland;P27;396;377;4;10;363;18;115;20;7;11;69;22;;3;85;;1;1;;6;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jutphaas;G0322;10374;Utrecht;P26;2055;2008;18;34;1956;877;351;215;292;40;7;4;95;3;20;9;5;7;6;3;;5;;2;1;;;7;;;4;;;3;;;;;;;;;;;;;;;;;;;;;;;;;
Kamerik;G0323;10554;Utrecht;P26;995;906;6;4;896;293;4;161;160;5;2;3;201;;11;1;8;12;1;;;5;1;;27;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;
Kampen;G0166;10253;Overijssel;P23;10215;9547;92;225;9230;887;1499;2755;1797;418;411;21;924;35;27;33;267;28;44;14;10;;14;6;11;;10;;3;;1;;;15;;;;;;;;;;;;;;;;;;;;;;;;;
Kamperveen;G1092;10443;Overijssel;P23;288;270;0;2;268;3;5;85;73;2;8;;81;1;3;;2;;3;1;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kantens;G0020;10372;Groningen;P20;1185;1116;9;3;1104;15;383;288;135;130;88;3;;4;14;;12;2;3;5;;4;11;2;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kapelle;G0678;11223;Zeeland;P29;1459;1375;17;18;1340;24;130;361;434;87;120;1;112;2;21;2;13;2;11;5;1;3;2;2;;;3;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kats;G1094;10919;Zeeland;P29;334;302;5;15;282;3;56;49;82;20;23;;22;2;19;1;;2;;1;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kattendijke;G0679;11218;Zeeland;P29;634;591;16;11;564;7;79;74;278;45;21;3;24;;11;1;7;1;1;1;2;2;2;1;;;1;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Katwijk;G0537;10707;Zuid-Holland;P28;7291;6634;108;97;6429;370;333;1029;3623;84;48;6;486;1;9;4;158;189;15;8;3;19;8;4;5;;2;4;;;2;;;;;;;;18;;;;11;;;;;;;;;;;;;;;;
Katwoude;G0409;11136;Noord-Holland;P27;117;116;0;0;116;8;7;21;36;1;4;1;;;31;1;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kedichem;G0538;10280;Zuid-Holland;P28;622;567;8;12;547;4;144;104;15;54;25;4;31;;128;;14;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kerkrade;G0928;10313;Limburg;P31;12748;12327;486;716;11125;6459;1678;105;162;33;222;521;61;29;24;654;28;13;47;23;716;35;38;25;18;122;20;;11;;;;;;65;;;;;;;;;;16;;;;;;;;;;;;;;
Kerkwerve;G1095;10837;Zeeland;P29;422;393;15;0;378;2;37;163;48;51;14;;37;;15;;1;1;1;4;;1;;1;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kerkwijk;G0257;10791;Gelderland;P25;656;605;4;7;594;2;56;319;28;3;2;;46;;4;;125;;1;2;;1;;1;;;1;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
