RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;Rooms-Katholieke Staatspartij (RKSP);Sociaal-Democratische Arbeiderspartij (SDAP);Anti-Revolutionaire Partij;Christelijk-Historische Unie;Liberale Staatspartij (LSP);Vrijzinnig-Democratische Bond (VDB);Staatkundig Gereformeerde Partij (SGP);Groep Staalman-ter Hall;Rooms-Katholieke Volkspartij (RKVP);Plattelandersbond (Braat);Communistische Partij van Nederland;HGSP;Middenstandspartij;Plattelandersbond (De Boer);Protestantsche Volkspartij;Christen-democraten;Vaderlandsch Verbond;Revolutionair arbeiderscomitT;Democratische Partij;Socialistische Partij (SOPA);Rapaille-partij;Sport-partij;Bezuinigingspartij;Vrijdenkers;Actualisten;Pensioenactie;Grondpartij;Landbouwpartij;Premievrij Staatspensioen;Nieuwe Nationale Partij;Wilde Partij;Rentetrekkers;Vrijzinnige Christenpartij
Utrecht;G0344;10722;Utrecht;P26;76021;66691;;;66691;14607;20778;8011;5211;4850;4106;1231;668;3029;100;295;637;1413;40;341;512;259;199;126;20;;;39;96;100;;;;;23;;;
Vaals;G0981;10007;Limburg;P31;3127;0;;;;5085;379;;;;;;;62;;;;;;;;;;;;;;;;;;;;;;;;
Valburg;G0283;11071;Gelderland;P25;2960;2744;90;;2654;919;185;436;683;128;24;81;6;24;64;;5;4;12;23;3;15;;37;;;;4;;1;;;;;;;;
Valkenburg (ZH);G0619;10028;Zuid-Holland;P28;365;0;;;;19;6;60;185;;10;6;;;2;;49;;1;;2;;;4;;;;;;;;;;;;;;
Valkenswaard;G0858;11031;Noord-Brabant;P30;2173;2108;82;;2026;1591;282;4;21;4;20;;8;61;3;6;;2;;;;16;;;;;;;;1;;;;7;;;;
Varik;G0284;11064;Gelderland;P25;610;479;;;479;94;43;39;153;51;16;7;1;5;50;;;2;11;1;2;;;3;;;;1;;;;;;;;;;
Veen;G0859;10015;Noord-Brabant;P30;441;344;17;;327;1;18;56;12;28;8;43;;;11;;128;2;;;13;1;;1;1;;;2;;;;;;2;;;;
Veendam;G0047;11292;Groningen;P20;6622;5872;;;5872;367;2742;582;425;356;656;10;19;3;539;10;2;8;47;30;19;8;5;24;5;;5;2;;3;;5;;;;;;
Veenendaal;G0345;11052;Utrecht;P26;3228;2900;;;2900;52;326;1678;134;54;67;413;25;3;39;6;16;1;3;8;20;23;5;15;2;;;3;;;;;;;7;;;
Veere;G0717;10369;Zeeland;P29;;468;21;;447;16;41;177;60;22;67;31;14;1;2;5;1;;4;1;;3;1;1;;;;;;;;;;;;;;
Veghel;G0860;10985;Noord-Brabant;P30;3455;3280;73;;3207;2937;49;5;6;6;60;2;16;98;1;2;1;7;;;4;2;;5;3;1;;2;;;;;;;;;;
Veldhoven;G0861;10071;Noord-Brabant;P30;2404;2308;30;;2278;2140;19;8;35;4;1;2;5;56;;3;;2;;;;2;;;1;;;;;;;;;;;;;
Veldhuizen;G1207;10713;Utrecht;P26;266;253;6;;247;126;9;19;78;3;;5;;1;2;;;;1;;;;1;1;;;;1;;;;;;;;;;
Velp;G1208;10170;Noord-Brabant;P30;367;329;4;;325;310;4;;;;1;;;9;1;;;;;;;;;;;;;;;;;;;;;;;
Venlo;G0983;10477;Limburg;P31;9371;8898;;;8521;6557;1256;52;60;89;126;7;74;143;7;21;3;;;6;17;16;10;14;;;;13;;9;;;41;;;;;
Venray;G0984;11222;Limburg;P31;4093;3805;;;3805;3595;38;5;5;3;15;2;13;74;2;6;6;;;4;;6;1;1;;;;7;;;;;22;;;;;
Vessem, Wintelre en Knegsel;G0862;11414;Noord-Brabant;P30;622;609;;;609;597;1;;;;2;;;9;;;;;;;;;;;;;;;;;;;;;;;;
Veur;G1209;10366;Zuid-Holland;P28;1233;1149;19;;1130;796;98;64;86;31;7;6;2;7;3;;21;;1;4;2;1;1;;;;;;;;;;;;;;;
