RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;Rooms-Katholieke Staatspartij (RKSP);Sociaal-Democratische Arbeiderspartij (SDAP);Anti-Revolutionaire Partij;Christelijk-Historische Unie;Liberale Staatspartij (LSP);Vrijzinnig-Democratische Bond (VDB);Staatkundig Gereformeerde Partij (SGP);Groep Staalman-ter Hall;Rooms-Katholieke Volkspartij (RKVP);Plattelandersbond (Braat);Communistische Partij van Nederland;HGSP;Middenstandspartij;Plattelandersbond (De Boer);Protestantsche Volkspartij;Christen-democraten;Vaderlandsch Verbond;Revolutionair arbeiderscomitT;Democratische Partij;Socialistische Partij (SOPA);Rapaille-partij;Sport-partij;Bezuinigingspartij;Vrijdenkers;Actualisten;Pensioenactie;Grondpartij;Landbouwpartij;Premievrij Staatspensioen;Nieuwe Nationale Partij;Wilde Partij;Rentetrekkers;Vrijzinnige Christenpartij
De Werken en Sleeuwijk;G1222;10116;Noord-Brabant;P30;1634;1441;25;19;1397;5;103;799;193;109;28;122;3;3;13;;1;1;;;;9;;4;2;;;;;1;;;;1;;;;
De Wijk;G0135;10753;Drenthe;P22;1689;1537;;;1537;5;276;332;154;224;198;4;16;4;59;;3;11;129;2;1;;2;115;;;;;;;;2;;;;;;
Deil;G0217;10057;Gelderland;P25;;1109;80;;1029;225;106;39;237;87;28;32;7;6;142;;10;6;7;4;4;2;;84;;;;1;;1;;;;;1;;;
Delft;G0503;10928;Zuid-Holland;P28;23700;22145;1086;;21059;6295;6270;2341;1790;1197;378;997;656;134;42;313;64;284;10;33;61;75;14;41;22;;;18;;11;;11;;;2;;;
Den Bommel;G1024;10293;Zuid-Holland;P28;888;755;;;755;200;12;208;13;75;12;174;3;2;38;;1;4;2;;1;3;2;4;;;;;;;;1;;;;;;
Den Dungen;G0768;10491;Noord-Brabant;P30;792;746;4;;742;716;2;;;1;2;;11;9;;;;;;;1;;;;;;;;;;;;;;;;;
Den Ham;G0159;10395;Overijssel;P23;;2662;60;34;2575;178;155;736;1035;82;38;16;9;12;140;7;29;7;67;18;13;12;4;15;2;;;;;;;;;;;;;
Den Helder;G0400;10285;Noord-Holland;P27;15560;12214;;;12214;1383;4528;1173;475;357;2026;38;641;40;39;8;15;58;26;33;826;73;32;29;13;;;12;370;11;;6;;;2;;;
Denekamp;G0149;10245;Overijssel;P23;2447;2277;;;2277;1659;80;28;96;53;9;;1;291;;2;;1;4;42;2;3;;;6;;;;;;;;;;;;;
Deurne en Liessel;G1041;10379;Noord-Brabant;P30;3997;3803;26;34;3743;3300;25;9;75;18;8;7;13;234;8;3;;19;;;4;2;;10;;2;;2;;3;;;;1;;;;
Deventer;G0150;10899;Overijssel;P23;17225;15137;;;15137;2494;4243;741;955;1242;3249;28;196;65;34;381;18;93;30;31;21;45;15;48;1208;;;;;;;;;;;;;
Didam;G0218;10153;Gelderland;P25;2363;2082;;;2082;1880;63;4;9;12;8;;6;44;2;;;11;2;31;2;2;;2;;;;2;;2;;;;;;;;
Diepenheim;G0151;10311;Overijssel;P23;950;836;;;836;64;285;37;122;91;184;4;;3;21;4;1;6;4;1;2;3;3;1;;;;;;;;;;;;;;
Diepenveen;G0152;10933;Overijssel;P23;3002;2727;;;2727;800;420;90;405;294;557;3;17;14;35;11;4;16;14;4;4;11;3;1;24;;;;;;;;;;;;;
Diessen;G0763;11185;Noord-Brabant;P30;589;562;;;562;534;2;3;2;;;9;;6;2;;;;;2;1;1;;;;;;;;;;;;;;;;
Diever;G0111;10418;Drenthe;P22;1247;1123;;;1123;41;324;242;47;17;176;1;21;1;155;2;4;4;78;1;4;;1;3;;;;;;;;1;;;;;;
Dinteloord en Prinsenland;G0764;11193;Noord-Brabant;P30;1742;1588;;;1588;598;94;214;393;45;26;152;1;10;34;;2;5;;1;2;7;;2;;;;1;;1;;;;;;;;
Dinther;G1044;10690;Noord-Brabant;P30;877;840;6;;834;791;;;19;;;1;1;13;5;;1;2;;;;;;1;;;;;;;;;;;;;;
Dinxperlo;G0219;11154;Gelderland;P25;1562;1474;14;18;1442;199;161;406;305;65;45;5;3;4;4;;5;2;;223;7;5;;2;;;;1;;;;;;;;;;
Dirksland;G0504;11344;Zuid-Holland;P28;1373;1170;;;1170;4;110;578;97;62;25;192;2;2;52;1;1;11;6;1;3;7;2;6;;;;4;;1;;2;;;1;;;
Dodewaard;G0220;10647;Gelderland;P25;1039;924;57;;867;18;211;338;50;136;10;62;3;;12;;2;3;3;11;1;4;;3;;;;;;;;;;;;;;
Doesburg;G0221;10327;Gelderland;P25;2458;2248;66;75;2107;759;392;116;342;163;86;15;18;35;4;;5;15;3;124;4;6;;8;;;;3;;8;;;;;1;;;
Doetinchem;G0222;10396;Gelderland;P25;5858;5517;169;;5348;1325;1201;345;444;566;529;48;73;262;46;;7;20;8;443;10;9;;6;;;;4;;1;;;;;1;;;
Dokkum;G0066;10198;Fryslân;P21;2667;2491;61;;2430;145;465;879;207;339;270;21;4;3;10;4;2;3;5;2;43;13;1;2;5;;2;1;;2;;2;;;;;;
Domburg;G0660;10236;Zeeland;P29;;685;15;15;655;14;112;160;89;67;53;102;12;2;6;3;4;;2;2;4;14;1;;1;;;4;2;1;;;;;;;;
Dommelen;G1045;10424;Noord-Brabant;P30;233;230;;;230;226;1;;;;1;;;1;;;;1;;;;;;;;;;;;;;;;;;;;
Dongen;G0766;11412;Noord-Brabant;P30;3872;3611;;;3611;3277;42;14;65;11;14;1;9;141;13;;1;7;;;5;2;;6;;;;3;;;;;;;;;;
Doniawerstal;G0067;10086;Fryslân;P21;2778;2625;45;;2580;594;338;403;778;65;124;1;4;8;75;4;44;4;82;31;;9;1;3;6;;4;2;;;;;;;;;;
Doorn;G0315;10213;Utrecht;P26;1838;1672;;;1672;38;254;377;513;208;60;103;39;3;17;1;3;8;10;3;;26;3;3;1;;;;1;;;;;;1;;;
Doornspijk;G0223;10069;Gelderland;P25;2040;1787;135;;1652;2;54;585;587;8;10;141;1;5;17;3;88;3;65;43;12;14;4;1;2;;;3;;4;;;;;;;;
Dordrecht;G0505;11157;Zuid-Holland;P28;27439;0;;;;2834;7612;4316;2449;3282;1103;621;343;51;187;187;28;81;41;31;78;182;48;27;24;;;87;;12;;8;;;12;;;
Dreischor;G1047;10885;Zeeland;P29;;651;28;;623;1;268;13;27;55;34;11;9;1;41;3;3;;140;2;1;1;;;;;;5;7;1;;;;;;;;
Dreumel;G0224;11232;Gelderland;P25;1260;1138;26;;1112;968;43;;37;24;5;3;5;11;7;;1;1;3;;1;2;;1;;;;;;;;;;;;;;
Driebergen;G1048;10777;Utrecht;P26;2769;2583;109;;2474;257;341;511;598;198;202;206;20;9;25;4;10;5;10;3;29;26;11;5;;;;1;1;1;;;;;1;;;
Driel;G1248;10341;Gelderland;P25;1818;1641;;;1641;1340;13;21;127;9;18;42;5;26;27;;1;;5;;1;1;;2;;;;2;;1;;;;;;;;
Driewegen;G0661;11115;Zeeland;P29;;325;6;2;317;35;25;77;115;24;12;6;4;;9;;;;8;;;;;1;;;;;;1;;;;;;;;
Drunen;G0767;10428;Noord-Brabant;P30;1574;1502;18;;1484;1384;11;;23;6;3;;2;48;1;;;;;;;;;3;;1;;2;;;;;;;;;;
Druten;G0225;10068;Gelderland;P25;2678;2436;;;2436;2232;26;5;90;13;10;1;8;28;5;;5;4;1;2;3;1;;;;;;;;2;;;;;;;;
Dubbeldam;G0507;10781;Zuid-Holland;P28;1949;1601;;;1601;21;417;402;284;137;34;59;13;8;155;9;5;16;8;1;7;7;4;5;2;;;6;;;;1;;;;;;
Duiven;G0226;11028;Gelderland;P25;1611;1454;;;1454;1339;4;29;10;9;5;;4;13;3;;5;7;6;18;1;;;1;;;;;;;;;;;;;;
Duivendijke;G1050;10335;Zeeland;P29;;276;10;;266;2;15;140;12;33;7;11;4;;6;;;;29;;1;1;;2;1;;;;2;;;;;;;;;
Dussen;G0769;10261;Noord-Brabant;P30;1652;1456;34;;1422;860;25;214;137;30;14;59;2;40;16;2;5;4;;;;6;;1;3;1;;1;;;;;;2;;;;
Dwingeloo;G0112;10331;Drenthe;P22;1369;1241;;;1241;3;292;197;62;111;260;5;9;5;196;3;1;11;63;1;2;;4;15;;;;;;;;1;;;;;;
Echt;G0902;10941;Limburg;P31;3336;3100;;;3100;2769;144;9;12;6;17;1;10;47;;5;5;;;1;2;1;;2;;;;8;;1;;;60;;;;;
Echteld;G0227;10832;Gelderland;P25;1671;1441;;;1441;33;445;236;90;430;9;88;1;3;76;;3;3;3;5;2;9;;5;;;;;;;;;;;;;;
Edam;G1315;10884;Noord-Holland;P27;3943;3714;66;;3648;2069;539;111;174;189;404;5;24;6;52;2;1;6;13;4;9;7;8;6;3;;;4;11;1;;;;;;;;
Ede;G0228;10743;Gelderland;P25;11787;10992;404;;10588;442;1371;3100;1767;543;491;2056;142;14;87;40;119;18;92;27;64;123;34;27;10;;;3;;14;;4;;;;;;
Eede;G1052;11128;Zeeland;P29;;391;20;;371;345;1;1;;3;2;;1;9;1;;;;;;;3;;2;;;;1;2;;;;;;;;;
Eelde;G0113;10622;Drenthe;P22;1592;1376;;;1376;5;506;67;29;79;121;3;19;2;414;5;12;10;61;2;6;4;7;19;;;;;;;;5;;;;;;
Eemnes;G0317;10248;Utrecht;P26;863;765;;;765;402;27;114;134;4;21;24;3;13;1;2;1;3;1;;1;3;8;1;2;;;;;;;;;;;;;
Eenrum;G0011;10904;Groningen;P20;1377;1300;;;1280;40;559;272;7;225;126;;;;22;;;;4;;;;;;;;;;;;;;;;;;;
Eersel;G0770;10741;Noord-Brabant;P30;1075;1040;12;;1028;994;1;;10;2;;;;15;;;;4;;;;1;;;;;;1;;;;;;;;;;
Egmond aan Zee;G0386;10421;Noord-Holland;P27;1495;1077;;;1077;140;293;48;46;50;131;1;80;5;11;1;9;2;2;8;217;6;7;2;1;;;6;3;2;;4;;;2;;;
Egmond-Binnen;G0387;10989;Noord-Holland;P27;959;0;;;;701;37;12;;18;;1;44;12;;;;;;2;2;;4;;;;;;1;;;;;;;;;
Eibergen;G0229;10436;Gelderland;P25;3719;3563;39;33;3490;1523;387;328;394;385;211;2;17;23;98;1;1;9;23;46;2;12;19;3;1;;;1;;;;4;;;;;;
Eijgelshoven;G0904;10960;Limburg;P31;963;863;17;26;820;540;203;4;4;3;3;;8;27;3;4;1;;;;;6;1;7;;;;3;;;;;3;;;;;
Eijsden;G0905;10314;Limburg;P31;1538;0;;;;1195;77;;;;;;;34;;;;;;;;;;;;;;;;;;;;;;;;
Eindhoven;G0772;11298;Noord-Brabant;P30;24653;23093;818;;22275;16453;3214;362;316;187;554;11;125;710;15;126;7;42;;;30;28;;14;8;24;;8;;13;;;;28;;;;
Elburg;G0230;11113;Gelderland;P25;1292;1194;59;;1135;1;54;194;559;16;32;14;1;;2;1;155;2;48;23;14;4;3;3;1;;;6;;1;;1;;;;;;
Elkerzee;G1053;10184;Zeeland;P29;;309;10;;299;;22;87;44;67;15;27;1;;10;;;;21;;;1;1;;;;;;2;1;;;;;;;;
Ellemeet;G1054;10102;Zeeland;P29;283;259;9;;250;;13;26;21;123;15;3;1;;13;1;;;30;;1;;;2;;;;;1;;;;;;;;;
Ellewoutsdijk;G0663;11300;Zeeland;P29;;299;7;;292;5;104;35;31;13;73;10;;1;2;3;4;;3;4;2;2;;;;;;;;;;;;;;;;
Elsloo;G0903;11187;Limburg;P31;889;858;24;33;801;732;25;4;2;2;2;1;2;16;;2;;;;1;1;2;2;;;;;2;;;;;5;;;;;
Elst;G0231;11188;Gelderland;P25;3867;3526;;;3526;1849;470;171;257;396;91;47;18;39;39;;41;;18;63;3;4;;5;;;;6;;8;;;;;1;;;
Emmen;G0114;11180;Drenthe;P22;16240;14189;1071;;13118;1640;4469;2407;1835;645;753;34;80;47;248;144;16;106;290;37;196;23;82;37;;;;;;;;21;;;8;;;
Empel en Meerwijk;G0773;10295;Noord-Brabant;P30;309;289;4;6;279;250;1;2;4;;6;;3;12;;;;1;;;;;;;;;;;;;;;;;;;;
Engelen;G0774;10322;Noord-Brabant;P30;825;308;12;;296;232;12;3;23;7;2;1;3;5;5;;;1;;;;;;;;;;;;;;;;2;;;;
Enschede;G0153;10364;Overijssel;P23;21888;19535;;;19535;3370;7728;1860;1570;1638;998;35;297;587;52;373;16;55;58;60;54;64;13;26;681;;;;;;;;;;;;;
Epe;G0232;10940;Gelderland;P25;5698;5276;181;;5095;573;965;504;1091;513;1028;50;44;24;41;8;18;11;101;23;9;29;21;18;5;;;8;;5;;6;;;;;;
Ermelo;G0233;10732;Gelderland;P25;5544;5058;198;;4860;35;313;1523;2085;171;128;345;23;1;22;7;7;1;101;17;8;40;15;6;3;;;4;;3;;2;;;;;;
Erp;G0775;10385;Noord-Brabant;P30;1278;1259;16;;1243;1206;6;1;;;5;;2;15;;;;4;;;;2;;;;2;;;;;;;;;;;;
Esch;G0776;10709;Noord-Brabant;P30;313;303;;;303;279;2;2;;;1;;7;7;;;;;;2;;;;1;;;;2;;;;;;;;;;
Escharen;G1057;10299;Noord-Brabant;P30;624;592;4;;588;580;1;;;;1;;1;4;;;;1;;;;;;;;;;;;;;;;;;;;
Est en Opijnen;G0234;11092;Gelderland;P25;571;457;;;457;2;54;20;114;172;10;45;;;16;;1;1;12;3;1;2;;;;;;3;;;;;;;1;;;
Etten en Leur;G1251;10750;Noord-Brabant;P30;4110;3733;;;3733;3231;148;16;132;28;22;3;19;68;5;;6;22;;4;6;6;;3;3;;;9;;2;;;;;;;;
Ewijk;G0235;10471;Gelderland;P25;1301;1214;;;1214;1121;2;5;8;55;1;;2;15;3;;;1;1;;;;;;;;;;;;;;;;;;;
Ferwerderadeel;G0068;11284;Fryslân;P21;4433;4257;73;;4184;1;646;2037;651;400;99;5;5;2;74;2;72;10;22;68;14;17;3;6;8;;11;3;;;;24;;;4;;;
Fijnaart en Heijningen;G0778;10206;Noord-Brabant;P30;2091;1908;;;1908;676;63;260;512;12;15;4;2;18;23;;295;7;;3;7;5;;1;1;;;2;;2;;;;;;;;
Finsterwolde;G0013;10212;Groningen;P20;1557;1129;;;1129;7;282;46;65;168;115;5;6;3;41;265;21;9;26;3;12;11;5;16;7;;3;4;;;;6;;;3;;;
Franeker;G0069;11226;Fryslân;P21;4210;3864;153;;3711;474;1188;767;488;196;274;5;51;66;26;10;14;1;19;41;16;9;8;16;10;;24;2;;1;;4;;;1;;;
Franekeradeel;G0070;10404;Fryslân;P21;2827;2600;71;;2529;93;731;480;619;185;218;4;4;7;52;5;14;5;35;7;2;7;3;15;2;;13;1;;;;26;;;1;;;
Gaasterland;G0071;10036;Fryslân;P21;2983;2824;54;;2770;550;147;585;1115;45;70;32;5;7;32;2;79;10;50;17;2;7;1;3;1;;5;4;;1;;;;;;;;
Gameren;G1058;10037;Gelderland;P25;992;878;34;;844;6;119;451;34;12;11;107;2;2;67;;;3;5;1;1;10;;6;;;;6;;1;;;;;;;;
Gassel;G1059;10705;Noord-Brabant;P30;297;287;4;;283;274;;1;;;;;;3;3;;;2;;;;;;;;;;;;;;;;;;;;
Gasselte;G0115;11099;Drenthe;P22;1590;1387;;;1387;8;544;201;177;77;50;3;14;3;75;3;3;8;198;1;11;1;5;3;;;;;;;;;;;2;;;
Geertruidenberg;G0779;10101;Noord-Brabant;P30;1258;1085;;;1085;779;63;47;56;27;60;4;5;16;8;;1;3;;;2;7;;1;3;;;3;;;;;;;;;;
Geervliet;G0509;10842;Zuid-Holland;P28;526;479;18;;461;1;116;43;54;64;10;42;1;;109;3;;;12;;;4;1;1;;;;;;;;;;;;;;
Geffen;G0780;10370;Noord-Brabant;P30;772;747;6;;741;711;7;;1;;7;;;12;;;;;;;1;2;;;;;;;;;;;;;;;;
Geldermalsen;G0236;10881;Gelderland;P25;1985;1730;70;;1660;16;513;150;309;210;68;179;19;;85;;4;2;38;8;10;5;;36;;;;3;;1;;;;;4;;;
Geldrop;G0781;10529;Noord-Brabant;P30;2520;2400;59;;2341;2135;27;26;22;2;15;1;7;74;5;3;2;7;;;1;5;;2;;4;;1;;1;;;;1;;;;
Geleen;G0906;10048;Limburg;P31;2516;0;;;;1252;156;;;;;;;29;;;;;;;;;;;;;;;;;;;;;;;;
Gemert;G0782;10277;Noord-Brabant;P30;2519;2442;52;;2390;2248;24;6;6;1;7;1;8;65;11;1;;6;;;;1;;;;1;;1;;;;;;3;;;;
Genderen;G1060;10010;Noord-Brabant;P30;1231;1117;38;;1079;46;20;443;109;99;22;193;1;2;31;1;4;;;;;17;;85;;2;;1;;2;;;;1;;;;
Gendringen;G0237;10260;Gelderland;P25;4131;3868;;;3868;2718;66;173;118;45;23;5;5;147;6;;8;5;2;538;3;2;;3;;;;1;;;;;;;;;;
Gendt;G0238;10440;Gelderland;P25;1615;1266;;;1266;1157;12;3;56;9;7;;4;9;1;;;2;2;;1;2;;;;;;1;;;;;;;;;;
Genemuiden;G0154;10746;Overijssel;P23;1574;1303;;;1303;1;65;757;94;17;28;266;8;;22;5;14;5;;2;2;13;2;1;1;;;;;;;;;;;;;
Gennep;G0907;10542;Limburg;P31;1573;1321;;;1321;960;201;10;35;5;21;1;5;42;5;10;3;;;1;1;4;3;1;;;;6;;1;;;6;;;;;
Geulle;G0908;10530;Limburg;P31;614;0;;;;498;14;;;;;;;30;;;;;;;;;;;;;;;;;;;;;;;;
Giessen;G0783;10193;Noord-Brabant;P30;275;201;3;1;197;1;6;70;55;24;2;23;;;9;1;1;;;;1;3;;1;;;;;;1;;;;;;;;
Gieten;G0116;10506;Drenthe;P22;1554;1412;;;1412;11;496;71;197;224;67;4;17;2;200;2;6;16;69;3;6;3;6;10;;;;;;;;1;;;1;;;
Giethoorn;G0155;10708;Overijssel;P23;1215;1077;;;1077;6;447;76;150;140;107;;9;1;41;65;13;2;4;3;5;1;;7;;;;;;;;;;;;;;
Gilze en Rijen;G0784;11375;Noord-Brabant;P30;2877;2769;;;2769;2659;27;5;6;3;8;2;2;45;1;;;4;;;2;1;;;;;;4;;;;;;;;;;
Ginneken en Bavel;G1064;10406;Noord-Brabant;P30;4943;4545;;;4545;3286;324;71;173;245;148;6;93;95;8;;10;11;;12;10;29;;8;4;;;6;;6;;;;;;;;
Goedereede;G0511;10981;Zuid-Holland;P28;645;525;15;60;450;3;80;111;15;51;19;70;3;;77;1;3;3;1;2;7;1;1;1;;;;1;;;;;;;;;;
Goes;G0664;10674;Zeeland;P29;4349;4000;179;;3821;585;693;626;951;400;294;118;22;8;20;5;29;;16;3;8;19;7;2;5;;;3;6;1;;;;;;;;
Goirle;G0785;10971;Noord-Brabant;P30;1831;1705;;;1705;1475;28;9;5;7;11;2;8;139;5;;;4;;1;4;4;;;;;;2;;1;;;;;;;;
Goor;G0156;10076;Overijssel;P23;;1848;;;1848;383;943;47;115;59;163;3;26;9;12;20;10;4;3;24;8;7;8;;4;;;;;;;;;;;;;
Gorinchem;G0512;10942;Zuid-Holland;P28;7076;0;;;;752;1607;1364;326;898;362;130;120;16;125;171;8;21;9;17;35;18;7;26;6;;;14;;7;;3;;;1;;;
Gorssel;G0239;10085;Gelderland;P25;3808;3489;130;;3358;161;735;648;601;769;206;13;21;7;54;7;6;12;27;12;11;18;12;14;16;;;2;;4;;2;;;;;;
Gouderak;G0514;11258;Zuid-Holland;P28;1008;845;;;845;15;143;200;22;160;48;149;19;;35;1;4;2;7;11;3;9;5;2;1;;;6;;;2;;;;1;;;
Goudswaard;G0516;10914;Zuid-Holland;P28;687;514;;;514;3;61;15;32;53;;222;2;;95;1;12;1;5;1;2;1;;5;;;;2;;;;;;;1;;;
Graauw en Langendam;G0665;10312;Zeeland;P29;997;818;4;34;780;553;14;11;9;4;5;1;2;24;2;2;8;;3;2;;;1;;;;;131;5;3;;;;;;;;
Grafhorst;G1065;10224;Overijssel;P23;361;330;;;330;5;13;27;11;1;14;237;;2;15;;;;;2;;2;;;1;;;;;;;;;;;;;
Graft;G0389;10484;Noord-Holland;P27;688;0;;;;134;192;6;37;;183;;;3;;1;;1;5;3;;;;;;;;;;;;;;;;;;
Gramsbergen;G0157;11339;Overijssel;P23;1828;1644;;;1644;47;119;499;617;133;43;8;15;2;72;2;;3;37;31;1;9;;5;1;;;;;;;;;;;;;
Grathem;G0909;11008;Limburg;P31;667;645;;;645;622;4;;;;1;;1;10;;1;;;;1;1;3;;;;;;;;;;;1;;;;;
Grave;G0786;10165;Noord-Brabant;P30;1118;1014;26;;988;699;41;7;8;10;18;2;9;156;16;1;;1;;;;11;;2;2;3;;1;;1;;;;;;;;
Grijpskerk;G0016;10244;Groningen;P20;1781;1671;20;;1651;2;160;850;140;186;166;;;;49;1;;;19;;;;;;;;;;;;;;;;;;;
Grijpskerke;G1067;10801;Zeeland;P29;;426;8;2;416;;;271;85;2;;45;;;;;1;;6;;;5;;;;;;;1;;;;;;;;;
Groede;G0667;11312;Zeeland;P29;1371;1263;42;12;1209;155;119;83;153;386;183;10;4;2;55;2;1;;10;;2;7;;21;1;;;6;6;3;;;;;;;;
Groenlo;G0240;11094;Gelderland;P25;1835;1729;37;;1692;1224;104;10;57;114;84;;7;64;8;2;;2;1;2;5;;5;1;;;;1;;1;;;;;;;;
Groesbeek;G0241;10616;Gelderland;P25;2983;2653;;;2653;2237;97;24;51;33;26;2;14;123;6;;3;6;3;5;3;3;;9;;;;5;;3;;;;;;;;
Groningen;G0014;10426;Groningen;P20;50337;44772;2003;;42769;3748;14317;5874;4556;3028;6260;56;881;113;200;1463;625;183;134;58;247;112;72;544;7;;136;48;;29;;61;;;17;;;
Gronsveld;G0911;10323;Limburg;P31;720;471;;;471;446;6;;1;;3;;;2;;3;;;;1;;;1;1;;;;3;;;;;4;;;;;
Grubbenvorst;G0912;10176;Limburg;P31;991;419;;;419;884;18;4;;;4;;2;16;1;;;;;1;1;1;1;;;;;4;;;;;4;;;;;
Gulpen;G0913;11032;Limburg;P31;1316;0;;;;1015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Haaften;G0242;10125;Gelderland;P25;1285;1087;;;1087;1;246;232;255;33;16;134;;1;134;;3;3;10;2;;7;;7;;;;;;2;;;;;1;;;
Haaksbergen;G0158;11435;Overijssel;P23;3348;3154;;;3154;2007;552;31;33;35;223;;2;77;162;5;3;6;7;1;;1;2;2;5;;;;;;;;;;;;;
Haamstede;G1068;10701;Zeeland;P29;661;620;26;;594;;50;134;132;124;10;32;11;3;9;2;;;62;2;3;6;1;2;;;;4;7;;;;;;;;;
Haaren;G0788;11155;Noord-Brabant;P30;966;922;;;922;906;3;;;;;;1;10;;;;;;;;;;;;;;;;2;;;;;;;;
Haarlemmermeer;G0394;11387;Noord-Holland;P27;;10233;280;;9953;2326;1775;2426;1706;488;238;312;60;15;221;60;53;16;51;58;30;16;55;15;18;;;6;;3;;;;;5;;;
Haarzuilens;G1069;10737;Utrecht;P26;226;221;6;;215;174;;6;22;;1;2;1;4;1;;;;;;;1;1;;1;;;;1;;;;;;;;;
Haastrecht;G0521;11049;Zuid-Holland;P28;990;0;;;;;63;132;32;190;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Haelen;G0914;10321;Limburg;P31;525;489;;;489;446;9;1;;1;2;;3;15;5;1;1;;;;1;;;;;;;;;;;;4;;;;;
Halsteren;G0789;10387;Noord-Brabant;P30;2503;2191;;;2191;1801;69;56;28;23;37;12;7;78;12;;7;16;;4;6;12;;8;2;;;10;;3;;;;;;;;
Haps;G0790;11283;Noord-Brabant;P30;587;576;3;;573;560;;2;;;;;1;8;;;;2;;;;;;;;;;;;;;;;;;;;
Harderwijk;G0243;10786;Gelderland;P25;4037;3717;103;;3614;145;396;760;1478;112;178;254;22;11;13;1;4;1;88;6;75;36;17;10;1;;;3;;1;;2;;;;;;
Haren;G0017;11058;Groningen;P20;3069;3053;;;2966;29;697;631;366;391;288;;;;196;8;;;29;;;;;;;;;;;;;;;;;;;
Harenkarspel;G0395;10963;Noord-Holland;P27;1441;1368;;;1368;753;86;69;5;7;412;2;4;3;5;;;3;3;;4;;7;3;;;;;2;;;;;;;;;
Harlingen;G0072;10909;Fryslân;P21;5241;4798;154;;4644;587;1423;643;882;202;534;12;36;59;21;29;14;14;32;34;60;11;4;8;;;28;5;;2;;4;;;;;;
Harmelen;G0318;10183;Utrecht;P26;1060;1015;24;;991;444;36;216;154;36;13;67;2;3;1;;5;1;3;2;1;1;2;3;1;;;;;;;;;;;;;
Haskerland;G0073;10022;Fryslân;P21;4288;3873;133;;3740;341;989;467;945;230;191;5;19;10;272;23;52;4;49;81;16;7;6;5;6;;18;3;;1;;;;;;;;
Hasselt;G0161;10115;Overijssel;P23;;952;14;14;924;38;96;513;80;51;39;36;6;2;3;5;2;5;2;1;36;8;1;;;;;;;;;;;;;;;
Hattem;G0244;10673;Gelderland;P25;1996;1839;65;;1774;7;652;384;340;67;67;4;44;;6;3;119;1;14;9;16;10;9;19;1;;;;;2;;;;;;;;
Havelte;G0117;10186;Drenthe;P22;1749;1546;;;1546;12;244;79;129;47;658;4;23;5;157;3;1;25;112;4;15;1;2;18;;;;;;;;5;;;2;;;
Hazerswoude;G0524;11257;Zuid-Holland;P28;1953;1801;;;1801;677;38;524;378;44;19;42;4;2;36;2;19;1;2;1;2;5;1;1;;;;1;;1;1;;;;;;;
Hedel;G0245;10982;Gelderland;P25;855;789;21;6;762;312;21;118;193;3;8;80;5;3;6;;1;;1;1;1;6;;2;;;;;;;;;;;1;;;
Hedikhuizen;G1071;11130;Noord-Brabant;P30;654;673;13;;660;600;5;7;;29;1;1;;10;;;3;2;;;;;;;1;1;;;;;;;;;;;;
Heel en Panheel;G0915;11208;Limburg;P31;808;759;;;759;722;8;1;;;1;2;3;17;1;;1;;;;;;;;;;;;;;;;3;;;;;
Heemstede;G0397;11288;Noord-Holland;P27;7866;6890;96;166;6628;2187;828;482;759;1428;468;23;112;39;20;16;10;35;12;31;20;68;55;11;3;;;4;;7;;;;;2;;;
Heer;G0916;11407;Limburg;P31;1456;1283;;;1283;854;238;2;2;2;30;1;3;106;11;2;4;;;4;8;2;;3;;;;5;;1;;;5;;;;;
Heerde;G0246;10291;Gelderland;P25;3869;3578;177;;3401;27;545;693;934;584;227;7;28;14;38;6;38;9;91;89;11;9;17;14;7;;;6;;;;7;;;;;;
Heerewaarden;G0247;10067;Gelderland;P25;512;418;6;8;404;6;163;12;14;105;60;1;;;9;;;;23;4;;1;;5;;;;1;;;;;;;;;;
Heerhugowaard;G0398;10752;Noord-Holland;P27;2062;1927;;;1927;1116;89;90;20;45;525;1;4;11;6;;;;6;;;2;7;3;;;;;2;;;;;;;;;
Heerjansdam;G0526;10540;Zuid-Holland;P28;592;540;;;540;1;106;131;173;44;2;42;;;21;;2;4;6;;2;2;;;;;;4;;;;;;;;;;
Heerlen;G0917;10902;Limburg;P31;13820;12349;;;12349;7553;3281;187;334;128;198;13;116;169;17;85;10;;;33;96;28;20;8;;;;16;;12;;;45;;;;;
Heesch;G0791;10149;Noord-Brabant;P30;1240;1146;23;12;1111;1023;5;3;12;2;9;1;3;42;;2;;4;;;1;1;;;1;;;1;;1;;;;;;;;
Heeswijk;G1072;11229;Noord-Brabant;P30;642;618;1;1;616;602;;;;;2;;;10;;;;;;;;2;;;;;;;;;;;;;;;;
Heeze;G0793;10462;Noord-Brabant;P30;1310;1267;13;;1254;1127;5;7;50;;14;1;7;18;3;;1;2;;;;3;;;;1;;14;;1;;;;;;;;
Heiloo;G0399;10793;Noord-Holland;P27;2046;1930;44;;1886;767;227;63;59;331;302;2;19;37;27;;21;2;5;;8;;2;4;;;;;;2;;1;;;;;;
