RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;Rooms-Katholieke Staatspartij (RKSP);Sociaal-Democratische Arbeiderspartij (SDAP);Anti-Revolutionaire Partij;CHU 2;Vrijheidsbond 1;Vrijzinnig-Democratische Bond (VDB);Vrijheidsbond 2;Communistische Partij van Nederland;CHU 1;Plattelandersbond (links);Vrijheidsbond 3;HGSP;Staatkundig Gereformeerde Partij (SGP);Christen-Democratische Partij;Christelijk-Sociale Partij;Lijsten Arts;Liberale Groep;Onafhankelijke Partij;Nieuwe Katholieke Partij;Socialistische Partij (SOPA);Nederlandse Bond van Belastingbetalers;Volkswelvaartspartij;Plattelandspartij;Rapaille-partij;Plattelandersbond (rechts);Democratische Partij;Neutraal Blok Middenstanders;Bezuinigingsbond;Lijsten Van der Zwaag;Algemene Nederlandse Vrouwenorganisatie;Kunstenaarspartij;Patricidrsbond;Christelijke Volkspartij;Lijst Groenendaal;Grondpartij;Plattelandersbond (rk);Vrijdenkers;Huiseigenarenpartij;Kiesvereniging Aller Belang;Vrije Middenstandspartij;Partij voor Pensioenbelangen;Lijst Bleeker;Kleine Middenstandspartij;Lijst Van der Werf;Vaderlandsche partij;Lijst Verweij;Lijst De Ruyter Gz.;Lijst Brinkman;Revolutionaire partij;Lijsten Braam;Lijst Busch
Schoonebeek;G0129;10064;Drenthe;P22;1239;1143;;;1143;357;72;251;230;9;14;171;3;5;6;3;;1;2;11;;;;;1;2;1;1;;1;1;;;;;;;;;;;;1;;;;;;;;;;;;;
Schoonrewoerd;G0609;10214;Zuid-Holland;P28;473;443;;;443;;9;217;50;20;1;2;;7;4;2;70;43;;;;1;;;;1;;2;;6;2;1;;;;1;;1;;;3;;;;;;;;;;;;;;;
Schoorl;G0444;10627;Noord-Holland;P27;968;937;22;;915;267;125;9;11;155;232;14;8;;7;4;;;7;4;;5;17;1;;3;1;12;;3;6;1;2;2;12;4;;;;;1;;1;;;;;;;;;;;;1;
Schoterland;G1174;10680;Fryslân;P21;8178;7083;282;;6801;175;2487;1034;22;40;315;378;42;931;135;29;255;2;18;56;;18;23;9;68;25;15;126;27;25;30;21;;483;;;;;;9;3;;;;;;;;;;;;;;;
Sevenum;G0964;10045;Limburg;P31;1205;1171;;;1171;1169;;;;;;;;;;;;;;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
's-Graveland;G0390;10534;Noord-Holland;P27;880;815;6;12;797;152;64;107;352;38;13;10;5;14;1;4;1;11;3;;;6;4;;;;1;6;;;2;;;;;1;;;;;;;2;;;;;;;;;;;;;
's-Gravendeel;G0517;10052;Zuid-Holland;P28;2186;1998;;;1998;1;367;622;331;437;45;10;1;15;65;11;4;60;;3;;5;4;;2;6;1;;;2;3;;;;;1;;1;;;;;;;;;;;;;;1;;;;
's-Gravenhage;G0518;11434;Zuid-Holland;P28;199192;161704;;;161704;34491;40476;15653;14386;19478;5677;1394;2358;747;266;5647;3890;405;661;2097;91;2561;1677;625;1030;;1667;255;;44;1227;1813;2207;153;345;160;;186;;;37;;;;;;;;;;;;;;;
's-Gravenmoer;G0787;10469;Noord-Brabant;P30;721;533;4;1;528;22;10;276;161;2;5;23;1;7;1;3;1;;1;1;4;7;;1;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;
's-Gravenzande;G0519;10640;Zuid-Holland;P28;2578;2372;;;2372;90;285;687;674;50;20;170;5;45;141;10;18;62;4;2;;13;8;1;3;2;6;2;;51;5;1;;2;1;10;;3;;;1;;;;;;;;;;;;;;;
