RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;Rooms-Katholieke Staatspartij (RKSP);Sociaal-Democratische Arbeiderspartij (SDAP);Anti-Revolutionaire Partij;CHU 2;Vrijheidsbond 1;Vrijzinnig-Democratische Bond (VDB);Vrijheidsbond 2;Communistische Partij van Nederland;CHU 1;Plattelandersbond (links);Vrijheidsbond 3;HGSP;Staatkundig Gereformeerde Partij (SGP);Christen-Democratische Partij;Christelijk-Sociale Partij;Lijsten Arts;Liberale Groep;Onafhankelijke Partij;Nieuwe Katholieke Partij;Socialistische Partij (SOPA);Nederlandse Bond van Belastingbetalers;Volkswelvaartspartij;Plattelandspartij;Rapaille-partij;Plattelandersbond (rechts);Democratische Partij;Neutraal Blok Middenstanders;Bezuinigingsbond;Lijsten Van der Zwaag;Algemene Nederlandse Vrouwenorganisatie;Kunstenaarspartij;Patricidrsbond;Christelijke Volkspartij;Lijst Groenendaal;Grondpartij;Plattelandersbond (rk);Vrijdenkers;Huiseigenarenpartij;Kiesvereniging Aller Belang;Vrije Middenstandspartij;Partij voor Pensioenbelangen;Lijst Bleeker;Kleine Middenstandspartij;Lijst Van der Werf;Vaderlandsche partij;Lijst Verweij;Lijst De Ruyter Gz.;Lijst Brinkman;Revolutionaire partij;Lijsten Braam;Lijst Busch
Aalsmeer;G0358;11264;Noord-Holland;P27;3168;2965;48;;2917;469;449;502;333;752;64;48;36;7;14;4;6;44;30;6;;10;3;;4;36;;10;6;10;4;4;2;1;44;7;2;1;;;1;;7;;;;;;;;;;;;1;
Aalst;G1001;11423;Noord-Brabant;P30;456;443;5;9;429;408;5;2;;;;4;;;;;;1;;;3;;;4;1;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;
Aalten;G0197;11046;Gelderland;P25;4609;4396;27;62;4307;695;329;1859;526;205;319;14;12;17;11;6;7;;8;268;;4;1;6;1;3;;;;4;3;;3;1;;;4;;;;1;;;;;;;;;;;;;;;
Aarle-Rixtel;G0739;10757;Noord-Brabant;P30;988;924;;;924;858;4;2;1;2;7;7;3;;;;;1;4;;4;7;2;9;2;4;;3;;1;;;;1;;;2;;;;;;;;;;;;;;;;;;;
Abbenbroek;G0481;11026;Zuid-Holland;P28;357;318;;;318;;129;20;4;39;5;3;1;;78;;;;3;1;;8;15;1;1;;1;1;;4;1;;;;;;;1;;;2;;;;;;;;;;;;;;;
Abcoude-Baambrugge;G1003;11184;Utrecht;P26;777;721;12;3;;178;18;202;187;28;23;3;2;10;4;1;11;1;2;2;;6;3;3;;;3;2;;12;3;;;;1;;1;;;;;;;;;;;;;;;;;;;
Abcoude-Proostdij;G1004;10712;Utrecht;P26;824;0;;;;383;25;74;;;24;;5;;;;8;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Achtkarspelen;G0059;10199;Fryslân;P21;6575;6167;104;;6063;2;1015;2804;18;10;579;309;12;897;70;7;9;2;8;164;;15;7;2;4;15;5;35;9;34;6;9;;9;;;;;;5;2;;;;;;;;;;;;;;;
Achttienhoven;G1005;10524;Utrecht;P26;304;0;;;;58;;64;;;;;2;;;;1;10;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aengwirden;G1006;10157;Fryslân;P21;2186;1988;34;;1954;102;830;202;4;5;68;77;2;161;11;8;8;1;10;13;;6;8;;2;5;4;381;3;3;4;4;;32;;;;;;;;;;;;;;;;;;;;;;
Akersloot;G0360;10346;Noord-Holland;P27;;1629;;;1629;738;320;11;36;38;261;7;86;;16;;1;;15;;;2;;13;3;3;;17;11;1;4;4;2;;26;6;1;3;;;;;;;;;;;;;;;;;4;
Alblasserdam;G0482;11327;Zuid-Holland;P28;2944;2643;;;2643;3;439;496;1192;63;18;8;4;62;15;4;38;119;7;;;18;9;2;4;6;5;2;;106;5;2;;;;5;;1;;;5;;;;;;;;;;;5;;;;
Alem, Maren en Kessel;G1007;10495;Noord-Brabant;P30;581;540;;;540;485;6;7;2;;;4;;;;;;;;;;;;35;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;
Alkemade;G0483;10349;Zuid-Holland;P28;2358;2074;;;2074;1751;25;70;157;2;3;3;1;2;1;;2;;3;1;;4;1;2;15;;3;;;16;;;2;;;;;10;;;;;;;;;;;;;;;;;;
Alkmaar;G0361;10527;Noord-Holland;P27;13607;12577;364;;12213;3949;2655;473;950;1262;1631;111;223;14;13;140;17;18;82;13;;59;104;25;19;53;31;19;119;9;81;26;34;8;16;34;5;4;;;4;;6;;;;;;;;;;;;5;1
Almelo;G0141;11053;Overijssel;P23;12403;11420;609;;10811;2151;3109;1069;1179;238;531;531;712;32;80;144;9;13;65;267;;41;103;27;198;44;;4;;10;89;15;9;13;35;31;33;;;;11;;18;;;;;;;;;;;;;
Almkerk;G0740;10788;Noord-Brabant;P30;1701;1566;;;1566;10;56;1062;362;5;5;13;6;9;2;;2;1;5;4;;;1;;;2;;1;;9;;;4;;;6;;;;;;;1;;;;;;;;;;;;;
Alphen aan den Rijn;G0484;10517;Zuid-Holland;P28;6989;6149;;;6149;1095;423;1724;1979;36;53;20;2;46;15;26;3;95;9;12;;18;17;14;71;;10;6;;447;11;2;3;;;;;12;;;;;;;;;;;;;;;;;;
Alphen en Riel;G0741;10710;Noord-Brabant;P30;988;873;;;873;873;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ambt Delden;G0142;11400;Overijssel;P23;1618;1533;20;;1513;888;80;34;185;8;128;57;3;8;84;1;;2;1;3;;;4;2;1;4;;;;8;1;1;;1;1;4;2;;;;1;;1;;;;;;;;;;;;;
Ambt Hardenberg;G1011;10174;Overijssel;P23;5067;4673;2;;4671;511;502;1704;1153;24;64;357;17;36;76;12;;5;11;25;;8;2;43;5;10;;4;;4;8;3;6;;5;55;6;;;;9;;6;;;;;;;;;;;;;
Ambt Ommen;G1012;11069;Overijssel;P23;2249;2077;23;;2054;202;108;496;561;3;45;26;10;16;145;2;338;4;1;10;;18;7;1;1;11;;6;;9;4;2;1;;;16;4;;;;1;;6;;;;;;;;;;;;;
Ambt Vollenhove;G1013;11088;Overijssel;P23;1146;1127;14;;1113;3;34;492;462;15;3;59;8;4;3;3;;1;5;1;;;1;1;1;1;;;;6;1;;;;;5;;;;;4;;;;;;;;;;;;;;;
Amby;G0883;10922;Limburg;P31;641;604;;;604;521;43;1;5;1;7;;2;8;;1;;;;1;;1;;3;;1;;;;;4;;1;;;;;;4;;;;;;;;;;;;;;;;;
Ameide;G0485;11349;Zuid-Holland;P28;792;733;;;733;;137;404;4;73;38;2;2;;14;4;;46;1;1;;1;;;;;2;;;;1;;;;;;;1;;;;;;;;;;;;;;2;;;;
Ameland;G0060;11153;Fryslân;P21;1040;902;16;;886;203;66;89;3;10;19;18;2;143;2;5;1;1;5;;;5;1;1;;;;307;;1;2;;;1;;;;;;1;;;;;;;;;;;;;;;;
Amerongen;G0306;11372;Utrecht;P26;1240;0;;;;12;134;360;;;27;;5;;;;1;36;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Amersfoort;G0307;10948;Utrecht;P26;14320;0;;;;3764;3034;2222;1398;871;852;73;104;67;10;13;8;32;51;24;;175;113;87;8;;23;5;22;10;44;127;10;;11;12;6;;;;;;;;;;;;;;;;;;;
Ammerzoden;G0198;10151;Gelderland;P25;1350;1287;;;1287;868;2;110;241;11;1;1;6;9;1;;;17;;2;4;;;10;;;;1;;;;;;;;2;1;;;;;;;;;;;;;;;;;;;
Amstenrade;G0884;10062;Limburg;P31;374;367;3;2;362;344;7;1;2;;;1;1;;;;;;3;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;
Amsterdam;G0363;11150;Noord-Holland;P27;364886;307076;28000;;279076;46090;83739;20973;17310;15510;18731;5116;22061;896;517;1949;2191;244;7770;1132;;2450;3322;1285;1654;3587;3533;548;4438;431;1210;2595;781;158;1026;741;567;543;;213;205;1123;479;741;577;341;548;544;544;354;;;167;142;;
Andel;G0742;10871;Noord-Brabant;P30;546;445;;;445;;6;274;89;2;3;33;2;3;;3;15;7;1;;;;;1;;;;;;1;;;;;;4;1;;;;;;;;;;;;;;;;;;;
Angerlo;G0199;11131;Gelderland;P25;1161;1055;;;1055;532;41;54;167;200;7;8;3;2;4;2;5;;2;11;1;;;;1;5;;3;;;;;2;;;4;;;;;1;;;;;;;;;;;;;;;
Ankeveen;G1014;10936;Noord-Holland;P27;281;269;2;2;265;124;12;21;87;6;3;;;3;;;;;;;;;2;;;;;1;3;;;;;;;2;;;;;;;1;;;;;;;;;;;;;
Anloo;G0105;10787;Drenthe;P22;2278;2040;;;2040;17;706;80;16;20;180;221;5;2;696;5;;2;2;3;;3;10;3;6;5;3;14;;34;;;;;;;3;;;;4;;;;;;;;;;;;;;;
Anna Paulowna;G0366;10344;Noord-Holland;P27;;1964;;;1964;316;648;95;132;12;518;10;15;3;43;1;1;1;50;;;3;4;4;1;5;;45;3;16;6;;5;;;7;1;;;;16;;1;;;;;;;;;;;;2;
Apeldoorn;G0200;11075;Gelderland;P25;23579;21030;;;21030;2365;3524;2982;6035;1695;1860;202;174;232;39;260;40;117;108;332;;186;109;50;48;80;50;50;40;13;76;40;168;13;19;18;67;;;;;;;;;38;;;;;;;;;;
Appeltern;G0201;11296;Gelderland;P25;1604;1442;;;1442;1269;;;137;19;;3;;1;3;2;;;;;;;;2;1;1;;;;;;;1;;;1;;;;;1;;1;;;;;;;;;;;;;
Appingedam;G0003;10886;Groningen;P20;3052;2709;;;2709;62;609;589;;;385;;223;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Arcen en Velden;G0885;10202;Limburg;P31;1272;1212;13;9;1190;1111;10;3;9;2;4;1;7;;;;;;1;3;5;;;24;2;;;;;1;1;;;;;;;;5;;1;;;;;;;;;;;;;;;
Arkel;G0487;10079;Zuid-Holland;P28;499;441;;;441;14;98;66;5;173;33;7;;5;10;2;1;8;1;;;1;3;;;;1;3;;2;1;;;;1;;;;;;3;;;;;;;;;;;3;;;;
Arnhem;G0202;10795;Gelderland;P25;36868;33774;1492;;32282;8784;8908;2793;1637;4196;1594;317;302;89;24;276;1085;22;118;228;;201;154;168;179;145;72;31;309;14;149;119;192;31;38;26;56;;;;;;;;;25;;;;;;;;;;
Asperen;G0488;11369;Zuid-Holland;P28;889;800;;;800;5;25;327;201;61;7;3;2;21;28;3;6;61;7;3;;15;;;1;1;1;;;4;1;;;2;;5;;4;;;;;;;;;;;;;;6;;;;
Assen;G0106;10522;Drenthe;P22;8331;7688;178;145;7365;338;2315;1234;507;89;1287;598;53;14;429;57;;6;96;7;;46;87;12;14;43;13;19;;63;14;;;;;;13;;;;5;;6;;;;;;;;;;;;;
Assendelft;G0367;11373;Noord-Holland;P27;2091;1988;16;20;1952;776;377;36;13;284;29;18;109;9;6;8;;17;10;1;;3;2;3;6;6;;205;11;1;1;1;2;;12;3;;2;;;1;;;;;;;;;;;;;;;
Asten;G0743;10478;Noord-Brabant;P30;2092;1971;;;1971;1900;;1;22;3;3;4;1;1;2;1;;;;;7;;2;16;1;1;;;;;1;;1;2;;1;1;;;;;;;;;;;;;;;;;;;
Avenhorn;G0368;11147;Noord-Holland;P27;706;674;7;3;664;206;123;6;3;119;146;6;1;1;2;3;;;;;;1;2;1;;5;;9;;3;4;;3;;18;1;;;;;1;;;;;;;;;;;;;;;
Avereest;G0143;11190;Overijssel;P23;4097;3697;87;;3610;330;556;803;1084;18;71;381;17;40;103;12;9;4;10;14;;20;2;5;4;28;;;;18;6;5;1;1;9;42;10;;;;5;;2;;;;;;;;;;;;;
Baarderadeel;G0061;10422;Fryslân;P21;3039;2776;44;;2732;86;936;413;5;12;85;600;10;308;37;15;3;;4;16;;5;7;;3;2;2;63;4;27;;4;;26;;;;;;58;1;;;;;;;;;;;;;;;
Baarn;G0308;11411;Utrecht;P26;5808;0;;;;837;883;1032;;;371;;18;;;;25;8;40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Baexem;G0886;11255;Limburg;P31;417;393;;;393;383;;;1;;1;;;;;;;;;;;;;1;;;;;;;;;;;;;;;7;;;;;;;;;;;;;;;;;
Bakel en Milheeze;G0745;10749;Noord-Brabant;P30;978;946;;;946;928;1;1;2;1;5;;1;;;;;;;;1;;1;;2;;;2;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
Balgoij;G1016;10849;Gelderland;P25;236;218;;;218;217;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Barendrecht;G0489;10943;Zuid-Holland;P28;1704;1562;;;1562;8;106;848;242;163;12;14;5;6;61;10;4;40;2;4;;8;2;1;1;1;2;;;14;2;;;1;;1;;4;;;;;;;;;;;;;;;;;;
Barneveld;G0203;10906;Gelderland;P25;5179;4510;;;4510;330;278;2170;386;174;51;7;47;823;8;3;3;129;12;6;;6;9;5;4;11;4;5;4;11;8;;7;3;;1;4;;;;;;;;;1;;;;;;;;;;
Barradeel;G0062;10156;Fryslân;P21;4185;3931;51;;3880;57;855;1099;14;8;82;242;24;1180;44;6;1;;16;69;;7;6;1;4;9;5;39;11;12;5;4;;21;;;;;;58;1;;;;;;;;;;;;;;;
Barsingerhorn;G0369;10973;Noord-Holland;P27;1062;934;;;934;20;290;7;4;49;408;12;1;1;7;1;;;3;;;3;1;;1;3;;19;1;6;82;8;2;;1;1;1;;;;1;;;;;;;;;;;;;;;1
Barwoutswaarder;G1017;10447;Zuid-Holland;P28;405;363;;;363;67;5;127;143;;;3;1;5;;;;4;2;;;1;;;3;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;
Batenburg;G0204;10921;Gelderland;P25;283;266;;;266;207;;4;18;27;;1;1;2;;;4;;1;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;
Bathmen;G0144;11030;Overijssel;P23;869;809;8;8;793;20;70;20;72;10;58;473;1;2;8;16;;2;2;;;1;1;;8;4;;;;3;2;;;;;7;10;;;;;;3;;;;;;;;;;;;;
Bedum;G0005;10425;Groningen;P20;2746;0;;;;172;349;1317;;;225;;18;;52;318;;;3;2;;;;;4;;;;;10;5;;;;;;;;;;;;;;;;;;;;;;;;;
Beegden;G0887;11089;Limburg;P31;374;360;;;360;356;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Beek;G0888;11374;Limburg;P31;1733;1646;;;1646;1483;58;2;20;1;5;9;3;;;1;;;5;;4;;;3;;2;;;;;3;;4;;;;;;43;;;;;;;;;;;;;;;;;
Beek en Donk;G0746;10173;Noord-Brabant;P30;1198;1119;;;1119;1080;1;1;1;4;;1;2;1;;;;;;;15;1;;11;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;
Beers;G0747;11410;Noord-Brabant;P30;413;406;4;5;397;376;;1;;;;;1;;;;;;;;;;;19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Beerta;G0006;11043;Groningen;P20;1843;1409;;;1409;2;432;31;59;10;244;211;251;7;47;10;1;3;9;3;;9;14;1;11;20;1;10;;4;4;3;1;;4;;7;;;;;;;;;;;;;;;;;;;
Beesd;G0205;10259;Gelderland;P25;1270;1196;;;1196;523;51;51;328;111;9;3;6;7;5;4;57;14;;3;1;4;;1;1;6;;1;;;2;;;;;2;;;;;2;;;;;;;;;;4;;;;;
Beesel;G0889;10195;Limburg;P31;1429;1332;;;1332;1266;23;;1;13;2;;12;;;;;;1;2;;1;;1;1;1;;;;;;;4;;;;;;3;;1;;;;;;;;;;;;;;;
Beets;G0371;10536;Noord-Holland;P27;283;260;0;5;255;1;92;;3;68;39;7;2;;9;6;;;1;1;;2;;;1;;;13;;2;7;;1;;;;;;;;;;;;;;;;;;;;;;;
Beilen;G0107;10520;Drenthe;P22;2954;2735;;;2735;29;595;617;568;9;133;148;5;17;415;10;;3;7;;;3;35;2;2;40;1;13;;71;4;;;;;;5;;;;2;;1;;;;;;;;;;;;;
Belfeld;G0890;10292;Limburg;P31;601;582;;;582;572;4;;;;2;;;;;;;;1;2;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;
Bellingwolde;G1019;10340;Groningen;P20;2836;2441;;;2441;16;1132;124;158;18;366;239;152;16;79;12;2;3;5;7;;14;16;4;5;14;5;21;;12;2;1;4;;1;;13;;;;;;;;;;;;;;;;;;;
Bemelen;G0891;10878;Limburg;P31;132;124;;;124;120;;;;;2;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bemmel;G0206;10744;Gelderland;P25;2923;5195;;;5195;2335;26;4;144;56;1;1;5;6;;;;2;;5;;;;4;;;;2601;;;3;;1;;;1;;;;;;;;;;;;;;;;;;;;
Bennebroek;G0372;10734;Noord-Holland;P27;678;652;16;6;630;330;35;29;53;31;13;1;;63;;4;4;;2;15;;29;2;1;;1;1;3;;;2;1;;;2;4;2;;;;;;2;;;;;;;;;;;;;
Benschop;G0309;11330;Utrecht;P26;923;0;;;;268;19;284;;;4;;2;;;;4;17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Berg en Terblijt;G0892;10796;Limburg;P31;756;412;;;412;361;28;;3;1;1;;;1;;;;;;1;3;;;7;;;;;;;;;2;;;;;;4;;;;;;;;;;;;;;;;;
Bergen;G0893;11281;Limburg;P31;2593;2486;;;2486;2427;14;;9;;13;;8;1;;1;;;;;4;;;1;2;;;;;2;;;;;;;;;4;;;;;;;;;;;;;;;;;
Bergen;G0373;11424;Noord-Holland;P27;2064;2001;38;16;1947;680;276;40;52;213;270;18;24;154;8;7;5;;5;1;;31;26;7;6;9;22;10;4;4;23;10;2;1;3;29;3;1;;;1;;2;;;;;;;;;;;;;
Bergen op Zoom;G0748;11037;Noord-Brabant;P30;8664;7356;;;7356;4772;597;312;107;46;135;378;24;17;14;40;6;;17;7;714;41;8;29;3;;;;;5;21;;39;;11;;;;;;13;;;;;;;;;;;;;;;
Bergeyk;G0749;11160;Noord-Brabant;P30;1055;1005;;;1005;950;9;10;2;;;4;;5;;;1;1;;;1;1;;10;;1;;3;;1;;;5;;;1;;;;;;;;;;;;;;;;;;;;
Bergh;G0207;10350;Gelderland;P25;4168;3830;;;3830;3145;301;19;12;135;16;12;5;2;2;1;4;1;7;63;;3;1;79;2;1;;;;2;3;;4;;;1;2;;;;6;;;;;;;;;;1;;;;;
Bergharen;G0208;10883;Gelderland;P25;822;782;;;782;668;5;;45;56;;1;;5;;;;;;1;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Berghem;G0750;10733;Noord-Brabant;P30;1071;961;;;961;921;14;2;;;3;;;;;;;1;;;6;;;6;3;1;;;;;;;2;2;;;;;;;;;;;;;;;;;;;;;;
Bergschenhoek;G0492;10445;Zuid-Holland;P28;722;685;9;20;656;183;19;73;304;37;1;1;1;7;16;1;5;;2;;;4;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
Berkel en Rodenrijs;G0493;10139;Zuid-Holland;P28;1472;1418;7;3;1408;700;9;267;310;12;;;1;4;26;4;45;1;1;;;;;;;;1;1;;26;;;;;;;;;;;;;;;;;;;;;;;;;;
Berkel-Enschot;G0751;11132;Noord-Brabant;P30;855;823;;;823;776;6;2;;;3;;;;;;;;;1;32;;;;;;;;;1;1;;;;;;;;;;1;;;;;;;;;;;;;;;
Berkenwoude;G0494;10797;Zuid-Holland;P28;358;318;1;4;313;;4;50;5;114;12;5;;;39;4;1;43;3;;;1;;1;;;;21;;9;1;;;;;;;;;;;;;;;;;;;;;;;;;
Berlicum;G0752;10362;Noord-Brabant;P30;1540;1357;;;1357;1247;10;2;4;4;3;19;2;1;1;1;1;1;;;20;1;;21;3;5;;3;;;1;;;5;;;2;;;;;;;;;;;;;;;;;;;
Best;G0753;10442;Noord-Brabant;P30;1625;1547;;;1547;1494;18;4;2;;;1;2;;;;;2;;;14;;1;4;3;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;
Beugen en Rijkevoort;G1021;10252;Noord-Brabant;P30;953;903;;;903;890;2;;2;;3;;1;;;;;;;;;;;2;1;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;
Beuningen;G0209;10417;Gelderland;P25;1422;1350;;;1350;1224;25;6;4;66;;3;3;2;;1;1;;;5;6;;;1;;;;1;;;;;;;;;;;;;1;;1;;;;;;;;;;;;;
Beusichem;G0210;11182;Gelderland;P25;845;783;;;783;25;88;65;65;298;105;14;3;3;43;8;;20;;;1;4;;2;1;2;;;;18;6;;1;;;3;;;;;3;;1;;;;;;;;4;;;;;
Bingelrade;G0894;10967;Limburg;P31;231;226;5;0;221;196;;;;;2;;;;;;;;;;;;;7;;;;;;;;;1;;;;;;15;;;;;;;;;;;;;;;;;
Bladel en Netersel;G0754;11006;Noord-Brabant;P30;881;838;;;838;769;;;37;1;2;3;;1;;;;;;;7;;3;9;;3;;1;;;;;;1;;1;;;;;;;;;;;;;;;;;;;;
Blankenham;G0145;10320;Overijssel;P23;266;235;7;;228;15;14;6;83;3;2;90;;2;2;3;1;;;;;1;;;;4;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;
Blaricum;G0376;10493;Noord-Holland;P27;1077;946;24;13;909;465;20;37;79;39;26;7;10;5;;12;;;3;3;1;56;33;;21;10;3;;4;;2;;5;2;29;32;3;;;;;;1;;;;;;;;;;;;1;
Bleskensgraaf en Hofwegen;G0496;10451;Zuid-Holland;P28;518;437;;;437;;16;275;60;31;7;6;;;11;1;1;13;1;;;5;;;;2;;;;4;1;;;;;;;3;;;;;;;;;;;;;;;;;;
Blokzijl;G0146;10689;Overijssel;P23;688;613;17;;596;1;113;289;23;4;69;52;11;6;3;3;1;;5;;;1;1;1;1;2;;4;;1;;2;;;;2;1;;;;;;;;;;;;;;;;;;;
Bocholtz;G0895;10986;Limburg;P31;1015;981;31;32;918;746;108;;6;;4;1;20;;;;;;;2;1;2;2;8;2;2;;;;;7;;2;;;;;;5;;;;;;;;;;;;;;;;;
Bodegraven;G0497;11091;Zuid-Holland;P28;2800;2527;;;2527;539;150;983;414;9;49;5;1;20;15;7;3;80;4;5;;5;4;3;19;;4;2;;193;4;3;2;;;;;4;;;;;;;;;;;;;;;;;;
Boekel;G0755;10432;Noord-Brabant;P30;1202;1115;;;1115;1090;;3;1;1;3;1;2;;;;;2;;;5;;;1;;;;5;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
Bolsward;G0064;10865;Fryslân;P21;3717;3519;72;;3447;1112;607;478;4;20;32;470;5;448;11;6;3;;12;53;;11;7;5;2;;5;3;124;7;9;;;13;;;;;;;;;;;;;;;;;;;;;;
Borculo;G0211;11307;Gelderland;P25;2572;2284;62;;2222;154;491;186;129;686;73;118;11;172;48;15;;;3;11;;17;19;5;6;12;1;8;6;13;3;1;12;2;3;;15;;;;;;;;;2;;;;;;;;;;
Borger;G0108;10448;Drenthe;P22;4233;3823;;;3823;140;1198;642;410;56;318;425;7;9;439;15;;2;17;4;;1;13;7;50;15;4;8;;22;6;;;;;;7;;;;3;;5;;;;;;;;;;;;;
Borgharen;G0896;11334;Limburg;P31;411;401;7;12;382;306;50;2;1;1;;;4;2;;;;;;1;;;2;;;4;;;;1;1;;2;;;;;;5;;;;;;;;;;;;;;;;;
Borkel en Schaft;G1026;11013;Noord-Brabant;P30;299;291;0;0;291;286;;2;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Born;G0897;10927;Limburg;P31;936;908;6;4;898;859;9;;4;1;;;1;;;;;;1;;;;1;4;;;;;;5;2;;;;;;;;11;;;;;;;;;;;;;;;;;
Borne;G0147;10326;Overijssel;P23;3435;3090;;;3090;1908;371;44;189;15;38;67;15;8;28;10;4;7;4;290;;6;7;11;1;7;;;;2;10;4;;;27;9;2;;;;1;;5;;;;;;;;;;;;;
Boskoop;G0499;10419;Zuid-Holland;P28;2950;2699;;;2699;563;193;771;392;8;9;9;3;12;1;2;3;35;3;1;;7;2;1;109;;2;1;;562;6;;2;;;;;2;;;;;;;;;;;;;;;;;;
Bovenkarspel;G0379;10945;Noord-Holland;P27;1239;1148;7;11;1130;757;116;25;16;108;43;2;1;;;;;1;1;2;;1;;1;;3;;33;1;;7;;3;;;5;1;1;;;2;;;;;;;;;;;;;;;
Boxmeer;G0756;11227;Noord-Brabant;P30;;1447;;;1447;1249;80;5;19;;11;29;3;2;2;2;1;;2;;6;6;;13;2;2;;1;;2;2;;7;;;;1;;;;;;;;;;;;;;;;;;;
Brakel;G0212;11125;Gelderland;P25;834;689;;;689;1;32;39;195;135;1;4;;10;9;2;;239;2;;;1;8;;;3;;;;3;2;;;;;1;;;;;1;;;;;;;;;;1;;;;;
Brandwijk;G0500;10169;Zuid-Holland;P28;422;389;0;3;386;;2;237;33;30;5;9;;5;3;3;2;44;;;;6;;1;;;;4;;;;;;;;;;2;;;;;;;;;;;;;;;;;;
Breukelen-Nijenrode;G1028;10807;Utrecht;P26;1281;0;;;;337;58;234;;;12;;;;;;3;14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Breukelen-Sint Pieters;G1029;11149;Utrecht;P26;431;0;;;;59;10;126;;;;;2;;;;2;4;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Brielle;G0501;10232;Zuid-Holland;P28;1961;1721;78;;1643;152;271;113;404;356;136;19;13;24;28;35;6;3;9;5;;21;9;1;2;2;2;3;;9;5;3;;1;1;1;;1;;;6;;;;;;;;;;;3;;;;
Broek in Waterland;G0380;10289;Noord-Holland;P27;907;834;30;;804;39;146;44;177;;152;140;3;;46;;;;6;1;;1;1;;;1;2;34;;;4;;1;;;2;1;1;;;;;;;;;;;;;;;;;2;
Broek op Langendijk;G1031;10955;Noord-Holland;P27;1129;1050;13;;1037;15;64;431;294;43;113;6;3;1;1;2;2;3;5;;;5;;1;1;7;;7;7;4;15;;;;;;;2;;;2;;;;;;;;;;;;;;2;1
Broekhuizen;G0898;10856;Limburg;P31;421;396;;;396;394;;;;;;;;;;;;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Broeksittard;G1032;10655;Limburg;P31;327;305;;;305;280;12;;;;;1;;1;;;;;2;;;;;;;1;;;;1;;;;;;;;;7;;;;;;;;;;;;;;;;;
Brummen;G0213;10798;Gelderland;P25;4233;3956;25;;3931;275;881;401;833;907;245;52;22;24;15;11;12;4;6;30;;28;11;8;4;30;10;17;8;9;9;14;34;2;2;6;19;;;;;;;;;2;;;;;;;;;;
Brunssum;G0899;10533;Limburg;P31;3144;2793;;;2793;1644;782;48;84;3;14;15;79;11;;4;;;20;6;;1;5;21;19;2;;;;3;2;;8;;;;3;;17;;2;;;;;;;;;;;;;;;
Budel;G0759;10219;Noord-Brabant;P30;1605;1442;;;1442;1386;11;2;;;4;;;3;1;;1;1;;;;7;;16;2;2;;2;;;;;1;2;;;1;;;;;;;;;;;;;;;;;;;
Buggenum;G1033;10857;Limburg;P31;371;365;0;3;362;325;10;;;;;;2;;;;;;;;;;;;;1;;;;;1;;;;1;;;;22;;;;;;;;;;;;;;;;;
Bunde;G0900;10831;Limburg;P31;513;479;;;479;447;11;;3;;1;;;;;;;;;1;1;;;4;1;1;1;;;;;;2;;;;;;6;;;;;;;;;;;;;;;;;
Bunnik;G0312;10820;Utrecht;P26;766;721;17;;;360;51;49;169;28;5;2;;8;;;1;8;2;4;;3;;7;;;;;;2;;;;;;1;4;;;;;;;;;;;;;;;;;;;
