RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;Partij van de Arbeid (P.v.d.A.);Katholieke Volkspartij (KVP);Anti-Revolutionaire Partij;Christelijk-Historische Unie;VVD;Communistische Partij van Nederland;Katholieke Nationale Partij;Staatkundig Gereformeerde Partij (SGP);Gereformeerd Politiek Verbond (GPV);Middenstands Partij;Partij voor Recht, Vrijheid en Welvaart;Socialistische Unie;Jong Conservatief Verbond
Aagtekerke;G1000;10531;Zeeland;P29;432;418;0;;418;30;8;48;96;17;1;5;211;;1;1;;
Aalsmeer;G0358;11264;Noord-Holland;P27;7183;6706;0;;6706;2004;1264;1051;1014;870;230;63;95;25;16;30;34;10
Aalten;G0197;11046;Gelderland;P25;7625;7256;0;;7256;1254;1190;2732;1573;380;23;64;14;18;2;4;2;
Aardenburg;G0648;11020;Zeeland;P29;2076;1926;0;;1926;338;1156;130;58;160;7;36;8;3;22;8;;
Aarle-Rixtel;G0739;10757;Noord-Brabant;P30;1616;1513;0;;1513;78;1331;9;26;12;7;47;;;1;2;;
Abbekerk;G0359;10439;Noord-Holland;P27;495;463;0;;463;183;179;13;6;56;14;;;1;9;1;1;
Abbenbroek;G0481;11026;Zuid-Holland;P28;447;397;0;;397;190;;36;17;127;20;2;4;;1;;;
Abcoude;G0305;10712;Utrecht;P26;2084;1977;0;;1977;263;631;306;447;127;21;91;73;2;5;9;1;1
Achtkarspelen;G0059;10199;Fryslân;P21;9473;8846;0;;8846;2544;38;3606;1337;401;415;6;99;329;48;6;14;3
Achttienhoven;G1005;10524;Utrecht;P26;493;466;0;;466;55;85;126;111;18;4;8;50;2;6;1;;
Adorp;G0001;10996;Groningen;P20;860;823;0;;823;254;;343;66;81;4;;;63;3;2;;7
Aduard;G0002;10999;Groningen;P20;1279;1222;0;;1222;386;6;426;64;196;19;;;95;21;4;1;4
Akersloot;G0360;10346;Noord-Holland;P27;1266;1229;0;;1229;182;832;22;14;111;54;6;2;;3;3;;
Alblasserdam;G0482;11327;Zuid-Holland;P28;5186;4871;0;;4871;1801;89;526;1018;407;92;28;838;51;4;14;3;
Alem, Maren en Kessel;G1007;10495;Noord-Brabant;P30;755;728;0;;728;12;706;;5;2;1;;;;2;;;
Alkemade;G0483;10349;Zuid-Holland;P28;3691;3567;0;;3567;74;2937;293;147;40;7;52;5;3;5;3;1;
Alkmaar;G0361;10527;Noord-Holland;P27;23294;21770;0;;21770;7616;6745;1404;922;2388;1600;757;43;46;54;54;85;56
Almelo;G0141;11053;Overijssel;P23;25225;24004;0;;24004;8505;5386;2316;1737;2501;2879;239;217;93;30;40;45;16
Almkerk;G0740;10788;Noord-Brabant;P30;2418;2315;0;;2315;289;4;1349;543;26;3;;24;77;;;;
Alphen aan den Rijn;G0484;10517;Zuid-Holland;P28;11513;10957;0;;10957;2080;2142;2458;2852;637;125;128;475;21;14;8;14;3
Alphen en Riel;G0741;10710;Noord-Brabant;P30;1674;1643;0;;1643;30;1565;2;3;2;1;37;;;2;;1;
Ambt Delden;G0142;11400;Overijssel;P23;2535;2405;0;;2405;335;1568;50;267;146;19;10;3;;;2;4;1
Amby;G0883;10922;Limburg;P31;1393;1269;0;;1269;180;957;8;6;12;4;94;;1;;2;5;
Ameide;G0485;11349;Zuid-Holland;P28;1098;1033;0;;1033;390;2;424;56;83;3;;75;;;;;
Ameland;G0060;11153;Fryslân;P21;1394;1630;0;;1630;619;365;184;246;165;23;4;1;6;8;2;6;1
Amerongen;G0306;11372;Utrecht;P26;2211;2074;0;;2074;597;49;329;607;134;17;9;296;3;6;16;10;1
Amersfoort;G0307;10948;Utrecht;P26;34220;31342;0;;31342;9786;6881;3476;3746;3314;1687;690;561;632;65;152;269;83
Ammerstol;G0486;10863;Zuid-Holland;P28;704;661;0;;661;392;1;14;10;76;140;;20;1;1;;6;
Ammerzoden;G0198;10151;Gelderland;P25;1693;1579;0;;1579;149;1020;102;178;11;2;40;75;;1;1;;
Amstenrade;G0884;10062;Limburg;P31;1388;1286;0;;1286;234;897;22;18;13;12;83;;3;;4;;
Amsterdam;G0363;11150;Noord-Holland;P27;523306;467680;0;;467680;164264;71569;38042;17807;49856;104538;10846;1224;1078;1343;3783;2287;1043
Andel;G0742;10871;Noord-Brabant;P30;717;646;0;;646;73;2;224;269;5;1;1;71;;;;;
Andijk;G0364;10822;Noord-Holland;P27;2340;2235;0;;2235;492;375;849;41;144;273;2;46;5;;;8;
Angerlo;G0199;11131;Gelderland;P25;1594;1585;0;;1585;198;888;91;323;69;3;7;4;;1;;1;
Ankeveen;G1014;10936;Noord-Holland;P27;461;428;0;;428;82;170;27;70;12;32;15;11;2;;7;;
Anloo;G0105;10787;Drenthe;P22;3389;3034;0;;3034;1970;20;109;62;652;114;11;1;13;68;12;2;
Anna Paulowna;G0366;10344;Noord-Holland;P27;3700;3515;0;;3515;1213;1141;252;127;368;286;66;21;22;7;8;3;1
Apeldoorn;G0200;11075;Gelderland;P25;51538;48528;0;;48528;16379;5533;6583;9927;5924;1726;758;1032;178;70;190;101;127
Appeltern;G0201;11296;Gelderland;P25;1891;1787;0;;1787;130;1472;10;143;6;2;16;1;1;2;1;3;
Appingedam;G0003;10886;Groningen;P20;5052;4639;0;;4639;1611;101;883;848;596;481;21;2;29;45;1;2;19
Arcen en Velden;G0885;10202;Limburg;P31;2342;2267;0;;2267;96;1998;13;8;28;5;113;;;;5;1;
Arkel;G0487;10079;Zuid-Holland;P28;854;787;0;;787;371;16;94;43;224;11;;19;;;;9;
Arnemuiden;G0649;11419;Zeeland;P29;1491;1379;0;;1379;371;12;273;220;36;7;;443;4;11;1;1;
Arnhem;G0202;10795;Gelderland;P25;63583;59282;0;;59282;22534;15753;4614;4734;5827;2380;1590;225;110;759;328;305;123
Asperen;G0488;11369;Zuid-Holland;P28;1017;955;0;;955;237;6;287;133;108;4;;177;;2;1;;
Assen;G0106;10522;Drenthe;P22;14180;12776;0;;12776;5907;479;2002;1125;1724;627;95;23;494;195;39;15;51
Assendelft;G0367;11373;Noord-Holland;P27;3726;3549;0;;3549;999;1426;132;45;179;666;24;43;19;7;2;4;3
Asten;G0743;10478;Noord-Brabant;P30;3868;3664;0;;3664;91;3346;8;37;13;8;149;1;1;5;3;2;
Avenhorn;G0368;11147;Noord-Holland;P27;832;811;0;;811;266;395;7;7;109;20;3;;1;;;2;1
Avereest;G0143;11190;Overijssel;P23;6359;5716;0;;5716;1321;540;1243;1918;544;20;46;36;21;17;4;4;2
Axel;G0650;11289;Zeeland;P29;4352;4098;0;;4098;919;712;732;772;249;6;30;180;472;19;5;2;
Baarderadeel;G0061;10422;Fryslân;P21;3069;2896;0;;2896;1418;122;425;302;534;27;1;8;5;19;5;30;
Baarland;G0651;10634;Zeeland;P29;520;497;0;;497;75;106;105;112;24;21;4;39;;10;1;;
Baarle-Nassau;G0744;10060;Noord-Brabant;P30;1890;1814;0;;1814;58;1652;14;11;7;4;60;1;3;1;3;;
Baarn;G0308;11411;Utrecht;P26;10488;9496;0;;9496;2720;1340;2037;750;1419;301;426;264;67;31;59;31;51
Baexem;G0886;11255;Limburg;P31;660;668;0;;668;;659;;;;;9;;;;;;
Baflo;G0004;10539;Groningen;P20;1696;1630;0;;1630;509;8;737;83;216;12;;1;45;11;4;1;3
Bakel en Milheeze;G0745;10749;Noord-Brabant;P30;2172;2066;0;;2066;35;1978;7;11;2;9;21;1;1;;1;;
Barendrecht;G0489;10943;Zuid-Holland;P28;4034;3803;0;;3803;893;43;1510;595;425;18;4;261;39;11;;4;
Barneveld;G0203;10906;Gelderland;P25;10461;10625;0;;10625;1607;712;2223;3218;511;90;120;1989;88;14;23;7;23
Barradeel;G0062;10156;Fryslân;P21;4502;4272;0;;4272;1260;38;1287;1258;289;55;7;2;40;16;3;9;8
Barsingerhorn;G0369;10973;Noord-Holland;P27;1180;1081;0;;1081;531;51;53;31;224;170;1;2;3;5;2;5;3
Barwoutswaarder;G1017;10447;Zuid-Holland;P28;474;450;0;;450;43;78;105;155;10;4;8;47;;;;;
Batenburg;G0204;10921;Gelderland;P25;316;294;0;;294;9;223;15;35;6;;4;;;;;2;
Bathmen;G0144;11030;Overijssel;P23;1351;1277;0;;1277;409;28;24;287;509;11;1;3;;;1;4;
Bedum;G0005;10425;Groningen;P20;4025;3866;0;;3866;992;159;1721;135;365;21;8;2;395;39;16;3;10
Beegden;G0887;11089;Limburg;P31;566;537;0;;537;5;510;;;;1;20;;;;;1;
Beek;G0888;11374;Limburg;P31;4157;3858;0;;3858;308;3158;27;39;48;27;240;4;2;;5;;
Beek en Donk;G0746;10173;Noord-Brabant;P30;2132;1986;0;;1986;68;1828;5;8;31;5;33;1;2;4;1;;
Beemster;G0370;10816;Noord-Holland;P27;3539;3377;0;;3377;1211;959;163;90;669;227;19;5;1;13;9;9;2
Beers;G0747;11410;Noord-Brabant;P30;1097;1080;0;;1080;6;1065;;;;;6;;;2;1;;
Beerta;G0006;11043;Groningen;P20;2323;2051;0;;2051;624;23;52;73;304;928;6;7;4;17;8;1;4
Beesd;G0205;10259;Gelderland;P25;1659;1573;0;;1573;326;632;76;346;53;10;18;102;2;2;2;4;
Beesel;G0889;10195;Limburg;P31;3176;3028;0;;3028;95;2608;9;1;5;5;295;1;2;;4;3;
Beets;G0371;10536;Noord-Holland;P27;331;317;0;;317;167;6;4;17;96;11;;3;;13;;;
Beilen;G0107;10520;Drenthe;P22;5549;5217;0;;5217;2087;46;1207;1067;579;72;6;9;99;7;6;3;29
Belfeld;G0890;10292;Limburg;P31;1393;1299;0;;1299;23;1187;1;2;2;;79;2;2;;1;;
Bellingwolde;G1019;10340;Groningen;P20;3839;3485;0;;3485;1863;47;203;280;421;623;1;5;11;16;7;5;3
Bemelen;G0891;10878;Limburg;P31;170;157;0;;157;6;143;;1;2;;5;;;;;;
Bemmel;G0206;10744;Gelderland;P25;4740;4443;0;;4443;415;3524;50;188;83;10;142;9;1;17;3;1;
Bennebroek;G0372;10734;Noord-Holland;P27;2271;1564;0;;1564;214;460;311;119;223;18;177;10;12;2;10;4;4
Benschop;G0309;11330;Utrecht;P26;1183;1122;0;;1122;111;326;235;191;73;2;14;169;;1;;;
Benthuizen;G0490;10398;Zuid-Holland;P28;662;619;0;;619;102;8;75;97;33;3;;300;;1;;;
Berg en Terblijt;G0892;10796;Limburg;P31;1188;1149;0;;1149;56;1026;5;13;12;3;27;1;2;;4;;
Bergambacht;G0491;10962;Zuid-Holland;P28;2240;2088;0;;2088;722;9;412;134;273;71;2;449;;6;4;;6
Bergen;G0373;11424;Noord-Holland;P27;5082;5825;0;;5825;1794;1737;412;202;1092;223;193;10;10;17;42;56;37
Bergen;G0893;11281;Limburg;P31;4606;4304;0;;4304;136;4021;14;9;13;5;63;2;2;;38;1;
Bergen op Zoom;G0748;11037;Noord-Brabant;P30;16243;14908;0;;14908;3451;7897;676;322;643;185;1583;48;18;29;53;3;
Bergeyk;G0749;11160;Noord-Brabant;P30;2199;2029;0;;2029;54;1846;14;43;7;4;43;1;;5;6;6;
Bergh;G0207;10350;Gelderland;P25;6700;6296;0;;6296;747;5130;61;71;98;45;112;12;;10;8;2;
Bergharen;G0208;10883;Gelderland;P25;993;958;0;;958;50;779;9;104;7;1;5;;1;2;;;
Berghem;G0750;10733;Noord-Brabant;P30;1619;1499;0;;1499;107;1352;7;2;8;5;12;;1;1;2;2;
Bergschenhoek;G0492;10445;Zuid-Holland;P28;1821;1710;0;;1710;258;405;202;552;114;19;17;89;45;2;4;1;2
Berkel en Rodenrijs;G0493;10139;Zuid-Holland;P28;2891;2843;0;;2843;113;1347;355;647;57;5;39;26;252;;2;;
Berkel-Enschot;G0751;11132;Noord-Brabant;P30;1740;1569;0;;1569;56;1418;9;4;4;2;71;1;;;4;;
Berkenwoude;G0494;10797;Zuid-Holland;P28;532;492;0;;492;93;5;67;11;179;3;2;126;;;;6;
Berkhout;G0374;10354;Noord-Holland;P27;1857;1803;0;;1803;574;962;28;25;168;24;11;4;;1;5;1;
Berlicum;G0752;10362;Noord-Brabant;P30;2326;2155;0;;2155;122;1952;6;17;6;7;35;1;;8;1;;
Best;G0753;10442;Noord-Brabant;P30;3945;3867;0;;3867;479;3191;14;18;22;17;112;;7;2;5;;
Beuningen;G0209;10417;Gelderland;P25;2142;1968;0;;1968;235;1535;17;66;13;7;74;3;;7;8;3;
Beusichem;G0210;11182;Gelderland;P25;1034;970;0;;970;416;58;79;133;196;15;2;68;;3;;;
Beverwijk;G0375;10272;Noord-Holland;P27;15853;15594;0;;15594;4094;6156;903;671;1073;2000;400;44;49;39;37;86;42
Bierum;G0008;11294;Groningen;P20;2566;2410;0;;2410;523;4;914;658;205;25;1;2;11;15;3;2;47
Biervliet;G0652;10257;Zeeland;P29;1227;1149;0;;1149;436;327;45;146;128;1;6;40;3;15;;2;
Biggekerke;G1022;11364;Zeeland;P29;494;510;0;;510;43;12;149;179;11;18;1;76;4;17;;;
Bingelrade;G0894;10967;Limburg;P31;342;332;0;;332;6;320;;3;;;3;;;;;;
Bladel en Netersel;G0754;11006;Noord-Brabant;P30;1757;1631;0;;1631;17;1529;10;37;3;1;29;2;1;1;1;;
Blankenham;G0145;10320;Overijssel;P23;303;281;0;;281;96;23;5;71;85;;1;;;;;;
Blaricum;G0376;10493;Noord-Holland;P27;3233;2898;0;;2898;576;806;269;111;623;153;214;18;3;1;54;61;9
Bleiswijk;G0495;10994;Zuid-Holland;P28;1496;1442;0;;1442;170;412;273;260;123;4;43;142;4;8;;;3
Bleskensgraaf en Hofwegen;G0496;10451;Zuid-Holland;P28;727;612;0;;612;98;2;193;32;43;3;;238;1;2;;;
Bloemendaal;G0377;10850;Noord-Holland;P27;12740;10504;0;;10504;2165;1949;1436;615;2903;149;892;32;11;11;109;42;190
Blokker;G0378;10804;Noord-Holland;P27;1397;1364;0;;1364;160;958;12;12;181;17;10;3;;7;3;1;
Blokzijl;G0146;10689;Overijssel;P23;759;705;0;;705;296;10;154;129;75;9;;10;13;2;;7;
Bocholtz;G0895;10986;Limburg;P31;1881;1676;0;;1676;190;1383;3;4;11;28;44;2;4;;5;2;
Bodegraven;G0497;11091;Zuid-Holland;P28;4035;3808;0;;3808;554;802;1218;591;234;20;51;307;27;;1;2;1
Boekel;G0755;10432;Noord-Brabant;P30;2440;2323;0;;2323;17;2282;3;1;4;3;11;;;1;;1;
Bolsward;G0064;10865;Fryslân;P21;4247;3960;0;;3960;1072;1333;626;524;216;95;50;5;3;4;4;6;22
Borculo;G0211;11307;Gelderland;P25;3872;3567;0;;3567;1532;402;294;389;868;39;16;2;3;5;14;3;
Borger;G0108;10448;Drenthe;P22;5847;5422;0;;5422;2744;85;694;793;781;229;5;2;37;37;12;3;
Borgharen;G0896;11334;Limburg;P31;643;564;0;;564;76;468;2;1;;4;10;;2;;1;;
Born;G0897;10927;Limburg;P31;1964;1840;0;;1840;101;1651;2;9;13;10;48;2;2;;2;;
Borne;G0147;10326;Overijssel;P23;6878;6607;0;;6607;1388;3698;265;511;249;306;136;29;9;3;5;3;5
Borsele;G0654;10043;Zeeland;P29;913;844;0;;844;122;123;92;189;46;;24;227;1;20;;;
Boskoop;G0499;10419;Zuid-Holland;P28;4897;4675;0;;4675;827;997;1105;670;657;56;80;266;4;5;5;2;1
Bovenkarspel;G0379;10945;Noord-Holland;P27;1723;1652;0;;1652;212;1232;38;5;109;16;28;3;1;5;1;;2
Boxmeer;G0756;11227;Noord-Brabant;P30;3887;3713;0;;3713;501;2765;7;42;24;14;356;1;;;3;;
Boxtel;G0757;10083;Noord-Brabant;P30;7140;6607;0;;6607;1036;4996;57;53;85;61;259;10;8;6;33;3;
Brakel;G0212;11125;Gelderland;P25;1169;1012;0;;1012;336;1;71;126;34;4;6;431;;;;3;
Brandwijk;G0500;10169;Zuid-Holland;P28;553;515;0;;515;74;;215;33;70;;;119;3;1;;;
Breda;G0758;10154;Noord-Brabant;P30;50578;46541;0;;46541;10837;25039;1358;1217;2440;932;4182;90;67;85;257;37;
Breskens;G0655;10233;Zeeland;P29;2080;1872;0;;1872;962;131;104;311;229;32;7;15;3;69;7;2;
Breukelen;G0311;10807;Utrecht;P26;3039;2850;0;;2850;389;608;520;616;291;33;87;238;47;5;14;1;1
Brielle;G0501;10232;Zuid-Holland;P28;2261;2160;0;;2160;879;178;226;362;418;44;4;11;1;;2;35;
Broek in Waterland;G0380;10289;Noord-Holland;P27;1041;969;0;;969;348;33;82;195;207;31;3;6;;1;4;6;53
Broekhuizen;G0898;10856;Limburg;P31;580;573;0;;573;16;544;1;;3;;8;;1;;;;
Brouwershaven;G0656;10030;Zeeland;P29;767;716;0;;716;319;3;148;39;141;2;;19;26;16;3;;
Bruinisse;G0657;11291;Zeeland;P29;1502;1359;0;;1359;387;6;179;230;212;8;;308;1;24;2;2;
Brummen;G0213;10798;Gelderland;P25;7032;6672;0;;6672;3240;472;501;1091;1132;135;54;15;2;3;8;8;11
Brunssum;G0899;10533;Limburg;P31;10232;9419;0;;9419;1923;5846;319;296;62;604;287;8;55;;13;6;
Budel;G0759;10219;Noord-Brabant;P30;3162;2934;0;;2934;123;2689;19;23;19;15;35;;1;2;7;1;
Bunde;G0900;10831;Limburg;P31;1080;979;0;;979;76;843;4;3;2;7;40;;1;;1;2;
Bunnik;G0312;10820;Utrecht;P26;1475;1405;0;;1405;200;656;179;183;53;14;57;50;2;3;7;;1
Bunschoten;G0313;11343;Utrecht;P26;3618;3449;0;;3449;184;6;2086;45;11;3;2;98;1005;6;1;2;
Buren;G0214;11286;Gelderland;P25;1204;1130;0;;1130;502;52;83;259;141;9;4;76;;3;;1;
Burgh;G1035;11000;Zeeland;P29;445;467;0;;467;182;8;57;83;86;4;6;11;;29;1;;
Bussum;G0381;10281;Noord-Holland;P27;21049;19155;0;;19155;4614;4285;2597;1341;3243;947;1382;257;61;44;170;165;49
Buurmalsen;G0215;10460;Gelderland;P25;1293;1195;0;;1195;444;42;150;310;92;5;4;146;;2;;;
Cadier en Keer;G0901;11447;Limburg;P31;722;648;0;;648;28;555;2;1;3;1;53;1;1;;3;;
Cadzand;G0658;11002;Zeeland;P29;627;647;0;;647;297;15;62;98;132;9;2;5;;22;2;3;
Callantsoog;G0382;10559;Noord-Holland;P27;676;710;0;;710;309;97;38;9;163;74;6;2;;3;;8;1
Capelle aan den IJssel;G0502;11248;Zuid-Holland;P28;4464;4031;0;;4031;1565;44;381;719;339;63;6;759;128;12;11;1;3
Castricum;G0383;11287;Noord-Holland;P27;5439;5224;0;;5224;1393;2487;250;133;359;374;162;14;10;5;14;20;3
Chaam;G0760;11433;Noord-Brabant;P30;1270;1212;0;;1212;51;1056;17;48;8;1;29;;1;;1;;
Clinge;G0659;10965;Zeeland;P29;1743;1560;0;;1560;289;1193;9;15;9;8;15;11;1;8;2;;
Coevorden;G0109;10383;Drenthe;P22;4696;4418;0;;4418;1610;1068;603;567;465;31;36;14;8;7;3;5;1
Cothen;G0314;11316;Utrecht;P26;616;591;0;;591;28;443;11;52;11;;21;22;1;2;;;
Cuijk en Sint Agatha;G0761;10023;Noord-Brabant;P30;3060;2878;0;;2878;188;2491;11;22;33;9;114;1;1;5;1;2;
Culemborg;G0216;10342;Gelderland;P25;6703;6313;0;;6313;2288;2201;312;278;537;296;179;182;24;6;8;2;
Dalen;G0110;11004;Drenthe;P22;2414;2220;0;;2220;994;244;110;179;650;19;5;3;1;7;1;6;1
Dalfsen;G0148;11007;Overijssel;P23;4939;4674;0;;4674;498;1422;341;1873;196;6;20;44;258;3;3;8;2
Dantumadeel;G0065;10650;Fryslân;P21;8468;7769;0;;7769;1838;85;2610;1608;449;246;3;611;233;51;7;12;16
De Bilt;G0310;10168;Utrecht;P26;11403;10566;0;;10566;2794;1498;2005;1085;1943;159;434;307;70;57;93;68;53
De Lier;G0552;10241;Zuid-Holland;P28;2075;2016;0;;2016;158;279;757;647;119;;7;28;19;;;2;
De Rijp;G0440;11417;Noord-Holland;P27;856;816;0;;816;261;356;10;9;90;73;;8;;4;;4;1
De Wijk;G0135;10753;Drenthe;P22;2250;2083;0;;2083;752;11;415;262;571;32;5;6;10;16;1;1;1
Deil;G0217;10057;Gelderland;P25;1389;1282;0;;1282;470;223;83;290;127;14;5;67;;2;;1;
Delft;G0503;10928;Zuid-Holland;P28;38811;35256;0;;35256;12047;9345;3753;2471;3003;2231;952;1114;108;47;84;101;
Delfzijl;G0010;10976;Groningen;P20;6888;5999;0;;5999;2183;159;876;640;986;994;13;15;45;35;20;11;22
Den Bommel;G1024;10293;Zuid-Holland;P28;1116;1033;0;;1033;207;233;234;171;56;6;10;115;;1;;;
Den Dungen;G0768;10491;Noord-Brabant;P30;1249;1168;0;;1168;36;1096;3;2;4;;27;;;;;;
Den Ham;G0159;10395;Overijssel;P23;4768;4355;0;;4355;571;310;1240;1710;183;179;15;30;105;1;4;5;2
Den Helder;G0400;10285;Noord-Holland;P27;22056;19929;0;;19929;9556;2593;2842;989;2577;505;225;153;146;67;159;52;65
Denekamp;G0149;10245;Overijssel;P23;4028;3810;0;;3810;184;3115;85;215;72;46;80;3;6;2;2;;
Deurne;G0762;10379;Noord-Brabant;P30;7599;7091;0;;7091;171;6500;23;175;27;22;151;3;4;11;2;2;
Deventer;G0150;10899;Overijssel;P23;29347;26903;0;;26903;10748;4808;1652;1314;3599;3999;408;90;70;32;87;67;29
Didam;G0218;10153;Gelderland;P25;4116;3879;0;;3879;450;3268;31;49;20;8;39;2;3;4;3;2;
Diemen;G0384;11039;Noord-Holland;P27;2964;2713;0;;2713;766;721;383;380;135;209;77;14;5;5;16;2;
Diepenheim;G0151;10311;Overijssel;P23;1308;1193;0;;1193;605;114;36;141;265;20;1;4;3;1;;1;2
Diepenveen;G0152;10933;Overijssel;P23;4857;4569;0;;4569;1247;1429;287;551;899;58;60;11;2;3;7;5;10
Diessen;G0763;11185;Noord-Brabant;P30;1029;1006;0;;1006;27;953;4;12;;;10;;;;;;
Diever;G0111;10418;Drenthe;P22;1763;1663;0;;1663;768;38;365;92;355;9;4;;12;16;1;2;1
Dinteloord en Prinsenland;G0764;11193;Noord-Brabant;P30;2452;2248;0;;2248;368;816;297;366;114;21;38;226;;2;;;
Dinther;G1044;10690;Noord-Brabant;P30;1292;1233;0;;1233;11;1185;1;21;2;3;6;;;2;2;;
Dinxperlo;G0219;11154;Gelderland;P25;2427;2226;0;;2226;423;404;356;890;122;11;7;3;;3;6;1;
Dirksland;G0504;11344;Zuid-Holland;P28;1967;1698;0;;1698;443;15;544;67;218;8;6;386;1;4;;6;
Dodewaard;G0220;10647;Gelderland;P25;1412;1301;0;;1301;518;18;244;195;114;4;3;203;;;2;;
Doesburg;G0221;10327;Gelderland;P25;3438;3455;0;;3455;1203;1266;256;373;196;68;61;10;7;5;1;9;
Doetinchem;G0222;10396;Gelderland;P25;12088;11252;0;;11252;3705;3488;916;1293;1053;329;247;143;22;13;36;7;
Dokkum;G0066;10198;Fryslân;P21;3516;3384;0;;3384;1036;148;1462;413;192;23;11;43;16;23;9;5;3
Domburg;G0660;10236;Zeeland;P29;908;1058;0;;1058;322;40;129;210;157;6;7;133;1;44;8;1;
Dongen;G0766;11412;Noord-Brabant;P30;6188;5889;0;;5889;334;5017;70;89;30;12;311;16;6;4;;;
Doniawerstal;G0067;10086;Fryslân;P21;3517;3327;0;;3327;897;820;521;824;192;15;17;21;4;2;;13;1
Doorn;G0315;10213;Utrecht;P26;4170;4111;0;;4111;1213;303;800;767;633;44;59;162;21;12;79;13;5
Doornspijk;G0223;10069;Gelderland;P25;3216;3161;0;;3161;543;45;704;544;90;30;9;1180;7;1;4;4;
Dordrecht;G0505;11157;Zuid-Holland;P28;43698;39360;0;;39360;17064;3908;6061;3455;4420;2285;550;1090;109;133;124;161;
Dreischor;G1047;10885;Zeeland;P29;704;661;0;;661;345;5;37;49;163;2;;20;1;38;1;;
Dreumel;G0224;11232;Gelderland;P25;1503;1400;0;;1400;201;1086;20;32;16;4;26;1;;1;13;;
Driebergen-Rijsenburg;G0316;10777;Utrecht;P26;7309;6833;0;;6833;1721;922;1507;1025;804;81;194;405;50;20;67;13;24
Driewegen;G0661;11115;Zeeland;P29;404;383;0;;383;100;50;65;95;38;;1;15;;19;;;
Drunen;G0767;10428;Noord-Brabant;P30;2937;2870;0;;2870;156;2533;21;32;12;12;70;12;3;6;13;;
Druten;G0225;10068;Gelderland;P25;3919;3733;0;;3733;334;3126;25;126;16;5;90;1;3;7;;;
Dubbeldam;G0507;10781;Zuid-Holland;P28;3244;3014;0;;3014;948;51;591;684;536;22;17;144;15;3;1;2;
Duiven;G0226;11028;Gelderland;P25;2378;2272;0;;2272;186;1959;47;38;2;2;31;3;;4;;;
Duivendijke;G1050;10335;Zeeland;P29;291;273;0;;273;76;6;119;27;29;1;;9;4;;;2;
Dussen;G0769;10261;Noord-Brabant;P30;2230;2064;0;;2064;143;1227;310;209;15;5;34;110;4;6;1;;
Dwingeloo;G0112;10331;Drenthe;P22;1931;1854;0;;1854;1039;9;260;101;416;17;;;;8;2;2;
Echt;G0902;10941;Limburg;P31;6478;6097;0;;6097;382;5381;29;13;15;29;224;7;3;;10;4;
Echteld;G0227;10832;Gelderland;P25;2114;1956;0;;1956;967;39;301;187;140;9;1;307;1;4;;;
Edam-Volendam;G0385;10884;Noord-Holland;P27;5829;5670;0;;5670;774;3801;175;185;475;115;101;5;2;4;13;5;15
Ede;G0228;10743;Gelderland;P25;25796;25007;0;;25007;5695;1380;5149;5279;1829;274;247;4831;55;52;107;39;70
Eelde;G0113;10622;Drenthe;P22;2607;2398;0;;2398;1335;38;108;90;595;82;20;;9;103;12;5;1
Eemnes;G0317;10248;Utrecht;P26;1266;1190;0;;1190;147;491;249;65;58;41;63;72;;1;1;2;
Eenrum;G0011;10904;Groningen;P20;1633;1561;0;;1561;781;35;213;31;286;23;4;1;150;34;1;2;
Eersel;G0770;10741;Noord-Brabant;P30;2062;2049;0;;2049;26;1944;3;24;8;3;36;1;1;2;1;;
Eethen;G0771;10010;Noord-Brabant;P30;1612;1495;0;;1495;228;46;518;339;88;3;3;266;3;1;;;
Egmond aan Zee;G0386;10421;Noord-Holland;P27;2836;2577;0;;2577;1488;332;156;88;306;146;33;;4;9;5;7;3
Egmond-Binnen;G0387;10989;Noord-Holland;P27;1533;1539;0;;1539;134;1217;27;23;73;22;40;1;;;2;;
Eibergen;G0229;10436;Gelderland;P25;6447;6056;0;;6056;1651;2629;452;832;428;17;19;2;17;3;4;2;
Eijgelshoven;G0904;10960;Limburg;P31;2510;2209;0;;2209;354;1458;15;20;19;122;190;5;9;;15;2;
Eijsden;G0905;10314;Limburg;P31;2466;2221;0;;2221;107;1922;9;20;10;1;121;1;4;;25;1;
Eindhoven;G0772;11298;Noord-Brabant;P30;76452;72733;0;;72733;19374;41163;2469;1664;2893;1600;2850;147;144;86;206;137;
Elburg;G0230;11113;Gelderland;P25;1679;1659;0;;1659;230;31;339;552;66;10;20;397;2;1;5;4;2
Elkerzee;G1053;10184;Zeeland;P29;342;310;0;;310;75;1;91;58;40;;;26;5;12;;2;
Ellemeet;G1054;10102;Zeeland;P29;289;260;0;;260;126;1;27;48;45;1;2;7;;2;;1;
Ellewoutsdijk;G0663;11300;Zeeland;P29;309;282;0;;282;109;4;14;88;33;1;3;10;;20;;;
Elsloo;G0903;11187;Limburg;P31;1778;1626;0;;1626;122;1442;3;2;4;4;43;2;1;;3;;
Elst;G0231;11188;Gelderland;P25;5966;5777;0;;5777;1093;3238;434;502;270;35;114;53;1;17;17;3;
Elten;G1055;10161;Gelderland;P25;475;429;0;;429;110;269;3;12;13;5;13;2;1;;1;;
