RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;Partij van de Arbeid (P.v.d.A.);Katholieke Volkspartij (KVP);Anti-Revolutionaire Partij;Christelijk-Historische Unie;VVD;Communistische Partij van Nederland;Katholieke Nationale Partij;Staatkundig Gereformeerde Partij (SGP);Gereformeerd Politiek Verbond (GPV);Middenstands Partij;Partij voor Recht, Vrijheid en Welvaart;Socialistische Unie;Jong Conservatief Verbond
Oldebroek;G0269;11106;Gelderland;P25;5450;6198;0;;6198;1371;196;1523;1413;204;44;45;1051;311;1;17;1;21
Oldehove;G0035;10298;Groningen;P20;1362;1310;0;;1310;346;5;511;83;193;6;1;1;149;9;5;;1
Oldekerk;G0036;11332;Groningen;P20;1130;1069;0;;1069;228;1;548;100;138;5;;2;34;12;1;;
Oldemarkt;G0172;10858;Overijssel;P23;1789;1671;0;;1671;484;218;129;739;78;8;2;4;8;;1;;
Oldenzaal;G0173;11100;Overijssel;P23;7159;6778;0;;6778;867;4708;163;262;258;83;354;8;51;10;11;1;2
Olst;G0174;10409;Overijssel;P23;4052;3842;0;;3842;1421;993;150;340;744;155;6;20;2;1;;6;4
Ommen;G0175;11069;Overijssel;P23;6044;5833;0;;5833;861;530;1505;2106;439;20;32;51;262;7;9;5;6
Onstwedde;G1250;10610;Groningen;P20;11718;10501;0;;10501;3099;1267;2077;2235;546;856;36;105;200;51;16;7;6
Ooltgensplaat;G1133;11163;Zuid-Holland;P28;1777;1648;0;;1648;469;254;316;236;56;11;11;286;;8;;1;
Oost- en West-Souburg;G1135;11396;Zeeland;P29;3633;3477;0;;3477;1431;136;740;698;126;70;18;143;11;93;4;7;
Oost-, West- en Middelbeers;G0825;10220;Noord-Brabant;P30;1043;1000;0;;1000;9;961;1;7;5;;15;;;2;;;
Oostburg;G0692;10782;Zeeland;P29;1984;1864;0;;1864;544;501;168;146;292;11;41;41;7;82;26;5;
Oostdongeradeel;G0084;11102;Fryslân;P21;4579;4441;0;;4441;414;27;2588;1147;180;12;2;34;5;20;5;1;6
Oosterhesselen;G0123;10490;Drenthe;P22;1886;1742;0;;1742;711;3;485;186;246;53;;2;49;5;1;;1
Oosterhout;G0826;11280;Noord-Brabant;P30;10665;9897;0;;9897;1126;8003;90;48;39;49;490;8;7;12;24;1;
Oosterland;G1136;11237;Zeeland;P29;1141;1008;0;;1008;258;9;84;168;107;3;1;356;;20;1;1;
Oosthuizen;G0430;11121;Noord-Holland;P27;588;557;0;;557;281;38;8;33;135;55;2;1;;2;1;1;
Oostkapelle;G1137;10720;Zeeland;P29;1077;934;0;;934;128;6;308;215;78;3;2;155;9;24;5;1;
Ooststellingwerf;G0085;10836;Fryslân;P21;9827;9072;0;;9072;4221;106;1635;1172;797;756;15;14;102;111;9;128;6
Oostvoorne;G0581;10009;Zuid-Holland;P28;2738;2760;0;;2760;1288;74;242;133;788;175;9;29;5;1;7;9;
Oostzaan;G0431;11303;Noord-Holland;P27;2826;2621;0;;2621;1091;48;269;109;372;670;;45;4;5;6;1;1
Ootmarsum;G0176;11079;Overijssel;P23;1098;1175;0;;1175;115;898;26;45;32;4;50;2;1;;;2;
Ophemert;G0270;10829;Gelderland;P25;832;730;0;;730;306;24;100;141;106;4;1;40;1;6;1;;
Oploo, Sint Anthonis en Ledeacker;G0827;11415;Noord-Brabant;P30;2469;2393;0;;2393;22;2321;6;14;3;1;23;2;;1;;;
Opmeer;G0432;10609;Noord-Holland;P27;386;373;0;;373;94;225;12;5;29;6;1;;;;;1;
Opperdoes;G0433;10523;Noord-Holland;P27;713;691;0;;691;102;3;347;137;35;3;;57;3;1;2;1;
