RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;Rooms-Katholieke Staatspartij (RKSP);Sociaal-Democratische Arbeiderspartij (SDAP);Anti-Revolutionaire Partij;Christelijk-Historische Unie;Liberale Staatspartij (LSP);Vrijzinnig-Democratische Bond (VDB);Staatkundig Gereformeerde Partij (SGP);Middenpartij voor Stad en Land;CPN (De Visser);HGSP;Plattelandersbond;CPN (Wijnkoop);Rooms-Katholieke Volkspartij (RKVP);Revolutionair-Socialistische Partij;Federatief Verband;Christelijk-Democratische Unie;Democratische Partij;Kleine Winkeliers en Middenstanders;Nationale Boerenbond;Verbond van Nationalisten;Roomsch-Katholieke Boerenpartij (RKBP);Sociaal-Democratische Volkspartij;Algemene Welvaartspartij;Christelijke Arbeiderspartij;Lijst Van Nunen;Hoofd- en handarbeiders;Sociaal-Economische Volkspartij;Invalidenpartij;Lijst Verwey;Volkspartij;Anti-stemdwangpartij;Algemeen Belang;Neutrale Volkspartij;Lijst Siedenburg;Vrije Christelijke Partij;Internationale Volkspartij
Sint-Michielsgestel;G0845;10496;Noord-Brabant;P30;;1936;;;1936;1809;22;5;20;6;1;;23;1;;3;;32;8;3;;;2;1;;;;;;;;;;;;;;;;;
Sint-Oedenrode;G0846;10399;Noord-Brabant;P30;;2760;;;2760;2631;11;6;25;5;10;1;19;1;;3;5;12;15;3;;;2;2;3;5;;;;1;;;;;;;;;;;
Sittard;G0968;11230;Limburg;P31;5180;4487;;;4487;3762;391;17;49;48;38;2;36;17;3;8;11;45;7;;;2;;4;1;41;5;;;;;;;;;;;;;;
Sleen;G0130;10489;Drenthe;P22;2383;2047;109;;1938;4;574;275;247;80;207;6;8;26;;411;3;4;17;10;31;3;;19;13;;;;;;;;;;;;;;;;
Slenaken;G0969;11274;Limburg;P31;259;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sliedrecht;G0610;11331;Zuid-Holland;P28;6082;4989;270;;4719;37;1458;1027;581;563;244;511;31;5;111;76;5;3;22;27;;3;3;7;5;;;;;;;;;;;;;;;;
Slochteren;G0040;10747;Groningen;P20;7060;6424;292;;6132;74;2717;1098;355;704;364;18;16;65;42;445;48;13;28;23;51;32;;31;8;;;;;;;;;;;;;;;;
Sloten (F);G0089;10867;Fryslân;P21;445;426;8;;418;81;43;62;162;16;22;3;1;1;23;;1;1;;;2;;;;;;;;;;;;;;;;;;;;
Sluis;G0713;10895;Zeeland;P29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Smallingerland;G0090;10405;Fryslân;P21;7686;7174;208;;6966;8;2142;2597;615;66;1056;14;5;18;22;178;158;4;15;;29;35;;4;;;;;;;;;;;;;;;;;
Smilde;G0131;11033;Drenthe;P22;2781;2535;32;54;2449;7;502;681;707;15;302;12;7;4;1;138;9;1;6;7;17;3;;13;17;;;;;;;;;;;;;;;;
Sneek;G0091;11421;Fryslân;P21;7986;7391;211;;7180;934;2116;1393;1266;327;850;11;30;22;19;23;8;18;103;;37;16;;7;;;;;;;;;;;;;;;;;
Snelrewaard;G0341;10802;Utrecht;P26;277;255;6;;249;155;2;27;31;4;3;12;;;1;13;;;;;1;;;;;;;;;;;;;;;;;;;;
Soest;G0342;11021;Utrecht;P26;6840;6518;351;;6167;1889;711;1093;598;526;561;105;137;25;46;17;15;24;6;39;60;286;4;11;11;;1;;2;;;;;;;;;;;;
Someren;G0847;10203;Noord-Brabant;P30;1921;1835;;;1835;1765;11;1;33;3;2;1;11;;;2;1;2;1;1;;1;;;;;;;;;;;;;;;;;;;
Sommelsdijk;G1184;11097;Zuid-Holland;P28;1772;1442;;;1442;40;193;469;38;182;45;372;;2;7;63;8;2;12;2;;1;3;1;2;;;;;;;;;;;;;;;;
Son en Breugel;G0848;10549;Noord-Brabant;P30;1067;1098;;;1098;1073;10;3;1;;;;4;;3;;;1;;2;;;;;;1;;;;;;;;;;;;;;;
Spanbroek;G1186;10063;Noord-Holland;P27;797;760;3;1;756;625;20;;;21;82;;1;;;1;1;1;1;2;1;;;;;;;;;;;;;;;;;;;;
Spaubeek;G0970;10552;Limburg;P31;536;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Spijkenisse;G0612;10735;Zuid-Holland;P28;1123;1008;;;1008;3;233;198;251;173;24;44;1;2;7;48;4;2;5;8;;;;5;;;;;;;;;;;;;;;;;
Sprang;G1187;10659;Noord-Brabant;P30;2551;2188;;;2188;103;228;636;490;62;85;319;;7;42;151;6;3;12;7;;27;2;4;3;;;;;1;;;;;;;;;;;
Stad aan 't Haringvliet;G1188;11239;Zuid-Holland;P28;618;530;7;17;506;3;20;184;27;103;6;136;;;1;15;1;1;2;3;;3;;;1;;;;;;;;;;;;;;;;
Stad Delden;G0179;10913;Overijssel;P23;1375;1336;15;16;1305;729;187;39;113;71;116;;10;1;3;8;2;5;7;3;6;;;5;;;;;;;;;;;;;;;;;
Stad Hardenberg;G1191;11169;Overijssel;P23;1195;1119;11;10;1098;8;156;455;210;118;111;5;;;13;3;2;;5;3;2;1;;2;4;;;;;;;;;;;;;;;;
Stad Vollenhove;G1193;11183;Overijssel;P23;;704;6;15;689;118;112;106;232;93;6;2;2;;;;;5;4;4;;1;;3;1;;;;;;;;;;;;;;;;
Standdaarbuiten;G0850;11212;Noord-Brabant;P30;901;822;;;822;777;;4;30;6;;1;3;;;;;1;;;;;;;;;;;;;;;;;;;;;;;
Staphorst;G0180;11362;Overijssel;P23;;3188;;;3188;16;174;1771;275;167;151;398;12;25;5;130;11;4;11;2;15;4;;16;1;;;;;;;;;;;;;;;;
Stavenisse;G0714;10619;Zeeland;P29;986;585;;;585;1;19;41;105;33;22;328;1;;2;27;3;2;;;;1;;;;;;;;;;;;;;;;;;;
Staveren;G1257;10240;Fryslân;P21;512;481;6;;475;4;100;122;172;13;47;4;1;;6;3;1;;;;2;;;;;;;;;;;;;;;;;;;;
Stedum;G0041;10771;Groningen;P20;1196;1143;17;;1126;;230;470;273;55;57;2;9;1;4;16;3;;1;3;;1;;1;;;;;;;;;;;;;;;;;
Steenbergen;G1376;10731;Noord-Brabant;P30;4548;4085;;;4085;3512;159;21;120;56;47;25;46;3;1;19;6;35;12;4;3;4;;2;1;6;;;;3;;;;;;;;;;;
Steenderen;G0280;10497;Gelderland;P25;1889;1758;28;;1730;719;163;294;260;230;18;6;8;;1;9;8;1;;2;3;3;2;2;;;;;;;;;;1;;;;;;;
Steenwijk;G0181;10546;Overijssel;P23;3617;3273;;;3273;141;1004;496;761;293;222;6;16;15;188;27;3;21;18;11;23;6;;12;10;;;;;;;;;;;;;;;;
Steenwijkerwold;G0182;11347;Overijssel;P23;3299;2926;;;2926;481;652;324;730;186;176;15;11;11;175;39;9;41;19;16;9;4;;17;11;;;;;;;;;;;;;;;;
Stein;G0971;11319;Limburg;P31;1432;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Stellendam;G1195;10087;Zuid-Holland;P28;882;693;;;693;1;60;217;108;124;7;142;3;3;2;9;4;3;2;5;;1;;1;1;;;;;;;;;;;;;;;;
Stevensweert;G0972;11203;Limburg;P31;521;488;3;5;480;412;5;1;3;;5;;3;;;;2;;1;;;;;;;48;;;;;;;;;;;;;;;
Stiphout;G1196;11386;Noord-Brabant;P30;436;428;6;3;419;399;3;;4;;1;;7;;2;;;;;;;;;1;;2;;;;;;;;;;;;;;;
Stolwijk;G0615;11250;Zuid-Holland;P28;1365;1252;43;61;1148;6;158;159;44;302;116;182;18;4;9;105;8;3;5;13;2;4;2;2;3;;;;;;;3;;;;;;;;;
Stompwijk;G1197;10742;Zuid-Holland;P28;2240;2130;36;20;2073;1313;229;96;194;49;44;12;15;5;60;15;;9;10;14;4;2;;;1;;;;;;;1;;;;;;;;;
Stoppeldijk;G1198;10100;Zeeland;P29;;692;33;;659;577;7;7;4;10;3;2;24;;1;4;2;11;5;;;;;2;;;;;;;;;;;;;;;;;
Stoutenburg;G0343;10438;Utrecht;P26;592;556;23;;533;370;7;43;80;1;;18;6;;;1;1;4;;;;;;2;;;;;;;;;;;;;;;;;
Stramproy;G0973;11186;Limburg;P31;728;698;;;698;683;4;1;3;;2;;2;;;;;1;1;;;;;;;1;;;;;;;;;;;;;;;
Streefkerk;G0616;11105;Zuid-Holland;P28;949;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Strijen;G0617;10558;Zuid-Holland;P28;2439;2256;70;;2186;5;446;416;448;517;112;122;6;2;7;70;1;2;3;12;;1;3;7;6;;;;;;;;;;;;;;;;
Susteren;G0974;10457;Limburg;P31;1813;1679;43;23;1623;1397;117;2;5;;5;1;6;1;;3;4;7;11;;1;;;;;58;5;;;;;;;;;;;;;;
Swalmen;G0975;10474;Limburg;P31;1847;1677;;;1677;1559;34;3;7;2;3;3;15;5;;4;3;3;5;;;;;;;30;1;;;;;;;;;;;;;;
't Zandt;G0054;10956;Groningen;P20;1703;1612;24;;1588;4;473;459;221;148;187;6;1;13;6;42;5;;6;6;5;2;;2;2;;;;;;;;;;;;;;;;
Tegelen;G0976;11333;Limburg;P31;3441;3259;;;3259;3007;141;3;3;;4;2;20;;;2;10;14;23;;1;2;;2;;21;4;;;;;;;;;;;;;;
Ten Boer;G0009;10891;Groningen;P20;2719;2529;46;;2483;4;807;934;111;251;166;4;1;6;9;152;4;1;7;8;8;5;;3;2;;;;;;;;;;;;;;;;
Ter Aar;G0480;11104;Zuid-Holland;P28;1605;1504;25;;1479;824;17;184;308;56;6;62;2;;1;13;1;;2;;1;;;1;;;;;;;;1;;;;;;;;;
Terheijden;G0853;10905;Noord-Brabant;P30;1888;1790;;;1790;1687;33;8;28;7;;;13;1;;3;1;3;3;1;1;1;;;;;;;;;;;;;;;;;;;
Termunten;G0042;11023;Groningen;P20;1820;1649;50;;1599;1;728;359;121;112;113;8;4;64;;37;10;3;6;4;5;7;;10;7;;;;;;;;;;;;;;;;
Terneuzen;G0715;10704;Zeeland;P29;;4635;82;109;4464;715;829;617;773;689;148;409;54;44;46;21;13;17;23;30;8;12;;16;;;;;;;;;;;;;;;;;
Terschelling;G0093;11210;Noord-Holland;P27;2055;1605;;;1605;3;635;121;373;57;301;2;;;3;98;9;3;;;;;;;;;;;;;;;;;;;;;;;
Teteringen;G0854;10677;Noord-Brabant;P30;1178;1101;;;1101;996;48;10;15;7;8;2;6;;1;;;2;;3;;2;;;;;;;;1;;;;;;;;;;;
Texel;G0448;10237;Noord-Holland;P27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tholen;G0716;10376;Zeeland;P29;1620;1308;;;1308;102;110;133;338;136;74;340;5;2;17;33;;1;4;3;5;1;;4;;;;;;;;;;;;;;;;;
Thorn;G0977;11195;Limburg;P31;729;673;;;673;644;4;1;;;;;1;3;;;;1;1;;;;;;;17;1;;;;;;;;;;;;;;
Tiel;G0281;10027;Gelderland;P25;6644;5894;236;;5658;1408;1949;222;367;980;357;44;39;13;32;45;17;21;11;27;22;47;1;9;11;;;;;;;;;36;;;;;;;
Tienhoven (Ut);G1202;10035;Utrecht;P26;294;257;9;;248;9;11;131;61;;3;6;1;4;;5;;;;;15;;;;;;;;2;;;;;;;;;;;;
Tienhoven (ZH);G0618;10706;Zuid-Holland;P28;186;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tietjerksteradeel;G0094;11241;Fryslân;P21;8701;8054;207;;7847;17;1926;2486;1813;578;568;69;7;20;47;172;18;;21;;58;30;;17;;;;;;;;;;;;;;;;;
Tilburg;G0855;10792;Noord-Brabant;P30;34903;32087;;;32087;21683;2812;146;135;172;262;36;200;43;15;25;49;5153;159;72;22;43;58;13;15;37;;;;937;;;;;;;;;;;
Tubbergen;G0183;10694;Overijssel;P23;4042;3824;;;3824;3398;75;27;205;8;17;3;28;1;4;7;2;26;4;4;7;;;8;;;;;;;;;;;;;;;;;
Tull en 't Waal;G1205;11022;Utrecht;P26;225;210;11;;199;107;9;14;57;2;;4;1;;2;1;;1;;;;;;1;;;;;;;;;;;;;;;;;
Twisk;G0449;10371;Noord-Holland;P27;;421;2;3;416;2;141;7;5;140;108;1;3;;;7;;;;1;;;;;;;;;;;;;;;;1;;;;;
Ubach over Worms;G0978;10146;Limburg;P31;1572;1384;;;1384;1039;225;7;12;;;3;18;6;1;2;3;28;12;;1;3;;;5;6;13;;;;;;;;;;;;;;
Ubbergen;G0282;10408;Gelderland;P25;2382;2193;;;2193;1949;45;11;43;57;29;1;15;;10;5;3;9;;4;;1;;1;1;;;;;;;;;9;;;;;;;
Uden;G0856;11141;Noord-Brabant;P30;;3044;;;3044;2968;12;3;5;2;11;1;12;;2;;3;5;11;;;;2;5;;2;;;;;;;;;;;;;;;
Udenhout;G0857;11268;Noord-Brabant;P30;1782;1692;;;1692;1647;10;1;3;;1;;11;1;3;2;;8;1;;;1;;;;1;;;;2;;;;;;;;;;;
Uitgeest;G0450;11238;Noord-Holland;P27;1916;1760;;;1760;849;475;29;30;24;244;2;;55;4;20;13;15;;;;;;;;;;;;;;;;;;;;;;;
Uithoorn;G0451;11206;Noord-Holland;P27;1602;1530;19;24;1487;770;154;149;275;74;5;11;7;;6;;1;19;1;2;;;;1;2;;;7;;;;2;;;;1;;;;;
Uithuizen;G0043;11137;Groningen;P20;2307;2177;10;12;2155;297;625;532;307;138;193;;9;4;1;16;3;14;4;3;2;;;3;4;;;;;;;;;;;;;;;;
Uithuizermeeden;G0044;10246;Groningen;P20;2408;2288;25;;2263;15;344;825;748;96;163;9;17;5;7;21;2;;5;2;1;1;;1;1;;;;;;;;;;;;;;;;
