RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;Katholieke Volkspartij (KVP);Partij van de Arbeid (P.v.d.A.);Anti-Revolutionaire Partij;Christelijk-Historische Unie;VVD;Communistische Partij van Nederland;Staatkundig Gereformeerde Partij (SGP);Overig;Lijst Welter
Poederoijen;G1155;10135;Gelderland;P25;849;740;0;;740;2;174;208;39;18;3;291;3;2
Polsbroek;G0338;10993;Utrecht;P26;526;500;0;;500;85;40;206;85;12;4;62;6;
Poortugal;G0592;11395;Zuid-Holland;P28;1691;1435;0;;1435;109;531;323;206;148;30;63;24;1
Poortvliet;G0700;11181;Zeeland;P29;1004;920;0;;920;3;39;154;200;22;1;488;13;
Posterholt;G0956;10456;Limburg;P31;1203;1123;0;;1123;1063;20;3;;2;2;;1;32
Purmerend;G0439;11066;Noord-Holland;P27;4081;3810;0;;3810;1094;1231;201;88;447;576;7;147;19
Putte;G0833;10099;Noord-Brabant;P30;948;738;0;;738;534;110;21;4;10;24;4;12;19
Putten;G0273;11109;Gelderland;P25;5303;5606;0;;5606;163;839;976;2297;172;285;796;55;23
Puttershoek;G0593;10222;Zuid-Holland;P28;1490;1353;0;;1353;61;486;308;140;188;12;136;17;5
Raalte;G0177;10279;Overijssel;P23;6109;5840;0;;5840;4206;501;88;875;100;22;11;18;19
Raamsdonk;G0834;11391;Noord-Brabant;P30;3812;3445;0;;3445;2444;155;171;498;35;24;93;10;15
Rauwerderhem;G0087;10330;Fryslân;P21;1627;1475;0;;1475;183;747;190;108;140;47;;59;1
Ravenstein;G0835;10805;Noord-Brabant;P30;2574;2385;0;;2385;2277;43;10;9;15;5;2;4;20
Reeuwijk;G0595;10485;Zuid-Holland;P28;2783;2603;0;;2603;727;585;566;157;271;84;178;18;17
Renesse;G1159;10412;Zeeland;P29;544;662;0;;662;26;184;72;83;249;12;28;6;2
Renkum;G0274;11325;Gelderland;P25;12619;11990;0;;11990;2585;2737;2369;1791;1304;505;287;253;159
Renswoude;G0339;10269;Utrecht;P26;1182;1115;0;;1115;35;193;326;319;40;7;187;8;
Retranchement;G0701;10400;Zeeland;P29;445;417;0;;417;14;175;48;59;72;5;7;36;1
Reusel;G0836;10162;Noord-Brabant;P30;1375;1347;0;;1347;1319;12;7;6;;;1;;2
Rheden;G0275;11355;Gelderland;P25;18078;17049;0;;17049;2893;5839;2294;2934;1823;728;64;270;204
Rhenen;G0340;10309;Utrecht;P26;5441;5121;0;;5121;144;1905;910;846;254;61;946;43;12
Rhoon;G0596;10903;Zuid-Holland;P28;1606;1514;0;;1514;223;279;337;495;113;21;38;7;1
Ridderkerk;G0597;10646;Zuid-Holland;P28;10070;9333;0;;9333;89;2739;2626;1406;625;111;1690;38;9
Riethoven;G0837;10455;Noord-Brabant;P30;446;434;0;;434;427;3;;2;1;;;;1
Rietveld;G1160;10828;Zuid-Holland;P28;331;310;0;;310;66;28;74;103;10;2;22;1;4
Rijnsaterwoude;G0601;11129;Zuid-Holland;P28;413;396;0;;396;163;36;71;73;15;1;35;2;
Rijnsburg;G0602;11118;Zuid-Holland;P28;2817;2720;0;;2720;84;181;1393;978;16;2;60;2;4
Rijsbergen;G0841;10866;Noord-Brabant;P30;1544;1444;0;;1444;1301;59;27;14;4;4;2;13;20
Rijssen;G0178;10358;Overijssel;P23;6331;5707;0;;5707;645;774;1266;298;184;42;2462;20;16
Rijswijk;G0603;11133;Zuid-Holland;P28;13715;12382;0;;12382;3349;2947;2121;1062;1633;411;136;313;410
Rijswijk (NB);G0842;11016;Noord-Brabant;P30;412;375;0;;375;4;69;128;146;8;1;19;;
Rilland-Bath;G0702;10479;Zeeland;P29;1364;1270;0;;1270;143;225;149;410;86;7;204;39;7
Ritthem;G1163;10652;Zeeland;P29;317;302;0;;302;3;31;80;154;2;2;22;8;
Rockanje;G0598;10464;Zuid-Holland;P28;1970;2177;0;;2177;47;662;424;103;610;282;6;37;6
Roden;G0125;10699;Drenthe;P22;3571;3191;0;;3191;24;1429;525;382;520;213;7;78;13
Roermond;G0957;11313;Limburg;P31;11303;10543;0;;10543;8499;904;158;55;170;148;9;110;490
Roggel;G0958;10505;Limburg;P31;1221;1203;0;;1203;1193;2;1;1;;;;;6
Rolde;G0126;10470;Drenthe;P22;2085;1872;0;;1872;26;952;101;61;642;28;7;53;2
Roosendaal en Nispen;G0838;10407;Noord-Brabant;P30;16034;14689;0;;14689;11793;1741;392;165;134;172;15;74;203
Roosteren;G0959;10954;Limburg;P31;642;589;0;;589;544;24;3;2;4;1;1;2;8
Rosmalen;G0839;10970;Noord-Brabant;P30;3396;3205;0;;3205;2970;91;22;21;26;7;1;11;56
Rossum;G0276;10860;Gelderland;P25;897;808;0;;808;257;262;91;126;50;2;8;11;1
Rotterdam;G0599;10345;Zuid-Holland;P28;393492;342449;0;;342449;50518;131918;44334;22034;35738;41606;7626;6520;2155
Rozenburg;G0600;11314;Zuid-Holland;P28;1694;1601;0;;1601;11;235;542;623;153;3;24;10;
Rozendaal;G0277;10684;Gelderland;P25;803;754;0;;754;107;298;83;108;65;54;9;20;10
Rucphen;G0840;11152;Noord-Brabant;P30;4581;4218;0;;4218;3834;274;22;7;3;8;5;12;53
Ruinen;G0127;10629;Drenthe;P22;2989;2613;0;;2613;37;1027;418;288;686;55;19;79;4
Ruinerwold;G0128;10944;Drenthe;P22;1743;1600;0;;1600;9;464;395;165;538;7;;22;
Ruurlo;G0278;10879;Gelderland;P25;2802;2551;0;;2551;561;818;197;94;818;25;2;27;9
Ruwiel;G1164;10526;Utrecht;P26;341;307;0;;307;60;4;109;42;4;;88;;
Sappemeer;G1168;10080;Groningen;P20;4320;3832;0;;3832;391;1284;387;131;461;1026;4;131;17
Sas van Gent;G0704;11405;Zeeland;P29;1824;1644;0;;1644;750;504;27;60;182;29;9;36;47
Sassenheim;G0604;10612;Zuid-Holland;P28;3534;3368;0;;3368;1594;250;797;522;68;17;48;6;66
Schaesberg;G0960;11335;Limburg;P31;4206;3814;0;;3814;2911;369;51;65;8;298;3;16;93
Schagen;G0441;10511;Noord-Holland;P27;2780;2561;0;;2561;608;947;108;57;596;208;1;28;8
Schaijk;G0843;10276;Noord-Brabant;P30;1848;1762;0;;1762;1742;11;;;;1;;4;4
Schalkwijk;G1169;10378;Utrecht;P26;818;777;0;;777;643;15;42;48;2;3;8;2;14
Scheemda;G0039;10711;Groningen;P20;4180;3802;0;;3802;23;1341;732;767;378;484;3;68;6
Schellinkhout;G0442;10772;Noord-Holland;P27;349;329;0;;329;14;161;8;18;94;25;2;7;
Schelluinen;G0605;11399;Zuid-Holland;P28;282;261;0;;261;;99;47;6;44;2;62;1;
Schermerhorn;G0443;10308;Noord-Holland;P27;633;592;0;;592;217;189;105;7;21;44;3;6;
Scherpenisse;G0705;10375;Zeeland;P29;857;731;0;;731;2;146;88;72;58;4;344;15;2
Scherpenzeel;G0279;11146;Gelderland;P25;1307;1212;0;;1212;9;348;223;404;92;11;123;2;
Schiedam;G0606;11260;Zuid-Holland;P28;40301;36206;0;;36206;9366;12472;4033;3737;2756;2578;567;253;444
Schiermonnikoog;G0088;10355;Fryslân;P21;466;799;0;;799;41;232;265;87;123;11;2;37;1
Schijndel;G0844;11178;Noord-Brabant;P30;5035;4783;0;;4783;4465;190;10;18;4;29;3;12;52
Schimmert;G0961;11076;Limburg;P31;982;950;0;;950;917;12;;;1;1;;2;17
Schinnen;G0962;10132;Limburg;P31;2115;1942;0;;1942;1795;64;7;7;3;22;2;5;37
Schinveld;G0963;10492;Limburg;P31;1667;1552;0;;1552;1405;49;22;6;2;39;1;3;25
Schipluiden;G0607;10130;Zuid-Holland;P28;2264;2144;0;;2144;1205;50;386;420;14;10;23;3;33
Schoondijke;G0706;10189;Zeeland;P29;1189;1111;0;;1111;218;301;223;95;191;5;34;43;1
Schoonebeek;G0129;10064;Drenthe;P22;2194;2289;0;;2289;751;467;398;484;155;17;;9;8
Schoonhoven;G0608;10980;Zuid-Holland;P28;2808;2708;0;;2708;430;815;678;279;211;37;180;30;48
Schoonrewoerd;G0609;10214;Zuid-Holland;P28;606;555;0;;555;6;65;186;76;31;2;184;5;
Schoorl;G0444;10627;Noord-Holland;P27;1734;2404;0;;2404;503;1019;117;62;321;332;11;20;19
Serooskerke (Schouwen);G1175;11014;Zeeland;P29;155;134;0;;134;3;55;22;37;13;;1;3;
Serooskerke (Walcheren);G1176;11256;Zeeland;P29;972;1039;0;;1039;26;65;566;246;7;35;90;4;
Sevenum;G0964;10045;Limburg;P31;1852;1790;0;;1790;1766;3;;;2;3;;;16
's-Graveland;G0390;10534;Noord-Holland;P27;1012;911;0;;911;158;123;179;260;88;31;45;22;5
's-Gravendeel;G0517;10052;Zuid-Holland;P28;3022;2793;0;;2793;15;868;817;454;372;13;229;22;3
's-Gravenhage;G0518;11434;Zuid-Holland;P28;329271;289194;0;;289194;56357;87941;46478;21087;30123;24793;2776;12501;7138
's-Gravenmoer;G0787;10469;Noord-Brabant;P30;815;700;0;;700;18;34;377;192;52;7;12;7;1
's-Gravenpolder;G0666;11059;Zeeland;P29;788;741;0;;741;73;77;90;184;19;14;267;8;9
's-Gravenzande;G0519;10640;Zuid-Holland;P28;4260;4081;0;;4081;198;940;1022;1203;392;26;259;22;19
's-Heer Abtskerke;G0669;10337;Zeeland;P29;240;225;0;;225;33;24;20;105;19;1;17;6;
's-Heer Arendskerke;G0670;10875;Zeeland;P29;2606;2418;0;;2418;415;219;607;774;113;21;149;35;85
's-Heerenhoek;G0671;10721;Zeeland;P29;743;700;0;;700;605;7;12;21;3;1;;1;50
's-Hertogenbosch;G0796;10054;Noord-Brabant;P30;28544;26455;0;;26455;18725;4500;523;329;393;954;22;331;678
Sijbekarspel;G0447;11167;Noord-Holland;P27;802;774;0;;774;341;244;19;3;115;42;;8;2
Simpelveld;G0965;10515;Limburg;P31;2101;1913;0;;1913;1703;95;5;;11;41;;8;50
Sint Annaland;G0708;11200;Zeeland;P29;1626;1376;0;;1376;11;196;186;98;85;6;772;19;3
Sint Geertruid;G0966;10288;Limburg;P31;502;487;0;;487;477;3;1;2;1;;;;3
Sint Jansteen;G0709;10864;Zeeland;P29;1957;1661;0;;1661;1310;116;28;17;39;16;6;32;97
Sint Laurens;G1179;10106;Zeeland;P29;837;790;0;;790;12;66;337;218;51;3;80;22;1
Sint Maarten;G0445;10740;Noord-Holland;P27;809;743;0;;743;153;231;153;8;84;99;1;13;1
Sint Maartensdijk;G0711;10716;Zeeland;P29;1651;1427;0;;1427;2;516;156;90;79;14;553;17;
Sint Odiliënberg;G0967;10278;Limburg;P31;746;696;0;;696;647;23;1;2;;1;;1;21
Sint Pancras;G0446;10513;Noord-Holland;P27;899;833;0;;833;24;198;204;211;99;69;10;17;1
Sint Philipsland;G0712;10394;Zeeland;P29;1314;1181;0;;1181;4;93;168;167;49;3;669;28;
Sint-Michielsgestel;G0845;10496;Noord-Brabant;P30;3200;2958;0;;2958;2688;154;18;21;22;17;1;7;30
Sint-Oedenrode;G0846;10399;Noord-Brabant;P30;4405;4221;0;;4221;3977;109;3;30;13;37;;11;41
Sittard;G0968;11230;Limburg;P31;9470;8739;0;;8739;6888;964;72;41;70;223;9;72;400
Sleen;G0130;10489;Drenthe;P22;3392;3089;0;;3089;19;1185;482;404;677;281;6;32;3
Slenaken;G0969;11274;Limburg;P31;345;321;0;;321;275;9;3;4;5;2;;2;21
Sliedrecht;G0610;11331;Zuid-Holland;P28;8779;7171;0;;7171;66;2506;1177;1053;691;265;1332;65;16
Slochteren;G0040;10747;Groningen;P20;8094;7119;0;;7119;72;2468;1597;1067;1020;631;8;235;21
Sloten (F);G0089;10867;Fryslân;P21;398;409;0;;409;69;116;68;128;14;1;6;7;
Sluis;G0713;10895;Zeeland;P29;1328;1197;0;;1197;546;328;76;83;81;19;16;19;29
Smallingerland;G0090;10405;Fryslân;P21;10413;9499;0;;9499;98;3356;3354;969;476;1065;7;168;6
Smilde;G0131;11033;Drenthe;P22;3547;3192;0;;3192;10;952;1017;886;209;72;11;29;6
Sneek;G0091;11421;Fryslân;P21;10721;9919;0;;9919;1344;3190;2111;1596;768;700;26;162;22
Snelrewaard;G0341;10802;Utrecht;P26;311;295;0;;295;156;6;42;37;9;;44;;1
Soest;G0342;11021;Utrecht;P26;12600;11886;0;;11886;3297;2454;2444;865;1374;602;261;285;304
Someren;G0847;10203;Noord-Brabant;P30;3732;3567;0;;3567;3415;61;7;51;1;8;2;4;18
Sommelsdijk;G1184;11097;Zuid-Holland;P28;2257;2047;0;;2047;30;621;603;67;229;19;468;8;2
Son en Breugel;G0848;10549;Noord-Brabant;P30;1925;1850;0;;1850;1742;50;15;12;1;12;1;8;9
Spanbroek;G1186;10063;Noord-Holland;P27;1049;997;0;;997;804;137;3;2;35;12;;;4
Spaubeek;G0970;10552;Limburg;P31;837;788;0;;788;710;55;3;1;;7;1;5;6
Spijkenisse;G0612;10735;Zuid-Holland;P28;1553;1442;0;;1442;9;524;321;266;197;51;70;4;
Sprang-Capelle;G0849;11233;Noord-Brabant;P30;3283;2978;0;;2978;141;407;1065;701;89;26;511;32;6
Stad aan 't Haringvliet;G1188;11239;Zuid-Holland;P28;762;694;0;;694;4;116;230;60;123;2;158;1;
Stad Delden;G0179;10913;Overijssel;P23;2059;1978;0;;1978;1132;384;134;96;152;23;1;6;50
Standdaarbuiten;G0850;11212;Noord-Brabant;P30;994;950;0;;950;878;13;15;26;1;;1;;16
Staphorst;G0180;11362;Overijssel;P23;4643;4294;0;;4294;32;485;1584;486;387;17;1264;32;7
Stavenisse;G0714;10619;Zeeland;P29;1099;794;0;;794;3;118;100;54;54;1;457;7;
Stavoren;G0092;10240;Fryslân;P21;705;611;0;;611;8;130;184;221;24;26;2;15;1
Stedum;G0041;10771;Groningen;P20;1411;1328;0;;1328;3;279;556;314;113;34;2;27;
Steenbergen;G0851;10731;Noord-Brabant;P30;5705;5250;0;;5250;4461;350;100;89;92;49;36;39;34
Steenderen;G0280;10497;Gelderland;P25;2220;2068;0;;2068;915;277;345;311;193;7;6;4;10
Steenwijk;G0181;10546;Overijssel;P23;4979;4531;0;;4531;224;1984;756;844;451;204;25;33;10
Steenwijkerwold;G0182;11347;Overijssel;P23;4107;3803;0;;3803;629;1234;453;1077;251;102;25;29;3
Stein;G0971;11319;Limburg;P31;2645;2484;0;;2484;2156;129;29;31;;85;3;7;44
Stellendam;G1195;10087;Zuid-Holland;P28;1118;1020;0;;1020;9;223;436;123;65;15;145;;4
Stevensweert;G0972;11203;Limburg;P31;698;673;0;;673;598;36;1;8;2;3;3;7;15
Stiphout;G1196;11386;Noord-Brabant;P30;750;722;0;;722;683;26;1;;;4;;6;2
Stolwijk;G0615;11250;Zuid-Holland;P28;1658;1483;0;;1483;12;519;289;45;331;23;218;46;
Stoutenburg;G0343;10438;Utrecht;P26;869;824;0;;824;535;41;59;95;2;7;74;1;10
Stramproy;G0973;11186;Limburg;P31;894;842;0;;842;807;12;2;7;;1;1;1;11
Streefkerk;G0616;11105;Zuid-Holland;P28;1070;989;0;;989;;241;248;170;109;9;208;4;
Strijen;G0617;10558;Zuid-Holland;P28;3039;2798;0;;2798;11;969;583;491;483;19;220;22;
Susteren;G0974;10457;Limburg;P31;2519;2374;0;;2374;2071;210;18;5;6;24;7;1;32
Swalmen;G0975;10474;Limburg;P31;2876;2679;0;;2679;2512;56;13;5;8;7;;9;69
't Zandt;G0054;10956;Groningen;P20;1974;1835;0;;1835;8;639;511;290;279;32;4;70;2
Tegelen;G0976;11333;Limburg;P31;6496;6136;0;;6136;5684;148;19;4;15;77;2;11;176
Ten Boer;G0009;10891;Groningen;P20;3194;2967;0;;2967;7;824;1227;265;436;137;7;57;7
Ter Aar;G0480;11104;Zuid-Holland;P28;2131;2036;0;;2036;1203;40;276;383;35;6;75;2;16
Terheijden;G0853;10905;Noord-Brabant;P30;2463;2351;0;;2351;2097;159;13;36;12;8;3;2;21
Termunten;G0042;11023;Groningen;P20;2832;2226;0;;2226;12;665;612;222;261;387;3;62;2
Terneuzen;G0715;10704;Zeeland;P29;7472;6767;0;;6767;1127;2090;871;1117;558;137;595;126;146
Terschelling;G0093;11210;Fryslân;P21;2362;2691;0;;2691;52;1273;294;431;467;117;3;46;8
Teteringen;G0854;10677;Noord-Brabant;P30;1038;988;0;;988;888;42;12;8;11;4;;5;18
Texel;G0448;10237;Noord-Holland;P27;5441;6258;0;;6258;1327;2452;748;387;925;313;16;60;30
Tholen;G0716;10376;Zeeland;P29;2000;1774;0;;1774;132;228;273;426;138;7;520;43;7
Thorn;G0977;11195;Limburg;P31;1007;945;0;;945;914;11;1;;2;2;;2;13
Tiel;G0281;10027;Gelderland;P25;8238;7793;0;;7793;2031;3638;496;476;773;235;37;69;38
Tienhoven (Ut);G1202;10035;Utrecht;P26;344;345;0;;345;7;33;156;123;7;2;16;1;
Tienhoven (ZH);G0618;10706;Zuid-Holland;P28;211;191;0;;191;;29;104;16;14;2;25;1;
Tietjerksteradeel;G0094;11241;Fryslân;P21;10483;9708;0;;9708;78;2849;3289;2178;709;277;105;213;10
Tilburg;G0855;10792;Noord-Brabant;P30;60638;55217;0;;55217;41537;6824;779;400;661;2149;83;312;2472
Tubbergen;G0183;10694;Overijssel;P23;5956;5728;0;;5728;5144;166;33;318;35;14;6;3;9
Tull en 't Waal;G1205;11022;Utrecht;P26;252;245;0;;245;133;19;20;55;5;;8;1;4
Twisk;G0449;10371;Noord-Holland;P27;491;468;0;;468;11;265;43;15;107;21;2;3;1
Ubach over Worms;G0978;10146;Limburg;P31;3444;3033;0;;3033;2232;263;43;38;10;371;5;23;48
Ubbergen;G0282;10408;Gelderland;P25;3051;2973;0;;2973;2603;118;39;50;74;15;2;8;64
Uden;G0856;11141;Noord-Brabant;P30;4735;4602;0;;4602;4368;97;32;18;17;17;4;14;35
Udenhout;G0857;11268;Noord-Brabant;P30;2268;2128;0;;2128;2017;73;4;1;3;4;;8;18
Uitgeest;G0450;11238;Noord-Holland;P27;2495;2372;0;;2372;1266;499;46;22;105;414;1;14;5
Uithoorn;G0451;11206;Noord-Holland;P27;2456;2352;0;;2352;1386;235;204;371;53;44;18;11;30
Uithuizen;G0043;11137;Groningen;P20;2714;2535;0;;2535;342;612;642;338;283;253;;59;6
Uithuizermeeden;G0044;10246;Groningen;P20;3073;2924;0;;2924;16;634;1111;816;231;52;6;51;7
Ulestraten;G0979;11220;Limburg;P31;603;586;0;;586;552;5;1;;6;1;;;21
Ulrum;G0045;10180;Groningen;P20;2394;2194;0;;2194;4;463;1223;210;173;87;3;27;4
Urk;G0184;10783;Noord-Holland;P27;2232;2203;0;;2203;15;77;1428;210;14;58;399;2;
Urmond;G0980;10700;Limburg;P31;1375;1243;0;;1243;1098;80;8;11;8;9;2;9;18
Ursem;G0452;10696;Noord-Holland;P27;753;726;0;;726;557;97;8;5;22;31;1;5;
Usquert;G0046;11035;Groningen;P20;1131;1055;0;;1055;22;673;55;66;158;48;;26;7
Utingeradeel;G0095;10140;Fryslân;P21;3187;2930;0;;2930;36;1404;330;443;334;210;35;136;2
Utrecht;G0344;10722;Utrecht;P26;109085;96969;0;;96969;26811;29562;13562;6311;7081;7412;1190;2725;2315
Vaals;G0981;10007;Limburg;P31;4668;4134;0;;4134;3183;144;41;38;20;543;7;24;134
Valburg;G0283;11071;Gelderland;P25;3925;3652;0;;3652;1323;531;611;644;141;35;337;18;12
Valkenburg (ZH);G0619;10028;Zuid-Holland;P28;615;818;0;;818;71;120;216;305;43;6;32;14;11
Valkenburg-Houthem;G0982;11077;Limburg;P31;5159;6175;0;;6175;4308;557;220;134;400;174;9;67;306
Valkenswaard;G0858;11031;Noord-Brabant;P30;6325;6045;0;;6045;5041;595;72;57;70;43;3;37;127
Varik;G0284;11064;Gelderland;P25;709;646;0;;646;138;202;67;160;38;3;28;9;1
Veen;G0859;10015;Noord-Brabant;P30;598;495;0;;495;3;52;117;106;7;2;201;4;3
Veendam;G0047;11292;Groningen;P20;8583;7806;0;;7806;527;3719;936;563;1039;816;9;174;23
Veenendaal;G0345;11052;Utrecht;P26;7144;6693;0;;6693;208;1590;2285;1552;169;88;766;31;4
Veere;G0717;10369;Zeeland;P29;661;659;0;;659;30;141;213;137;58;3;56;20;1
Veghel;G0860;10985;Noord-Brabant;P30;5080;4910;0;;4910;4636;95;36;32;12;27;6;5;61
Veldhoven;G0861;10071;Noord-Brabant;P30;4572;4421;0;;4421;4102;150;39;43;26;22;7;7;25
Veldhuizen;G1207;10713;Utrecht;P26;453;431;0;;431;245;38;37;75;7;3;9;5;12
Velsen;G0453;10620;Noord-Holland;P27;23703;21857;0;;21857;5047;6926;2572;1845;1537;3363;158;282;127
Venhuizen;G0454;10433;Noord-Holland;P27;1815;1726;0;;1726;864;563;31;20;168;63;3;10;4
Venlo;G0983;10477;Limburg;P31;22104;20918;0;;20918;17096;1793;238;154;185;573;15;75;789
Venray;G0984;11222;Limburg;P31;7002;6771;0;;6771;6471;103;14;11;22;41;3;10;96
Vessem, Wintelre en Knegsel;G0862;11414;Noord-Brabant;P30;885;866;0;;866;844;7;7;;2;;;;6
Vianen;G0620;10887;Zuid-Holland;P28;2213;2022;0;;2022;451;576;284;305;172;27;148;41;18
Vierlingsbeek;G0863;10066;Noord-Brabant;P30;2576;2508;0;;2508;2416;41;4;18;2;8;;6;13
Vierpolders;G0621;11056;Zuid-Holland;P28;571;530;0;;530;2;185;60;47;170;60;2;3;1
Vinkeveen en Waverveen;G0346;11048;Utrecht;P26;2587;2385;0;;2385;1329;74;332;321;45;13;204;19;48
Vlaardingen;G0622;10811;Zuid-Holland;P28;24761;22381;0;;22381;2131;8524;3999;4341;1247;923;974;139;103
Vlagtwedde;G0048;11249;Groningen;P20;8745;7721;0;;7721;1235;2399;1103;1551;613;659;9;137;15
Vledder;G0132;11120;Drenthe;P22;1515;1355;0;;1355;82;635;164;130;176;122;9;36;1
Vleuten;G1211;10658;Utrecht;P26;2098;1988;0;;1988;999;183;251;428;47;22;31;12;15
Vlieland;G0096;10211;Fryslân;P21;427;816;0;;816;48;396;117;62;144;30;;13;6
Vlijmen;G0864;11293;Noord-Brabant;P30;3985;3704;0;;3704;3433;113;25;25;11;26;2;14;55
Vlissingen;G0718;10270;Zeeland;P29;12574;12116;0;;12116;1514;5168;1720;1464;926;678;216;336;94
Vlist;G0623;11174;Zuid-Holland;P28;275;255;0;;255;47;37;74;27;19;;48;;3
Vlodrop;G0985;10644;Limburg;P31;795;751;0;;751;705;25;5;;1;5;;2;8
Voerendaal;G0986;11341;Limburg;P31;2383;2242;0;;2242;2043;98;6;2;14;29;;11;39
Vogelwaarde;G0719;10100;Zeeland;P29;2231;2035;0;;2035;1875;45;29;42;7;2;7;9;19
Vollenhove;G0185;11088;Overijssel;P23;2694;2729;0;;2729;242;493;912;863;108;41;52;14;4
Voorburg;G0624;11103;Zuid-Holland;P28;20807;18784;0;;18784;5141;4093;3295;1291;3201;481;83;567;632
Voorhout;G0625;10017;Zuid-Holland;P28;1782;1734;0;;1734;1373;42;57;172;7;2;2;1;78
Voorschoten;G0626;10537;Zuid-Holland;P28;4740;4365;0;;4365;1393;732;833;790;344;45;95;63;70
Voorst;G0285;10912;Gelderland;P25;9410;8697;0;;8697;2271;2151;500;1328;1606;635;127;50;29
Vorden;G0286;10957;Gelderland;P25;3133;2956;0;;2956;453;743;532;681;439;41;35;14;18
Vreeland;G1213;10898;Utrecht;P26;575;535;0;;535;45;105;122;120;71;15;44;5;8
Vreeswijk;G0348;10441;Utrecht;P26;1779;1565;0;;1565;615;347;224;244;22;11;69;18;15
Vries;G0133;10630;Drenthe;P22;3517;3108;0;;3108;30;1317;310;156;815;321;15;131;13
Vriezenveen;G0186;10643;Overijssel;P23;5635;5040;0;;5040;330;963;625;2343;193;132;432;17;5
Vrouwenpolder;G1214;10635;Zeeland;P29;592;582;0;;582;4;18;373;116;9;4;48;5;5
Vught;G0865;11224;Noord-Brabant;P30;8211;7751;0;;7751;6167;692;162;104;247;80;9;53;237
Vuren;G0287;11376;Gelderland;P25;1080;996;0;;996;8;409;242;223;73;8;32;1;
Waalre;G0866;10959;Noord-Brabant;P30;3208;2942;0;;2942;2376;277;39;36;103;44;3;24;40
Waalwijk;G0867;11359;Noord-Brabant;P30;6740;6380;0;;6380;4895;411;248;506;76;49;43;46;106
Waarde;G0721;10082;Zeeland;P29;599;527;0;;527;2;48;46;137;33;3;233;24;1
Waardenburg;G0288;10238;Gelderland;P25;969;875;0;;875;11;314;46;207;42;3;243;6;3
Waarder;G1217;10830;Zuid-Holland;P28;516;471;0;;471;23;26;204;112;6;1;97;;2
Waddinxveen;G0627;10081;Zuid-Holland;P28;4424;4226;0;;4226;564;978;889;710;245;81;725;22;12
Wadenoijen;G1218;10201;Gelderland;P25;1357;1267;0;;1267;162;470;94;226;182;8;101;10;14
Wageningen;G0289;11010;Gelderland;P25;10089;9394;0;;9394;1462;2960;1282;1479;951;593;381;141;145
Wamel;G0290;10042;Gelderland;P25;3571;3397;0;;3397;3000;137;25;150;12;19;8;9;37
Wanneperveen;G0187;10105;Overijssel;P23;970;900;0;;900;6;228;142;415;75;8;17;9;
Wanroij;G0868;10265;Noord-Brabant;P30;1461;1413;0;;1413;1400;6;1;;1;;;1;4
Wanssum;G0987;10991;Limburg;P31;533;512;0;;512;504;5;1;;1;;;;1
Warder;G0455;11073;Noord-Holland;P27;325;299;0;;299;8;122;10;8;103;38;;10;
Warffum;G0049;10498;Groningen;P20;1512;1413;0;;1413;9;639;426;88;206;19;2;24;
Warmenhuizen;G0456;10221;Noord-Holland;P27;1280;1241;0;;1241;815;165;91;3;58;103;1;1;4
Warmond;G0628;10204;Zuid-Holland;P28;1772;1767;0;;1767;1121;215;98;153;105;9;17;14;35
Warnsveld;G0291;10838;Gelderland;P25;3264;2554;0;;2554;308;805;411;538;405;54;6;21;6
Waspik;G0869;10402;Noord-Brabant;P30;1764;1646;0;;1646;1312;33;93;135;9;8;34;4;18
Wassenaar;G0629;10164;Zuid-Holland;P28;13648;12202;0;;12202;3499;1682;2110;1228;2398;170;107;319;689
Wateringen;G0630;11329;Zuid-Holland;P28;2881;2808;0;;2808;1987;108;207;359;43;11;9;6;78
Waterlandkerkje;G0722;10352;Zeeland;P29;317;296;0;;296;104;55;25;43;29;2;27;9;2
Wedde;G1220;10247;Groningen;P20;2189;2040;0;;2040;17;913;174;220;303;359;5;44;5
Weerselo;G0188;10893;Overijssel;P23;3903;3794;0;;3794;3583;59;19;72;25;14;13;3;6
Weert;G0988;11081;Limburg;P31;9468;9026;0;;9026;8187;322;61;39;43;66;5;29;274
Weesp;G0457;10773;Noord-Holland;P27;4562;4264;0;;4264;838;1400;638;714;168;355;53;54;44
Weesperkarspel;G1221;10377;Noord-Holland;P27;2003;1850;0;;1850;569;296;313;454;41;88;45;25;19
Wehl;G0292;11116;Gelderland;P25;1881;1751;0;;1751;1582;63;15;57;8;6;1;2;17
Wemeldinge;G0723;11145;Zeeland;P29;1501;1355;0;;1355;17;245;310;456;185;10;110;19;3
Werkendam;G0870;10078;Noord-Brabant;P30;2123;1736;0;;1736;22;486;459;373;69;25;299;2;1
Werkhoven;G1223;11299;Utrecht;P26;568;555;0;;555;379;23;65;39;5;3;40;;1
Wervershoof;G0459;11270;Noord-Holland;P27;1962;1893;0;;1893;1770;59;14;3;10;18;2;1;16
Wessem;G0989;10127;Limburg;P31;703;650;0;;650;613;21;1;2;5;1;;;7
Westbroek;G1224;10145;Utrecht;P26;693;640;0;;640;75;110;175;188;9;7;66;10;
