RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;Katholieke Volkspartij (KVP);Partij van de Arbeid (P.v.d.A.);Anti-Revolutionaire Partij;Christelijk-Historische Unie;VVD;Communistische Partij van Nederland;Staatkundig Gereformeerde Partij (SGP);Overig;Lijst Welter
Barsingerhorn;G0369;10973;Noord-Holland;P27;1247;1096;0;;1096;56;441;56;52;214;255;2;20;
Barwoutswaarder;G1017;10447;Zuid-Holland;P28;430;401;0;;401;72;25;95;155;4;2;39;1;8
Batenburg;G0204;10921;Gelderland;P25;299;266;0;;266;202;7;6;38;11;;;;2
Bathmen;G0144;11030;Overijssel;P23;1323;1231;0;;1231;36;377;71;248;459;20;5;10;5
Bedum;G0005;10425;Groningen;P20;3837;3606;0;;3606;168;819;2014;136;403;22;2;41;1
Beegden;G0887;11089;Limburg;P31;540;532;0;;532;525;4;1;1;;1;;;
Beek;G0888;11374;Limburg;P31;3740;3508;0;;3508;2972;272;27;18;27;35;6;13;138
Beek;G1247;11354;Noord-Brabant;P30;2005;1899;0;;1899;1754;108;4;2;6;2;;4;19
Beek en Donk;G0746;10173;Noord-Brabant;P30;1881;1773;0;;1773;1723;27;2;8;5;2;1;2;3
Beemster;G0370;10816;Noord-Holland;P27;3497;3264;0;;3264;895;1214;199;77;560;278;10;26;5
Beers;G0747;11410;Noord-Brabant;P30;1066;1023;0;;1023;1006;7;1;;1;;;3;5
Beerta;G0006;11043;Groningen;P20;2266;1986;0;;1986;18;444;70;94;303;997;6;50;4
Beesd;G0205;10259;Gelderland;P25;1577;1488;0;;1488;627;294;136;243;56;14;96;11;11
Beesel;G0889;10195;Limburg;P31;2762;2700;0;;2700;2574;41;3;4;;20;;3;55
Beets;G0371;10536;Noord-Holland;P27;311;286;0;;286;2;153;9;12;80;18;1;11;
Beilen;G0107;10520;Drenthe;P22;5677;4753;0;;4753;49;1735;1267;1025;542;89;18;27;1
Belfeld;G0890;10292;Limburg;P31;1223;1192;0;;1192;1116;29;4;;1;9;;4;29
Bellingwolde;G1019;10340;Groningen;P20;3813;3371;0;;3371;21;1681;247;269;367;677;2;105;2
Bemelen;G0891;10878;Limburg;P31;159;174;0;;174;138;8;4;2;13;2;;1;6
Bemmel;G0206;10744;Gelderland;P25;4423;4099;0;;4099;3467;168;59;266;39;25;9;30;36
Bennebroek;G0372;10734;Noord-Holland;P27;1616;1454;0;;1454;543;197;309;132;141;23;4;33;72
Benschop;G0309;11330;Utrecht;P26;1162;1087;0;;1087;321;94;241;192;61;6;164;;8
Benthuizen;G0490;10398;Zuid-Holland;P28;637;609;0;;609;14;76;81;93;31;2;312;;
Berg en Terblijt;G0892;10796;Limburg;P31;1113;1163;0;;1163;1025;51;8;7;35;16;1;3;17
Bergambacht;G0491;10962;Zuid-Holland;P28;2179;1966;0;;1966;9;609;480;104;226;80;430;28;
Bergen;G0373;11424;Noord-Holland;P27;4675;5450;0;;5450;1793;1643;424;183;959;292;3;73;80
Bergen;G0893;11281;Limburg;P31;4083;3925;0;;3925;3781;54;15;7;4;11;2;2;49
Bergen op Zoom;G0748;11037;Noord-Brabant;P30;15147;13854;0;;13854;9593;2255;771;230;464;212;40;102;187
Bergeyk;G0749;11160;Noord-Brabant;P30;1974;1872;0;;1872;1732;52;10;43;5;9;2;9;10
Bergh;G0207;10350;Gelderland;P25;6479;6039;0;;6039;5301;417;68;64;105;29;12;21;22
Bergharen;G0208;10883;Gelderland;P25;980;928;0;;928;766;27;13;102;11;4;;2;3
Berghem;G0750;10733;Noord-Brabant;P30;1475;1345;0;;1345;1230;75;5;2;5;13;;6;9
Bergschenhoek;G0492;10445;Zuid-Holland;P28;1707;1594;0;;1594;382;209;244;553;71;31;82;16;6
Berkel en Rodenrijs;G0493;10139;Zuid-Holland;P28;2714;2494;0;;2494;1234;86;460;617;33;9;39;1;15
Berkel-Enschot;G0751;11132;Noord-Brabant;P30;1493;1414;0;;1414;1329;47;10;;2;3;;1;22
Berkenwoude;G0494;10797;Zuid-Holland;P28;521;482;0;;482;2;91;89;6;184;;110;;
Berkhout;G0374;10354;Noord-Holland;P27;1785;1697;0;;1697;888;539;37;33;122;61;4;10;3
Berlicum;G0752;10362;Noord-Brabant;P30;2200;2008;0;;2008;1880;65;6;15;7;10;2;11;12
Best;G0753;10442;Noord-Brabant;P30;3128;2983;0;;2983;2669;201;13;15;16;28;;13;28
Beuningen;G0209;10417;Gelderland;P25;1982;1865;0;;1865;1652;66;13;88;9;4;2;6;25
Beusichem;G0210;11182;Gelderland;P25;1018;920;0;;920;52;376;133;86;136;14;77;43;3
Beverwijk;G0375;10272;Noord-Holland;P27;14424;13811;0;;13811;6021;3235;898;582;774;2038;21;140;102
Bierum;G0008;11294;Groningen;P20;2570;2357;0;;2357;9;375;931;740;221;49;6;21;5
Biervliet;G0652;10257;Zeeland;P29;1253;1157;0;;1157;342;381;57;157;100;22;40;37;21
Biggekerke;G1022;11364;Zeeland;P29;489;533;0;;533;19;59;180;168;13;13;73;8;
Bingelrade;G0894;10967;Limburg;P31;335;316;0;;316;306;3;1;;;1;;;5
Bladel en Netersel;G0754;11006;Noord-Brabant;P30;1608;1567;0;;1567;1474;18;8;48;3;1;2;3;10
Blankenham;G0145;10320;Overijssel;P23;298;279;0;;279;23;78;11;84;77;2;;4;
Blaricum;G0376;10493;Noord-Holland;P27;2818;2507;0;;2507;871;490;256;126;453;191;8;56;56
Bleiswijk;G0495;10994;Zuid-Holland;P28;1449;1364;0;;1364;410;160;259;297;126;4;95;6;7
Bleskensgraaf en Hofwegen;G0496;10451;Zuid-Holland;P28;694;612;0;;612;2;93;202;27;44;;242;2;
Bloemendaal;G0377;10850;Noord-Holland;P27;12505;10248;0;;10248;2259;1990;1557;690;2579;265;27;387;494
