RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;Partij van de Arbeid (P.v.d.A.);Katholieke Volkspartij (KVP);Anti-Revolutionaire Partij;VVD;Christelijk-Historische Unie;Communistische Partij van Nederland;Staatkundig Gereformeerde Partij (SGP);Gereformeerd Politiek Verbond (GPV);Nationale Unie (Algemeen Christelijk);Nederlandse Oppositie Unie
Geertruidenberg;G0779;10101;Noord-Brabant;P30;2384;2257;53;;2204;339;1643;56;49;83;9;7;1;6;11
Geervliet;G0509;10842;Zuid-Holland;P28;704;681;7;;674;323;3;76;109;104;13;43;;1;2
Geffen;G0780;10370;Noord-Brabant;P30;1306;1294;14;;1280;80;1193;2;4;;1;;;;
Geldermalsen;G0236;10881;Gelderland;P25;3556;3393;54;;3339;1678;87;266;260;654;22;352;6;3;11
Geldrop;G0781;10529;Noord-Brabant;P30;8476;8252;174;;8078;1838;5590;194;226;123;52;10;5;13;27
Geleen;G0906;10048;Limburg;P31;12895;12713;252;;12461;2987;8577;353;198;115;157;16;6;13;39
Gemert;G0782;10277;Noord-Brabant;P30;5420;5278;95;;5183;414;4585;70;28;32;20;2;;22;10
Gendringen;G0237;10260;Gelderland;P25;7017;6923;43;;6880;618;5520;229;75;414;11;5;3;3;2
Gendt;G0238;10440;Gelderland;P25;2330;2289;9;;2280;58;2116;14;5;77;;9;;;1
Genemuiden;G0154;10746;Overijssel;P23;2364;2123;11;;2112;517;4;461;55;383;;668;23;;1
Gennep;G0907;10542;Limburg;P31;2399;2334;31;;2303;278;1933;17;29;21;4;2;;15;4
Geulle;G0908;10530;Limburg;P31;1087;1050;32;;1018;81;920;5;4;;4;;;3;1
Giessen;G0783;10193;Noord-Brabant;P30;359;317;4;;313;35;;81;14;136;;27;20;;
Giessendam;G1063;10606;Zuid-Holland;P28;2804;2455;40;;2415;520;4;577;250;290;54;609;107;4;
Giessen-Nieuwkerk;G1062;10255;Zuid-Holland;P28;706;688;9;;679;164;;287;72;89;2;63;1;;1
Gieten;G0116;10506;Drenthe;P22;2454;2379;76;;2303;1385;31;96;503;231;32;;5;;20
Giethoorn;G0155;10708;Overijssel;P23;1560;1496;30;;1466;821;17;89;189;209;111;6;22;;2
Gilze en Rijen;G0784;11375;Noord-Brabant;P30;6803;6766;85;;6681;448;5884;101;124;60;13;8;1;21;21
Goedereede;G0511;10981;Zuid-Holland;P28;760;647;17;;630;232;2;182;72;25;3;114;;;
Goes;G0664;10674;Zeeland;P29;8279;7894;121;;7773;2766;1254;989;723;1556;22;368;46;37;12
Goirle;G0785;10971;Noord-Brabant;P30;4112;4025;82;;3943;308;3537;22;39;12;10;2;;7;6
Goor;G0156;10076;Overijssel;P23;3857;3772;55;;3717;2045;945;121;260;171;135;11;13;2;14
Gorinchem;G0512;10942;Zuid-Holland;P28;11078;10512;216;;10296;5261;1133;1427;1218;673;247;261;40;21;15
Gorssel;G0239;10085;Gelderland;P25;6692;6379;93;;6286;2317;373;823;1122;1404;83;16;4;30;114
Gouda;G0513;10302;Zuid-Holland;P28;24358;23550;527;;23023;9188;5059;2549;2396;1583;1116;895;140;72;25
Gouderak;G0514;11258;Zuid-Holland;P28;1194;1119;18;;1101;395;21;249;191;49;9;185;;1;1
Goudriaan;G0515;10450;Zuid-Holland;P28;373;358;2;;356;43;;179;55;15;;59;;2;3
Goudswaard;G0516;10914;Zuid-Holland;P28;811;735;6;;729;157;4;111;86;47;1;316;1;4;2
Graauw en Langendam;G0665;10312;Zeeland;P29;970;908;29;;879;82;779;10;2;1;;;;1;4
Graft;G0389;10484;Noord-Holland;P27;678;659;7;;652;307;212;10;67;15;38;1;;1;1
Gramsbergen;G0157;11339;Overijssel;P23;2777;2715;30;;2685;927;63;740;169;735;4;6;37;2;2
Grathem;G0909;11008;Limburg;P31;970;982;4;;978;16;956;;2;2;;;;1;1
Grave;G0786;10165;Noord-Brabant;P30;2905;2572;31;;2541;220;2182;54;42;20;4;3;2;3;11
Grevenbicht;G0910;10624;Limburg;P31;1365;1261;21;;1240;213;969;2;6;28;5;;1;9;7
Grijpskerk;G0016;10244;Groningen;P20;2060;2020;18;;2002;328;15;1143;234;153;5;9;107;1;7
Grijpskerke;G1067;10801;Zeeland;P29;484;459;4;;455;29;3;268;4;100;;45;6;;
Groede;G0667;11312;Zeeland;P29;1330;1248;27;;1221;523;196;55;305;125;5;6;2;;4
Groenlo;G0240;11094;Gelderland;P25;3067;3021;46;;2975;412;2401;25;56;61;6;;;3;11
Groesbeek;G0241;10616;Gelderland;P25;6618;6667;232;;6435;941;5099;69;114;126;41;3;1;28;13
Groningen;G0014;10426;Groningen;P20;85429;79597;2105;;77492;33332;6996;8869;10736;6353;6906;208;3403;286;403
Gronsveld;G0911;10323;Limburg;P31;1294;1311;11;;1300;37;1255;1;3;;2;;;;2
Groot-Ammers;G0520;11205;Zuid-Holland;P28;1046;973;14;;959;205;9;300;182;38;5;208;8;2;2
Grootebroek;G0391;11337;Noord-Holland;P27;2532;2505;14;;2491;187;2223;6;35;4;30;1;;;5
Grootegast;G0015;11080;Groningen;P20;4529;4373;57;;4316;991;30;2361;233;462;47;7;177;2;6
Grubbenvorst;G0912;10176;Limburg;P31;1742;1732;11;;1721;41;1675;;3;1;;;;;1
Gulpen;G0913;11032;Limburg;P31;1946;1992;36;;1956;281;1611;4;26;15;10;;1;7;1
Haaften;G0242;10125;Gelderland;P25;1678;1602;27;;1575;763;8;183;37;385;2;189;4;1;3
Haaksbergen;G0158;11435;Overijssel;P23;6759;6660;70;;6590;1272;4597;74;511;68;49;2;4;9;4
Haamstede;G1068;10701;Zeeland;P29;1097;1032;15;;1017;321;27;189;199;198;4;71;5;3;
Haaren;G0788;11155;Noord-Brabant;P30;1499;1474;9;;1465;42;1419;;4;;;;;;
Haarlem;G0392;10357;Noord-Holland;P27;100081;95023;2421;;92602;37442;25224;6442;10674;4130;6882;426;256;754;372
Haarlemmerliede en Spaarnwoude;G0393;10508;Noord-Holland;P27;2236;2150;29;;2121;362;1147;167;219;108;90;17;3;1;7
Haarlemmermeer;G0394;11387;Noord-Holland;P27;21992;20983;373;;20610;5926;4965;3728;1423;2957;929;391;190;74;27
Haastrecht;G0521;11049;Zuid-Holland;P28;1425;1388;20;;1368;330;557;162;185;62;5;62;4;1;
Haelen;G0914;10321;Limburg;P31;1733;1683;15;;1668;81;1569;3;3;3;4;;;2;3
Hagestein;G0522;10297;Zuid-Holland;P28;522;498;5;;493;52;181;34;39;93;;94;;;
Halsteren;G0789;10387;Noord-Brabant;P30;4365;4225;143;;4082;679;3104;116;67;64;22;4;4;9;13
Haps;G0790;11283;Noord-Brabant;P30;1004;1003;5;;998;15;981;;1;1;;;;;
Hardenberg;G0160;10174;Overijssel;P23;10871;10557;93;;10464;2469;1158;2941;552;2216;35;30;1041;5;17
Harderwijk;G0243;10786;Gelderland;P25;8021;7873;89;;7784;1787;523;1681;542;2471;53;640;51;23;13
