RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;Partij van de Arbeid (P.v.d.A.);Katholieke Volkspartij (KVP);Anti-Revolutionaire Partij;VVD;Christelijk-Historische Unie;Communistische Partij van Nederland;Staatkundig Gereformeerde Partij (SGP);Gereformeerd Politiek Verbond (GPV);Nationale Unie (Algemeen Christelijk);Nederlandse Oppositie Unie
Terheijden;G0853;10905;Noord-Brabant;P30;2697;2642;32;;2610;183;2373;11;13;26;2;;;;2
Termunten;G0042;11023;Groningen;P20;2875;2452;78;;2374;971;16;638;245;169;295;7;10;8;15
Terneuzen;G0715;10704;Zeeland;P29;8506;7868;132;;7736;2869;1740;672;561;1131;37;584;115;15;12
Terschelling;G0093;11210;Fryslân;P21;2317;2515;36;;2479;1301;48;242;413;397;43;5;11;10;9
Teteringen;G0854;10677;Noord-Brabant;P30;1192;1179;20;;1159;85;1052;5;11;1;1;;1;1;2
Texel;G0448;10237;Noord-Holland;P27;5756;6109;64;;6045;2585;1386;660;850;426;91;21;14;4;8
Tholen;G0716;10376;Zeeland;P29;1969;1813;24;;1789;380;130;225;160;397;4;482;3;5;3
Thorn;G0977;11195;Limburg;P31;1122;1111;17;;1094;50;1038;2;2;;1;;;;1
Tiel;G0281;10027;Gelderland;P25;9094;8887;121;;8766;4568;2345;345;792;521;107;23;10;30;25
Tienhoven (Ut);G1202;10035;Utrecht;P26;377;379;5;;374;40;13;154;14;127;5;19;1;1;
Tienhoven (ZH);G0618;10706;Zuid-Holland;P28;246;241;5;;236;53;1;131;14;18;;17;2;;
Tietjerksteradeel;G0094;11241;Fryslân;P21;10748;10365;107;;10258;3624;73;3280;723;2099;124;129;107;9;90
Tilburg;G0855;10792;Noord-Brabant;P30;68285;66697;1410;;65287;16003;46182;926;743;396;598;65;36;181;157
Tubbergen;G0183;10694;Overijssel;P23;6970;6868;33;;6835;256;6170;24;17;352;3;5;1;4;3
Tudderen;G1204;10794;Limburg;P31;585;555;33;;522;79;425;5;7;4;1;;;1;
Tull en 't Waal;G1205;11022;Utrecht;P26;265;276;4;;272;46;135;21;4;54;;12;;;
Twisk;G0449;10371;Noord-Holland;P27;476;469;2;;467;291;3;24;121;10;9;6;;;3
Ubach over Worms;G0978;10146;Limburg;P31;4488;4387;219;;4168;1250;2653;35;9;39;166;1;1;7;7
Ubbergen;G0282;10408;Gelderland;P25;3757;3622;40;;3582;198;3160;67;64;65;5;2;2;15;4
Uden;G0856;11141;Noord-Brabant;P30;6697;6411;93;;6318;509;5449;145;102;68;20;2;2;13;8
Udenhout;G0857;11268;Noord-Brabant;P30;2535;2502;11;;2491;88;2395;1;2;1;4;;;;
Uitgeest;G0450;11238;Noord-Holland;P27;2707;2635;29;;2606;689;1452;36;115;38;248;3;2;7;16
Uithoorn;G0451;11206;Noord-Holland;P27;3856;3724;34;;3690;766;2056;315;115;368;31;17;6;8;8
Uithuizen;G0043;11137;Groningen;P20;2828;2740;33;;2707;923;352;587;347;271;147;3;67;3;7
Uithuizermeeden;G0044;10246;Groningen;P20;3067;2961;32;;2929;723;22;802;285;725;12;14;331;11;4
Ulestraten;G0979;11220;Limburg;P31;709;708;24;;684;12;662;;3;2;1;;;;4
Ulrum;G0045;10180;Groningen;P20;2345;2239;25;;2214;656;7;861;179;144;29;16;315;1;6
Urk;G0184;10783;Overijssel;P23;2576;2452;2;;2450;117;8;1556;13;215;4;422;112;1;2
Urmond;G0980;10700;Limburg;P31;1548;1537;25;;1512;229;1243;3;7;15;9;1;;2;3
Ursem;G0452;10696;Noord-Holland;P27;823;818;4;;814;110;661;3;24;8;8;;;;
Usquert;G0046;11035;Groningen;P20;1127;1117;14;;1103;781;29;49;156;48;25;2;12;;1
Utingeradeel;G0095;10140;Fryslân;P21;3115;2993;51;;2942;1708;30;278;422;397;50;51;1;1;4
Utrecht;G0344;10722;Utrecht;P26;142134;135617;2694;;132923;54121;37574;12618;10736;8677;5697;1563;519;785;633
Vaals;G0981;10007;Limburg;P31;5136;5082;374;;4708;561;3834;28;27;43;186;1;5;17;6
Valburg;G0283;11071;Gelderland;P25;4278;4104;45;;4059;851;1500;473;137;704;26;342;9;11;6
Valkenburg (ZH);G0619;10028;Zuid-Holland;P28;811;799;8;;791;113;50;180;62;279;4;63;26;13;1
Valkenburg-Houthem;G0982;11077;Limburg;P31;6267;6777;158;;6619;772;5164;137;204;105;39;15;8;110;65
Valkenswaard;G0858;11031;Noord-Brabant;P30;8118;8007;163;;7844;1349;6233;65;90;57;26;4;4;8;8
Varik;G0284;11064;Gelderland;P25;710;700;6;;694;331;137;22;24;152;1;27;;;
Veen;G0859;10015;Noord-Brabant;P30;650;561;10;;551;141;1;74;3;114;;214;3;1;
Veendam;G0047;11292;Groningen;P20;9244;8895;241;;8654;4851;521;751;1252;639;488;17;60;25;50
Veenendaal;G0345;11052;Utrecht;P26;8953;8616;140;;8476;2553;328;2091;296;2055;69;999;21;16;48
Veere;G0717;10369;Zeeland;P29;672;636;12;;624;140;19;197;62;108;5;79;12;2;
Veghel;G0860;10985;Noord-Brabant;P30;6058;5936;78;;5858;409;5300;27;46;35;19;2;3;10;7
Veldhoven;G0861;10071;Noord-Brabant;P30;6925;6803;87;;6716;733;5714;115;50;66;10;3;4;15;6
Velsen;G0453;10620;Noord-Holland;P27;33592;31995;727;;31268;12534;7234;3126;2796;2106;2822;233;142;167;108
Venhuizen;G0454;10433;Noord-Holland;P27;1844;1830;20;;1810;585;946;24;217;16;20;2;;;
Venlo;G0983;10477;Limburg;P31;26852;26108;725;;25383;4241;20030;255;305;136;203;14;9;111;79
Venray;G0984;11222;Limburg;P31;8197;8056;110;;7946;329;7532;10;12;14;26;2;;11;10
Vessem, Wintelre en Knegsel;G0862;11414;Noord-Brabant;P30;1035;1034;3;;1031;6;1019;;3;2;;;;;1
Vianen;G0620;10887;Zuid-Holland;P28;2483;2416;20;;2396;857;570;293;142;352;14;147;4;16;1
Vierlingsbeek;G0863;10066;Noord-Brabant;P30;2841;2812;19;;2793;57;2708;4;3;21;;;;;
Vierpolders;G0621;11056;Zuid-Holland;P28;571;550;10;;540;279;2;36;151;45;17;5;;;5
Vinkeveen en Waverveen;G0346;11048;Utrecht;P26;2840;2718;28;;2690;167;1528;367;72;335;11;188;2;1;19
Vlaardingen;G0622;10811;Zuid-Holland;P28;34393;32607;477;;32130;13654;3517;4484;2387;5452;1011;1221;223;62;119
Vlagtwedde;G0048;11249;Groningen;P20;9200;8728;301;;8427;3292;1384;837;691;1545;562;14;37;13;52
Vledder;G0132;11120;Drenthe;P22;1538;1472;51;;1421;791;83;127;274;100;42;;4;;
Vleuten-De Meern;G0347;10658;Utrecht;P26;3745;3653;36;;3617;451;2102;262;108;576;12;72;22;8;4
Vlieland;G0096;10211;Fryslân;P21;435;801;11;;790;461;35;88;116;61;1;;10;9;9
Vlijmen;G0864;11293;Noord-Brabant;P30;4452;4379;92;;4287;396;3798;16;17;40;7;1;1;5;6
Vlissingen;G0718;10270;Zeeland;P29;16103;15142;353;;14789;7644;1898;1515;1278;1677;354;276;37;58;52
Vlist;G0623;11174;Zuid-Holland;P28;287;276;2;;274;49;52;59;48;14;1;51;;;
Vlodrop;G0985;10644;Limburg;P31;819;827;21;;806;60;735;3;;5;3;;;;
Voerendaal;G0986;11341;Limburg;P31;2896;2854;40;;2814;238;2518;17;17;11;6;;1;4;2
Vogelwaarde;G0719;10100;Zeeland;P29;2123;2036;28;;2008;88;1835;23;5;48;1;5;;1;2
Vollenhove;G0185;11088;Overijssel;P23;2667;2560;23;;2537;620;162;657;93;680;18;57;246;2;2
Voorburg;G0624;11103;Zuid-Holland;P28;23376;21835;311;;21524;5501;6124;2713;4609;1604;239;106;90;418;120
Voorhout;G0625;10017;Zuid-Holland;P28;2135;2046;14;;2032;102;1649;63;65;133;2;3;;13;2
Voorschoten;G0626;10537;Zuid-Holland;P28;6155;5871;87;;5784;1318;1870;883;715;756;46;98;34;55;9
Voorst;G0285;10912;Gelderland;P25;10329;9918;117;;9801;3253;2756;408;1350;1495;335;148;17;6;33
Vorden;G0286;10957;Gelderland;P25;3364;3244;26;;3218;1075;504;460;416;702;10;14;3;14;20
Vreeland;G1213;10898;Utrecht;P26;627;602;17;;585;172;58;102;73;117;12;49;;2;
Vreeswijk;G0348;10441;Utrecht;P26;1911;1774;26;;1748;430;713;223;38;264;3;73;;3;1
Vries;G0133;10630;Drenthe;P22;3664;3507;148;;3359;1802;43;221;908;111;131;4;54;8;77
Vriezenveen;G0186;10643;Overijssel;P23;6479;6161;96;;6065;1833;353;615;191;2417;50;551;35;11;9
Vrouwenpolder;G1214;10635;Zeeland;P29;574;567;7;;560;41;8;309;11;113;1;22;54;1;
Vught;G0865;11224;Noord-Brabant;P30;10745;9530;151;;9379;1308;7205;193;389;137;30;8;14;79;16
Vuren;G0287;11376;Gelderland;P25;1149;1112;16;;1096;488;14;218;81;243;2;43;1;2;4
Waalre;G0866;10959;Noord-Brabant;P30;3954;3855;63;;3792;572;2833;74;221;63;14;3;;2;10
Waalwijk;G0867;11359;Noord-Brabant;P30;8138;7993;99;;7894;1043;5919;232;151;492;18;25;1;8;5
Waarde;G0721;10082;Zeeland;P29;597;541;4;;537;85;5;27;40;170;1;208;;;1
Waardenburg;G0288;10238;Gelderland;P25;1008;973;17;;956;347;20;52;58;215;3;254;;5;2
Waarder;G1217;10830;Zuid-Holland;P28;541;509;5;;504;69;16;188;11;111;4;105;;;
Waddinxveen;G0627;10081;Zuid-Holland;P28;5185;4978;82;;4896;1389;674;882;367;709;37;814;12;3;9
Wadenoijen;G1218;10201;Gelderland;P25;1454;1397;32;;1365;570;177;57;279;180;2;87;1;9;3
Wageningen;G0289;11010;Gelderland;P25;12125;11578;192;;11386;4350;1920;1222;1341;1625;333;456;25;50;64
Wamel;G0290;10042;Gelderland;P25;3984;3866;22;;3844;257;3413;16;18;114;10;11;;3;2
Wanneperveen;G0187;10105;Overijssel;P23;991;947;9;;938;304;3;125;55;416;5;15;14;1;
Wanroij;G0868;10265;Noord-Brabant;P30;1619;1589;4;;1585;7;1578;;;;;;;;
Wanssum;G0987;10991;Limburg;P31;595;589;1;;588;5;583;;;;;;;;
Warder;G0455;11073;Noord-Holland;P27;313;299;4;;295;175;17;;81;5;13;2;;;2
Warffum;G0049;10498;Groningen;P20;1483;1437;18;;1419;731;5;373;215;53;9;2;21;1;9
Warmenhuizen;G0456;10221;Noord-Holland;P27;1358;1327;8;;1319;182;924;80;90;5;38;;;;
Warmond;G0628;10204;Zuid-Holland;P28;2104;2043;14;;2029;262;1328;79;149;162;8;25;3;8;5
Warnsveld;G0291;10838;Gelderland;P25;3551;2887;51;;2836;1038;320;371;406;634;20;11;4;5;27
Waspik;G0869;10402;Noord-Brabant;P30;1803;1723;24;;1699;109;1351;105;5;104;2;21;1;;1
Wassenaar;G0629;10164;Zuid-Holland;P28;14429;13433;139;;13294;2332;4539;1369;3381;1162;102;130;19;211;49
Wateringen;G0630;11329;Zuid-Holland;P28;3518;3495;22;;3473;244;2566;175;69;374;6;19;1;8;11
Waterlandkerkje;G0722;10352;Zeeland;P29;292;283;5;;278;73;113;13;31;30;;17;;1;
Wedde;G1220;10247;Groningen;P20;2393;2297;61;;2236;1255;18;142;314;192;299;3;1;3;9
Weerselo;G0188;10893;Overijssel;P23;4400;4357;29;;4328;86;4126;10;22;75;4;1;;;4
Weert;G0988;11081;Limburg;P31;12017;11840;249;;11591;1151;10033;148;90;56;19;10;6;51;27
Weesp;G0457;10773;Noord-Holland;P27;5766;5626;118;;5508;2295;1095;651;312;835;217;61;8;9;25
Weesperkarspel;G1221;10377;Noord-Holland;P27;2217;2149;52;;2097;503;613;265;67;488;76;66;12;7;
Wehl;G0292;11116;Gelderland;P25;2080;2047;27;;2020;118;1821;11;3;58;1;;;4;4
Wemeldinge;G0723;11145;Zeeland;P29;1539;1394;27;;1367;427;16;230;156;428;;101;2;3;4
Werkendam;G0870;10078;Noord-Brabant;P30;4912;4261;41;;4220;1265;33;1481;125;720;12;562;17;1;4
Werkhoven;G1223;11299;Utrecht;P26;664;647;0;;647;59;462;18;3;63;1;39;;;2
Wervershoof;G0459;11270;Noord-Holland;P27;2093;2071;6;;2065;82;1949;12;16;;3;2;;1;
Wessem;G0989;10127;Limburg;P31;866;824;7;;817;43;764;4;2;3;1;;;;
Westbroek;G1224;10145;Utrecht;P26;979;937;30;;907;158;94;274;20;254;12;93;;1;1
Westdongeradeel;G0097;10129;Fryslân;P21;4236;4109;40;;4069;1084;20;1438;291;1070;73;26;50;5;12
Westdorpe;G0724;10915;Zeeland;P29;1309;1284;45;;1239;263;908;9;29;20;3;2;2;3;
Westerbork;G0134;11095;Drenthe;P22;3374;3277;103;;3174;1593;36;560;621;285;31;23;7;4;14
Westerhoven;G0871;11041;Noord-Brabant;P30;527;520;2;;518;13;504;;;;;;1;;
Westervoort;G0293;11085;Gelderland;P25;1522;1464;13;;1451;214;1042;67;29;92;4;2;1;;
Westkapelle;G0726;10931;Zeeland;P29;1487;1375;20;;1355;575;11;143;90;321;5;205;2;1;2
Westmaas;G0631;10695;Zuid-Holland;P28;612;586;9;;577;153;4;162;68;138;1;46;1;1;3
Weststellingwerf;G0098;11322;Fryslân;P21;12242;11731;278;;11453;6230;1179;788;1356;1298;549;14;13;15;11
Westwoud;G0460;11101;Noord-Holland;P27;778;766;3;;763;134;535;4;71;16;3;;;;
Westzaan;G0461;11381;Noord-Holland;P27;2175;2060;64;;1996;858;73;254;198;83;454;60;4;9;3
Wierden;G0189;10676;Overijssel;P23;7448;7295;49;;7246;1010;2190;1426;211;1806;11;560;16;4;12
Wieringen;G0462;11277;Noord-Holland;P27;3926;3640;110;;3530;1795;312;246;563;161;429;15;;3;6
Wieringermeer;G0463;10239;Noord-Holland;P27;3844;3791;31;;3760;1021;902;818;421;483;45;19;49;1;1
Wieringerwaard;G0464;11164;Noord-Holland;P27;762;719;6;;713;413;29;30;194;17;24;3;;2;1
Wijchen;G0296;10723;Gelderland;P25;5172;5084;60;;5024;379;4565;17;19;27;6;1;1;3;6
Wijdenes;G0469;10631;Noord-Holland;P27;630;603;8;;595;372;42;12;138;16;13;;;;2
Wijdewormer;G0470;10434;Noord-Holland;P27;473;455;5;;450;123;180;19;64;47;15;1;;;1
Wijhe;G0190;10888;Overijssel;P23;3395;3317;15;;3302;1065;904;268;268;746;5;28;11;;7
Wijk bij Duurstede;G0352;10760;Utrecht;P26;2200;2121;35;;2086;410;1206;92;69;265;9;25;;;10
Wijk en Aalburg;G0876;11084;Noord-Brabant;P30;1682;1523;23;;1500;374;4;274;66;97;1;681;2;;1
Wijlre;G0991;10131;Limburg;P31;1435;1465;28;;1437;72;1321;10;8;6;3;1;1;12;3
Wijnandsrade;G0992;10992;Limburg;P31;463;457;5;;452;25;424;;;2;;;;;1
Wijngaarden;G0634;10263;Zuid-Holland;P28;257;252;2;;250;22;1;99;13;8;;106;1;;
Wildervank;G1225;10825;Groningen;P20;5950;5639;173;;5466;2787;218;852;757;493;263;8;57;12;19
Willemstad;G0872;10827;Noord-Brabant;P30;1157;1138;12;;1126;288;107;246;33;428;1;20;1;1;1
Willeskop;G0349;10758;Utrecht;P26;520;502;1;;501;75;288;32;7;72;;26;1;;
Wilnis;G0350;10365;Utrecht;P26;1454;1400;11;;1389;58;548;397;21;233;2;109;8;2;11
Winkel;G0465;10923;Noord-Holland;P27;1249;1180;17;;1163;743;51;29;182;19;133;3;;1;2
Winschoten;G0052;10453;Groningen;P20;9508;8993;200;;8793;4352;342;1048;1279;645;1012;16;51;26;22
Winsum;G0053;11135;Groningen;P20;1844;1801;13;;1788;629;8;747;221;124;7;1;44;1;6
Winterswijk;G0294;11119;Gelderland;P25;13362;12967;239;;12728;6596;1808;1040;2302;753;92;8;23;16;90
Wisch;G0295;10318;Gelderland;P25;7637;7364;189;;7175;2053;2357;801;728;1170;30;8;1;11;16
Wissenkerke;G0727;10243;Zeeland;P29;2094;1974;18;;1956;409;4;596;100;654;5;182;2;3;1
Wittem;G0990;11371;Limburg;P31;2941;3070;55;;3015;191;2733;19;35;20;8;1;;3;5
Woensdrecht;G0873;10602;Noord-Brabant;P30;2833;2769;97;;2672;370;2112;66;58;35;7;7;2;7;8
Woerden;G0632;10974;Zuid-Holland;P28;6316;6040;70;;5970;1397;1771;904;375;1100;41;353;3;8;18
Wognum;G0466;10818;Noord-Holland;P27;1254;1240;1;;1239;185;953;9;75;7;10;;;;
Wolphaartsdijk;G0728;10543;Zeeland;P29;1529;1466;23;;1443;308;53;266;73;486;;244;11;2;
Wonseradeel;G0099;10454;Fryslân;P21;7186;6911;58;;6853;1943;595;1759;465;1855;117;49;39;10;21
Workum;G0100;10768;Fryslân;P21;2282;2233;28;;2205;529;509;413;82;647;9;4;5;;7
Wormer;G0467;10648;Noord-Holland;P27;3565;3446;42;;3404;1195;1054;320;209;59;468;24;66;3;6
Wormerveer;G0468;10361;Noord-Holland;P27;7317;6965;120;;6845;2773;1084;649;642;155;1457;27;39;6;13
Woubrugge;G0633;10461;Zuid-Holland;P28;1485;1442;14;;1428;146;641;210;69;284;7;63;1;3;4
Woudenberg;G0351;11398;Utrecht;P26;2531;2390;50;;2340;697;32;286;219;753;16;310;5;3;19
Woudrichem;G0874;10282;Noord-Brabant;P30;1188;1145;21;;1124;572;10;195;67;213;3;60;3;;1
Wouw;G0875;10808;Noord-Brabant;P30;3225;3139;85;;3054;294;2678;18;16;14;17;2;;2;13
Wymbritseradeel;G0101;11427;Fryslân;P21;6256;5987;32;;5955;828;810;1486;160;2630;11;13;3;2;12
Yerseke;G0729;11247;Zeeland;P29;3029;2844;46;;2798;817;112;439;203;549;21;645;;5;7
Zaamslag;G0731;11173;Zeeland;P29;2100;2015;24;;1991;462;37;544;85;544;3;128;187;;1
Zaandam;G0471;11044;Noord-Holland;P27;27991;26631;503;;26128;11185;3783;2985;2168;1005;4574;235;95;54;44
Zaandijk;G0472;11404;Noord-Holland;P27;2867;2736;48;;2688;1182;214;280;405;62;516;4;13;7;5
Zaltbommel;G0297;10557;Gelderland;P25;3237;3093;40;;3053;1549;531;252;311;285;16;85;19;2;3
Zandvoort;G0473;10910;Noord-Holland;P27;7522;7806;186;;7620;3187;1280;530;1552;532;339;18;10;88;84
Zeeland;G0877;10759;Noord-Brabant;P30;1762;1711;3;;1708;14;1690;;2;2;;;;;
Zegveld;G0354;10949;Utrecht;P26;741;716;6;;710;31;121;236;6;211;2;102;1;;
Zeist;G0355;10324;Utrecht;P26;28542;26419;522;;25897;8381;3808;4441;3873;3663;276;846;99;343;167
Zelhem;G0298;11159;Gelderland;P25;4497;4242;121;;4121;1489;436;848;321;832;9;109;7;7;63
Zevenaar;G0299;10938;Gelderland;P25;4803;4739;75;;4664;463;3954;27;77;118;11;4;1;5;4
Zevenbergen;G0878;10046;Noord-Brabant;P30;5155;4997;98;;4899;426;3616;128;94;541;21;5;50;10;8
Zevenhoven;G0635;11317;Zuid-Holland;P28;614;607;8;;599;59;340;80;13;92;4;11;;;
Zevenhuizen;G0636;11377;Zuid-Holland;P28;1890;1819;13;;1806;733;24;167;246;439;11;169;2;4;11
Zierikzee;G0732;10843;Zeeland;P29;4443;4200;48;;4152;1616;513;801;531;481;27;165;10;4;4
Zijpe;G0476;10004;Noord-Holland;P27;3534;3459;42;;3417;1511;1039;84;621;49;97;2;2;3;9
Zoelen;G0300;10897;Gelderland;P25;1582;1524;35;;1489;955;22;97;179;204;5;15;1;9;2
Zoetermeer;G0637;10766;Zuid-Holland;P28;3614;3466;21;;3445;770;1110;405;187;483;13;448;21;;8
Zoeterwoude;G0638;11074;Zuid-Holland;P28;2798;2749;22;;2727;207;1962;150;87;249;19;47;;4;2
Zonnemaire;G1236;10040;Zeeland;P29;514;488;8;;480;232;8;89;99;44;2;5;1;;
Zoutelande;G1237;10779;Zeeland;P29;558;631;8;;623;88;30;123;53;212;2;97;16;2;
Zuid- en Noord-Schermer;G0474;11311;Noord-Holland;P27;557;540;5;;535;312;66;27;61;15;28;19;1;;6
Zuid-Beijerland;G0639;10917;Zuid-Holland;P28;1460;1375;13;;1362;381;2;302;159;285;5;223;2;2;1
Zuidbroek;G1240;11282;Groningen;P20;1713;1609;75;;1534;882;16;130;241;48;130;2;65;6;14
Zuiddorpe;G0734;11087;Zeeland;P29;500;485;19;;466;83;373;;2;4;;;;;4
Zuidelijke IJsselmeerpolders;G0996;10018;Niet-provinciaal ingedeeld;P99;129;255;2;;253;125;18;28;10;29;32;9;;2;
Zuidhorn;G0056;10021;Groningen;P20;2209;2133;18;;2115;710;44;460;373;146;29;2;338;3;10
Zuidland;G0640;10316;Zuid-Holland;P28;1269;1225;12;;1213;220;2;698;120;128;3;40;1;;1
Zuidlaren;G0136;10002;Drenthe;P22;3275;3194;88;;3106;1371;42;614;687;139;66;5;130;13;39
Zuidwolde;G0137;10262;Drenthe;P22;3755;3632;92;;3540;1219;49;792;596;769;28;16;54;4;13
Zuidzande;G0735;10437;Zeeland;P29;527;495;18;;477;221;19;25;158;45;;6;;;3
Zundert;G0879;11192;Noord-Brabant;P30;5131;5004;189;;4815;271;4361;40;44;70;11;5;3;2;8
Zutphen;G0301;10254;Gelderland;P25;14448;13820;262;;13558;6767;1779;1070;1666;1289;833;52;29;33;40
Zwaag;G0475;10218;Noord-Holland;P27;1206;1193;3;;1190;262;830;3;86;5;4;;;;
Zwammerdam;G1244;10675;Zuid-Holland;P28;1508;1446;10;;1436;298;393;301;89;243;4;100;;5;3
Zwartewaal;G0641;10703;Zuid-Holland;P28;349;352;11;;341;171;1;84;64;7;5;7;2;;
Zwartsluis;G0192;10303;Overijssel;P23;2001;1880;18;;1862;369;13;858;75;425;22;59;40;1;
Zweeloo;G0138;10872;Drenthe;P22;1371;1325;24;;1301;559;15;276;357;77;4;;7;2;4
Zwijndrecht;G0642;10468;Zuid-Holland;P28;9741;9204;173;;9031;3184;384;2153;565;1690;239;595;186;16;19
Zwolle;G0193;10093;Overijssel;P23;31184;29633;512;;29121;12560;5313;3483;2858;2953;955;382;502;55;60
Zwollerkerspel;G1245;10654;Overijssel;P23;5846;5584;49;;5535;1257;885;909;410;1477;33;244;312;4;4
