RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;Rooms-Katholieke Staatspartij (RKSP);Sociaal-Democratische Arbeiderspartij (SDAP);Anti-Revolutionaire Partij;Christelijk-Historische Unie;Vrijzinnig-Democratische Bond (VDB);Nationaal-Socialistische Beweging (NSB);Liberale Staatspartij (LSP);Communistische Partij van Nederland;Christelijk-Democratische Unie;Staatkundig Gereformeerde Partij (SGP);Revolutionair Socialistische Arbeiderspartij;Katholiek Democratische Partij;HGSP;Actie-Bouwman;Christelijk Nationale Actie;Algemeen Belang;Zwart Front;Plattelandersbond;VNH;Nationaal Socialistische Arbeiderspartij
Utrecht;G0344;10722;Utrecht;P26;89241;84253;1200;1518;81535;22254;23403;15374;4205;3981;3641;3283;1772;1241;720;305;623;271;;256;67;59;23;57;
Vaals;G0981;10007;Limburg;P31;3441;3314;157;116;3041;2217;268;69;7;17;263;9;100;4;4;10;9;1;8;;2;37;4;9;3
Valburg;G0283;11071;Gelderland;P25;3411;3199;33;49;3117;1039;359;619;479;55;107;55;;6;229;3;1;;121;10;1;1;30;2;
Valkenburg (Li);G1252;11077;Limburg;P31;1090;1082;8;29;1045;838;21;16;3;14;125;2;10;2;;2;3;1;;;8;;;;
Valkenburg (ZH);G0619;10028;Zuid-Holland;P28;515;498;4;6;488;22;13;144;159;15;24;3;;6;21;1;;80;;;;;;;
Valkenswaard;G0858;11031;Noord-Brabant;P30;4446;4357;61;90;4206;3411;431;71;27;13;80;12;10;;2;1;51;2;73;1;8;10;;3;
Varik;G0284;11064;Gelderland;P25;662;589;21;20;548;118;113;112;83;41;7;5;;7;39;2;;1;1;;1;;18;;
Veen;G0859;10015;Noord-Brabant;P30;472;395;12;16;367;1;15;60;16;;2;5;1;1;75;;1;148;1;4;1;30;6;;
Veendam;G0047;11292;Groningen;P20;7675;7177;91;108;6978;416;2900;829;239;769;571;205;175;774;10;26;16;10;;1;32;;3;2;
Veenendaal;G0345;11052;Utrecht;P26;5186;5203;75;112;5016;177;773;2339;648;88;114;54;49;41;568;11;11;2;;114;23;2;2;;
Veere;G0717;10369;Zeeland;P29;574;547;7;12;528;23;31;181;107;80;11;35;5;;48;1;;1;;;3;;2;;
Veghel;G0860;10985;Noord-Brabant;P30;3957;3824;28;26;3770;3415;33;30;19;25;16;1;10;2;3;;20;1;178;;5;3;2;7;
Veldhoven;G0861;10071;Noord-Brabant;P30;3446;3381;13;32;3336;3037;48;22;29;16;25;2;21;4;4;1;13;1;109;1;2;1;;;
Veldhuizen;G1207;10713;Utrecht;P26;363;358;1;4;353;185;19;58;54;4;20;3;;;7;;;;;2;;;1;;
Velp;G1208;10170;Noord-Brabant;P30;418;385;2;1;382;347;1;2;;;2;;;;;;;;30;;;;;;
Velsen;G0453;10620;Noord-Holland;P27;24363;23191;332;412;22447;4648;6540;3853;1597;1563;1502;448;1233;458;157;;;;;;;;;;
Venhuizen;G0454;10433;Noord-Holland;P27;1561;1510;10;14;1486;691;264;43;11;301;25;108;10;4;;7;3;;;1;6;1;9;2;
Venlo;G0983;10477;Limburg;P31;12568;12108;179;317;11612;9277;967;276;81;58;521;44;169;7;9;7;114;3;28;;6;11;12;10;12
Venray;G0984;11222;Limburg;P31;5293;5110;34;43;5033;4791;19;14;2;4;104;1;1;;;1;5;4;67;;11;4;1;4;
Vessem, Wintelre en Knegsel;G0862;11414;Noord-Brabant;P30;696;675;0;1;674;673;;;;1;;;;;;;;;;;;;;;
Veur;G1209;10366;Zuid-Holland;P28;1777;1707;8;8;1691;1088;108;184;83;30;58;41;10;5;7;;45;22;;;;3;;7;
Vianen;G0620;10887;Zuid-Holland;P28;1917;1780;17;20;1743;360;362;314;98;38;62;64;7;7;122;;;;;;;;;;
Vierlingsbeek;G0863;10066;Noord-Brabant;P30;903;827;3;3;821;760;6;7;1;2;11;1;;;;;2;;30;;;;;1;
Vierpolders;G0621;11056;Zuid-Holland;P28;522;484;1;9;474;;155;102;27;58;21;49;36;2;;2;;;;1;5;;16;;
Vinkeveen en Waverveen;G0346;11048;Utrecht;P26;2029;1932;9;19;1904;1052;50;277;107;15;120;26;3;4;121;2;2;66;;50;3;;6;;
Vlaardingen;G0622;10811;Zuid-Holland;P28;15511;14533;164;185;14184;1203;3998;3369;2830;299;263;437;120;641;698;33;120;45;;83;26;4;8;7;
