RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;Rooms-Katholieke Staatspartij (RKSP);Sociaal-Democratische Arbeiderspartij (SDAP);Anti-Revolutionaire Partij;Christelijk-Historische Unie;Vrijzinnig-Democratische Bond (VDB);Nationaal-Socialistische Beweging (NSB);Liberale Staatspartij (LSP);Communistische Partij van Nederland;Christelijk-Democratische Unie;Staatkundig Gereformeerde Partij (SGP);Revolutionair Socialistische Arbeiderspartij;Katholiek Democratische Partij;HGSP;Actie-Bouwman;Christelijk Nationale Actie;Algemeen Belang;Zwart Front;Plattelandersbond;VNH;Nationaal Socialistische Arbeiderspartij
Dinther;G1044;10690;Noord-Brabant;P30;955;916;6;2;908;835;2;4;14;1;1;2;;;;;2;;45;;;2;;;
Dinxperlo;G0219;11154;Gelderland;P25;1808;1695;32;45;1618;244;180;435;451;79;104;38;9;65;1;;2;1;2;2;3;;2;;
Dirksland;G0504;11344;Zuid-Holland;P28;1642;1517;26;35;1456;12;264;582;41;61;23;126;14;2;264;1;1;5;;50;8;;2;;
Dodewaard;G0220;10647;Gelderland;P25;1107;1018;21;31;966;11;297;269;125;7;40;37;1;28;135;;;2;2;;4;3;4;1;
Doesburg;G0221;10327;Gelderland;P25;2680;2562;52;58;2452;865;634;199;345;103;137;56;16;18;7;;51;2;17;;1;;1;;
Doetinchem;G0222;10396;Gelderland;P25;8161;7797;100;143;7554;2103;1932;897;788;639;478;267;26;46;121;5;155;4;47;3;1;3;20;19;
Dokkum;G0066;10198;Fryslân;P21;2899;2728;30;15;2683;141;522;1084;253;251;45;186;35;111;18;6;1;3;;3;21;1;2;;
Domburg;G0660;10236;Zeeland;P29;789;751;25;10;716;7;150;153;86;103;8;47;2;3;118;2;;16;;1;10;;;10;
Dongen;G0766;11412;Noord-Brabant;P30;4566;4375;20;39;4316;4051;27;33;82;12;31;11;2;1;3;2;45;;5;;6;3;1;;1
Doniawerstal;G0067;10086;Fryslân;P21;2935;2797;30;27;2740;706;375;472;618;174;40;69;8;204;7;3;1;43;;;14;;6;;
Doorn;G0315;10213;Utrecht;P26;2711;2560;33;42;2485;65;456;733;518;126;120;287;9;7;140;3;3;5;;4;;;;9;
Doornspijk;G0223;10069;Gelderland;P25;2301;2178;52;61;2065;6;195;764;354;37;19;19;10;128;391;3;;19;;110;;1;8;;
Dordrecht;G0505;11157;Zuid-Holland;P28;33995;31265;439;899;29927;2734;10056;7330;1969;1522;1026;2420;426;186;765;1056;207;47;;58;33;39;17;36;
Dreischor;G1047;10885;Zeeland;P29;666;626;7;29;590;4;172;70;11;179;21;109;;;15;1;;1;;;;;7;;
Dreumel;G0224;11232;Gelderland;P25;1345;1210;4;9;1197;756;31;8;19;6;37;6;1;;1;;;;321;;;;11;;
Driebergen;G1048;10777;Utrecht;P26;5106;4794;40;103;4651;688;739;1401;709;217;213;273;11;26;284;4;5;46;;8;9;3;5;10;
Driel;G1248;10341;Gelderland;P25;1995;1907;25;21;1861;1441;31;55;71;21;34;4;2;;56;;2;;116;1;5;;21;1;
Driewegen;G0661;11115;Zeeland;P29;369;341;5;2;334;34;38;84;100;41;1;18;;;14;;;;;;4;;;;
Drunen;G0767;10428;Noord-Brabant;P30;2277;2124;9;16;2099;1996;29;5;20;2;6;2;3;;1;;6;1;20;;2;6;;;
Druten;G0225;10068;Gelderland;P25;3035;2856;28;12;2816;2126;19;12;55;1;10;;1;2;1;;1;;581;;;2;5;;
Dubbeldam;G0507;10781;Zuid-Holland;P28;2731;2558;58;72;2428;43;582;783;277;153;95;293;15;4;136;8;4;2;;5;11;2;14;1;
Duiven;G0226;11028;Gelderland;P25;1878;1783;9;16;1758;1266;17;26;21;4;19;2;1;;;;1;1;391;1;;;6;2;
Duivendijke;G1050;10335;Zeeland;P29;293;275;8;1;266;;21;145;26;24;4;31;1;1;11;1;;;;;1;;;;
Dussen;G0769;10261;Noord-Brabant;P30;1843;1701;21;21;1659;1042;63;269;119;21;13;8;6;;69;3;;8;2;36;;;;;
Dwingeloo;G0112;10331;Drenthe;P22;1579;1501;12;14;1475;13;295;275;63;408;153;235;1;19;2;;1;3;;;;;7;;
Echt;G0902;10941;Limburg;P31;4446;4284;99;111;4074;3570;27;30;3;12;355;3;13;1;;;12;;23;;;1;;;
Echteld;G0227;10832;Gelderland;P25;1772;1613;25;37;1551;25;609;337;28;39;104;76;5;64;196;;1;4;7;1;;1;54;;
Edam;G1315;10884;Noord-Holland;P27;4206;3991;17;20;3954;2379;459;266;129;374;137;55;18;65;5;5;40;2;;1;5;1;10;3;
Ede;G0228;10743;Gelderland;P25;16708;15925;200;326;15399;705;1888;4755;2456;696;714;383;103;173;3069;43;11;108;20;177;27;6;28;33;4
Eede;G1052;11128;Zeeland;P29;421;409;12;12;385;327;1;14;2;22;4;5;5;1;1;;;1;;;;2;;;
Eelde;G0113;10622;Drenthe;P22;2056;1924;34;53;1837;17;697;187;40;329;233;104;49;137;3;2;1;3;;2;24;;8;;1
Eemnes;G0317;10248;Utrecht;P26;960;907;0;15;892;444;44;111;30;20;15;9;26;8;31;4;8;;;140;;1;;1;
Eenrum;G0011;10904;Groningen;P20;1491;1427;10;18;1399;41;552;285;10;181;30;144;9;128;;1;;1;;;17;;;;
Eersel;G0770;10741;Noord-Brabant;P30;1318;1284;4;1;1279;1247;1;;15;;1;2;;;1;;1;;11;;;;;;
Eethen;G0771;10010;Noord-Brabant;P30;1353;1220;19;14;1187;58;50;605;166;80;25;9;5;1;101;;;;;;;;;;
Egmond aan Zee;G0386;10421;Noord-Holland;P27;1646;1486;35;40;1411;196;570;308;36;109;40;32;13;7;2;27;5;53;;1;10;;2;;
Egmond-Binnen;G0387;10989;Noord-Holland;P27;1193;1160;9;6;1145;947;38;25;6;80;10;17;6;;1;1;5;;;;6;;2;1;
Eibergen;G0229;10436;Gelderland;P25;4703;4456;46;26;4384;1877;698;637;477;333;59;202;8;43;6;3;1;4;9;5;3;2;17;1;
Eijgelshoven;G0904;10960;Limburg;P31;1503;1469;40;53;1376;1018;119;21;7;5;167;2;22;;1;1;2;;;;;1;1;3;
Eijsden;G0905;10314;Limburg;P31;1769;1712;23;63;1626;1431;28;9;2;4;126;2;8;;1;;6;1;1;;3;;;;3
Eindhoven;G0772;11298;Noord-Brabant;P30;47967;46611;433;890;45288;29832;7192;2571;993;1132;1259;325;573;233;55;97;600;20;196;25;49;109;10;17;
Elburg;G0230;11113;Gelderland;P25;1365;1292;20;24;1248;8;69;453;532;51;11;12;2;45;31;1;;15;;13;;;4;1;
Elkerzee;G1053;10184;Zeeland;P29;349;325;1;13;311;1;38;96;50;45;5;40;1;;31;;1;1;;;1;;1;;
Ellemeet;G1054;10102;Zeeland;P29;307;281;0;12;269;;79;51;42;43;5;33;2;;12;;;;;;;1;1;;
Ellewoutsdijk;G0663;11300;Zeeland;P29;353;319;0;19;300;2;64;34;73;49;3;43;;2;19;;;1;;;8;;2;;
Elsloo;G0903;11187;Limburg;P31;1194;1145;23;40;1082;1019;7;7;3;1;35;1;1;;;;6;2;3;;;3;;;1
Elst;G0231;11188;Gelderland;P25;4608;4433;68;61;4304;2340;515;546;201;119;244;144;2;15;53;4;7;14;81;3;;2;12;2;
Emmen;G0114;11180;Drenthe;P22;19309;18310;767;690;16853;2289;4136;3069;1761;1110;1209;626;638;1198;22;272;254;128;23;10;45;;29;17;17
Empel en Meerwijk;G0773;10295;Noord-Brabant;P30;346;326;1;4;321;287;3;6;4;1;;;1;;;;6;;12;;;1;;;
Engelen;G0774;10322;Noord-Brabant;P30;647;337;1;6;330;259;9;2;27;;1;4;;;3;1;;2;21;;;;;1;
Enkhuizen;G0388;10729;Noord-Holland;P27;5486;5167;61;153;4953;601;1372;1216;564;409;103;210;43;168;117;79;47;4;;6;8;;5;1;
Enschede;G0153;10364;Overijssel;P23;47374;45642;1034;1346;43262;8254;12488;4896;2163;3205;2240;1681;2803;2922;100;1413;818;18;3;22;101;22;81;14;31
Epe;G0232;10940;Gelderland;P25;7602;7292;101;111;7080;790;1586;1546;625;1079;206;266;46;40;215;10;13;34;2;9;20;2;577;13;1
Ermelo;G0233;10732;Gelderland;P25;7438;7017;80;118;6819;57;422;2364;2429;149;122;134;29;40;820;18;3;50;1;166;10;;2;2;1
Erp;G0775;10385;Noord-Brabant;P30;1418;1391;2;6;1383;1289;3;1;;;2;1;;;;;;;86;;;;1;;
Esch;G0776;10709;Noord-Brabant;P30;361;345;0;3;342;333;1;1;2;;;;;;;;;;4;;;;;1;
Escharen;G1057;10299;Noord-Brabant;P30;708;689;4;0;685;629;1;;;;4;;;;;;;;51;;;;;;
Est en Opijnen;G0234;11092;Gelderland;P25;581;516;22;26;468;3;112;111;56;18;7;59;1;2;80;;;1;;;;;18;;
Etten en Leur;G1251;10750;Noord-Brabant;P30;4823;4545;57;117;4371;3896;192;45;101;18;32;20;7;;;3;27;;3;;6;11;6;1;3
Everdingen;G0508;10638;Zuid-Holland;P28;550;503;6;7;490;96;47;114;22;24;3;19;1;4;71;1;;30;;47;;;11;;
Ewijk;G0235;10471;Gelderland;P25;1438;1369;11;11;1347;951;11;6;8;;8;;5;;2;;;;314;2;;1;39;;
Ezinge;G0012;10136;Groningen;P20;984;929;6;10;913;2;190;359;22;164;23;91;7;42;;;;2;;;9;;1;1;
Ferwerderadeel;G0068;11284;Fryslân;P21;4562;4374;66;24;4284;16;397;2202;629;326;48;208;14;327;6;9;;64;;31;4;;2;1;
Fijnaart en Heijningen;G0778;10206;Noord-Brabant;P30;2247;2142;16;24;2102;810;68;268;614;18;13;33;1;6;41;;4;208;1;4;6;1;4;1;1
Finsterwolde;G0013;10212;Groningen;P20;1759;1632;50;111;1471;12;257;115;36;182;50;93;628;54;6;;1;20;;1;11;;3;2;
Franeker;G0069;11226;Fryslân;P21;4965;4198;48;72;4078;512;972;962;353;568;101;115;139;275;8;11;8;31;;;16;1;6;;
Franekeradeel;G0070;10404;Fryslân;P21;2777;2603;29;23;2551;107;601;556;576;389;68;75;18;123;2;17;1;10;;;6;1;1;;
Gaasterland;G0071;10036;Fryslân;P21;3185;2980;23;21;2936;586;105;640;1052;113;64;42;9;96;130;1;3;46;;5;36;;8;;
Gameren;G1058;10037;Gelderland;P25;1052;941;23;36;882;8;165;304;7;20;13;6;9;2;187;1;2;2;3;132;1;;20;;
Gassel;G1059;10705;Noord-Brabant;P30;311;306;0;0;306;288;1;1;;;;;;;;;;;16;;;;;;
Gasselte;G0115;11099;Drenthe;P22;1812;1710;17;41;1652;11;582;247;174;174;129;82;52;169;4;9;5;2;;;7;;4;1;
Geertruidenberg;G0779;10101;Noord-Brabant;P30;1361;1251;7;22;1222;930;94;51;39;41;24;17;;1;4;;4;8;2;4;1;1;1;;
Geervliet;G0509;10842;Zuid-Holland;P28;588;560;6;10;544;;160;114;70;34;48;55;11;1;39;1;;5;;4;;1;1;;
Geffen;G0780;10370;Noord-Brabant;P30;854;826;1;4;821;630;8;3;2;3;7;;1;;;;6;;160;;;;;1;
Geldermalsen;G0236;10881;Gelderland;P25;2368;2201;56;59;2086;16;720;273;317;120;57;136;22;90;269;4;2;1;2;1;7;3;43;3;
Geldrop;G0781;10529;Noord-Brabant;P30;4278;4163;43;49;4071;3327;283;104;43;25;107;;22;5;4;1;22;3;110;2;7;3;;3;
Geleen;G0906;10048;Limburg;P31;5872;5710;98;124;5488;4061;382;229;82;19;510;13;109;13;2;7;5;6;2;;3;31;2;7;5
Gemert;G0782;10277;Noord-Brabant;P30;3278;3171;18;23;3130;2884;21;18;11;5;8;;14;;3;;3;;158;2;2;;;1;
Gendringen;G0237;10260;Gelderland;P25;4887;4720;37;25;4658;3372;127;293;304;91;251;24;5;21;10;91;3;6;142;1;;2;4;1;
Gendt;G0238;10440;Gelderland;P25;1718;1645;23;7;1615;1378;14;28;29;7;6;2;;1;8;;;2;137;;2;;;1;
Genemuiden;G0154;10746;Overijssel;P23;1812;1512;11;33;1468;4;179;393;101;43;39;8;11;52;299;2;;;2;329;5;;;;1
Gennep;G0907;10542;Limburg;P31;1655;1615;28;30;1557;1201;109;42;4;21;42;4;;1;1;;9;3;107;;;6;4;2;1
Geulle;G0908;10530;Limburg;P31;763;711;24;27;660;597;16;4;;6;20;1;3;;;1;;1;1;;5;1;;4;
Giessen;G0783;10193;Noord-Brabant;P30;274;202;0;5;197;;6;82;57;11;3;14;;;12;;;9;1;1;1;;;;
Giessendam;G1063;10606;Zuid-Holland;P28;2182;1847;22;58;1767;3;196;746;54;45;48;111;11;4;318;31;1;74;;108;12;;2;3;
Giessen-Nieuwkerk;G1062;10255;Zuid-Holland;P28;571;532;7;14;511;3;42;277;33;10;8;43;4;;57;;;;;;;;;;
Gieten;G0116;10506;Drenthe;P22;1869;1772;24;49;1699;19;534;160;183;334;217;101;26;98;3;3;;4;;5;5;;5;1;1
Giethoorn;G0155;10708;Overijssel;P23;1307;1234;13;26;1195;6;468;165;92;134;58;33;95;127;;2;1;2;;1;7;;4;;
Gilze en Rijen;G0784;11375;Noord-Brabant;P30;3882;3819;17;30;3772;3601;51;14;9;7;26;2;4;;;;27;;6;;1;23;;;1
Ginneken en Bavel;G1064;10406;Noord-Brabant;P30;7505;7260;79;147;7034;4948;659;448;225;179;209;159;11;16;11;6;49;6;11;;9;41;2;42;3
Goedereede;G0511;10981;Zuid-Holland;P28;653;534;14;32;488;;84;178;2;41;;62;3;1;67;;;12;;36;1;;1;;
Goes;G0664;10674;Zeeland;P29;5460;5164;66;82;5016;775;840;964;1198;341;132;436;23;25;154;3;4;8;;3;93;2;6;9;
Goirle;G0785;10971;Noord-Brabant;P30;2566;2484;25;50;2409;2193;46;37;5;6;11;4;2;1;1;2;31;;5;;3;61;;;1
Goor;G0156;10076;Overijssel;P23;2483;2459;23;33;2403;537;1096;183;98;230;94;52;23;39;4;38;;2;;3;3;1;;;
Gorinchem;G0512;10942;Zuid-Holland;P28;7882;7378;77;163;7138;868;2157;1826;313;385;210;867;191;16;129;12;9;15;;72;13;29;22;4;
Gorssel;G0239;10085;Gelderland;P25;4938;4676;66;69;4541;251;1036;1144;789;572;155;450;24;47;2;6;1;6;;2;14;1;18;23;1
Gouda;G0513;10302;Zuid-Holland;P28;17311;16535;282;352;15901;3474;4967;2863;711;624;371;936;356;461;597;103;223;60;;106;27;9;6;7;
Gouderak;G0514;11258;Zuid-Holland;P28;967;859;21;25;813;14;202;234;17;33;37;85;5;10;142;1;;;;27;3;;2;1;
Goudriaan;G0515;10450;Zuid-Holland;P28;331;297;2;9;286;1;5;165;3;17;3;40;1;;45;;;;;;;;;;
Goudswaard;G0516;10914;Zuid-Holland;P28;772;689;6;7;676;1;88;142;67;12;15;107;;;232;;;2;;;1;;9;;
Graauw en Langendam;G0665;10312;Zeeland;P29;1007;891;18;53;820;693;61;19;4;7;21;2;4;;3;;;1;;2;;1;2;;
Graft;G0389;10484;Noord-Holland;P27;644;605;11;15;579;129;182;49;15;108;45;10;14;19;1;1;1;;;1;;1;3;;
Gramsbergen;G0157;11339;Overijssel;P23;2140;2028;23;32;1973;45;198;656;657;99;140;70;1;93;4;;;4;;3;;;2;1;
Grathem;G0909;11008;Limburg;P31;737;717;4;3;710;696;;4;;;4;;;;;;;;5;;;1;;;
Grave;G0786;10165;Noord-Brabant;P30;1235;992;14;8;970;765;21;16;8;6;7;7;;;1;;;;114;;22;2;;1;
Grevenbicht;G0910;10624;Limburg;P31;853;820;21;23;776;539;12;24;26;3;155;;4;4;;1;4;2;2;;;;;;
Grijpskerk;G0016;10244;Groningen;P20;1924;1827;10;9;1808;5;154;1059;124;184;74;108;9;73;;2;;3;;;11;;2;;
Grijpskerke;G1067;10801;Zeeland;P29;487;453;2;0;451;1;4;298;81;4;1;3;;;54;;;2;;3;;;;;
Groede;G0667;11312;Zeeland;P29;1359;1242;36;27;1179;154;247;242;75;216;20;197;5;4;9;1;1;1;;;1;;5;1;
Groenlo;G0240;11094;Gelderland;P25;2055;1985;16;9;1960;1545;145;53;67;65;23;27;2;1;;1;2;;7;;3;1;;1;17
Groesbeek;G0241;10616;Gelderland;P25;3906;3742;81;118;3543;2389;115;101;82;22;117;19;6;4;2;2;3;1;664;;2;13;;1;
Groningen;G0014;10426;Groningen;P20;65121;60957;839;1337;58781;5032;18632;10569;3849;7211;2761;1901;3693;2331;51;790;89;586;;42;1048;57;18;121;
Gronsveld;G0911;10323;Limburg;P31;842;817;11;55;751;696;4;1;1;4;39;1;;;;;2;;3;;;;;;
Groot-Ammers;G0520;11205;Zuid-Holland;P28;885;796;7;5;784;5;39;361;9;71;20;58;2;;197;;;;;;;;;;
Grootebroek;G0391;11337;Noord-Holland;P27;1936;1860;3;7;1850;1540;131;13;1;85;4;14;4;1;;;;;;;;;;;
Grootegast;G0015;11080;Groningen;P20;3829;3606;41;50;3515;14;294;2065;261;251;106;70;31;389;3;1;1;13;;1;9;2;4;;
Grubbenvorst;G0912;10176;Limburg;P31;1201;1153;2;5;1146;1100;16;1;1;1;6;;1;1;;;;;19;;;;;;
Gulpen;G0913;11032;Limburg;P31;1525;1434;18;64;1352;1134;19;12;5;7;151;3;1;;;1;1;;12;;3;1;;2;
Haaften;G0242;10125;Gelderland;P25;1419;1264;35;30;1199;5;318;270;172;29;20;11;1;9;175;;;4;;5;23;;156;1;
Haaksbergen;G0158;11435;Overijssel;P23;4421;4280;39;26;4215;2853;553;141;31;406;114;41;14;6;4;1;27;4;2;1;4;1;8;1;
Haamstede;G1068;10701;Zeeland;P29;861;807;19;18;770;8;89;220;134;77;15;149;1;1;63;2;1;2;;3;1;;4;;
Haaren;G0788;11155;Noord-Brabant;P30;1093;1051;4;7;1040;986;2;2;;;1;;2;;;;5;;8;;;33;;;1
Haarlem;G0392;10357;Noord-Holland;P27;76341;72429;1187;1485;69757;17940;21633;9525;2736;5666;3644;2023;2987;1497;182;609;868;152;;53;65;38;28;82;29
Haarlemmerliede en Spaarnwoude;G0393;10508;Noord-Holland;P27;1663;1591;30;15;1546;808;208;176;74;65;42;82;35;21;16;;;;;;;;;;
Haarlemmermeer;G0394;11387;Noord-Holland;P27;15290;14476;252;196;14028;3016;2464;3653;1811;443;725;297;515;566;274;61;27;59;;20;29;44;10;10;4
Haarzuilens;G1069;10737;Utrecht;P26;244;232;2;0;230;192;3;7;19;;2;;;;7;;;;;;;;;;
Haastrecht;G0521;11049;Zuid-Holland;P28;1127;1095;9;7;1079;383;167;195;38;69;73;92;4;5;31;;3;;;14;4;;1;;
Haelen;G0914;10321;Limburg;P31;616;584;4;9;571;548;4;3;;5;8;;;;;1;;;;;;1;1;;
Hagestein;G0522;10297;Zuid-Holland;P28;470;442;4;7;431;140;16;30;11;2;4;16;6;2;47;1;;14;;139;;;2;1;
Halsteren;G0789;10387;Noord-Brabant;P30;3065;2932;62;64;2806;2251;74;92;25;34;45;27;7;2;4;;21;1;3;7;5;200;7;1;
Haps;G0790;11283;Noord-Brabant;P30;719;707;3;0;704;611;2;5;;;3;;;;1;;1;1;77;;2;1;;;
Harderwijk;G0243;10786;Gelderland;P25;4711;4525;75;43;4407;173;315;1149;1619;122;104;123;28;12;352;5;2;7;1;380;9;2;2;2;
Hardinxveld;G1070;10167;Zuid-Holland;P28;3655;3038;56;142;2840;15;859;607;53;92;75;212;28;5;547;55;1;13;;254;14;5;3;2;
Haren;G0017;11058;Groningen;P20;5247;4908;65;78;4765;93;929;1229;573;773;286;390;80;327;2;2;3;13;;1;35;3;5;21;
Harenkarspel;G0395;10963;Noord-Holland;P27;1574;1514;8;11;1495;890;171;92;4;229;20;6;29;19;2;16;10;1;;;1;;5;;
Harlingen;G0072;10909;Fryslân;P21;5956;5560;84;75;5401;733;1695;957;915;487;109;131;59;170;5;103;7;16;;;5;1;5;3;
Harmelen;G0318;10183;Utrecht;P26;1185;1141;12;6;1123;526;34;222;177;18;52;16;2;4;57;1;;10;;3;;;;1;
Haskerland;G0073;10022;Fryslân;P21;5310;4891;108;122;4661;428;905;785;916;405;81;87;99;732;5;5;6;161;;7;28;;10;1;
Hasselt;G0161;10115;Overijssel;P23;1216;1057;10;18;1029;50;96;502;161;56;20;28;6;37;29;;1;1;1;40;;;1;;
Hattem;G0244;10673;Gelderland;P25;2483;2349;14;64;2271;31;819;579;443;82;25;111;23;59;13;2;1;60;;7;;4;4;8;
Havelte;G0117;10186;Drenthe;P22;2010;1895;19;50;1826;25;441;194;87;346;189;450;9;49;;1;;1;2;3;2;;25;;2
Hazerswoude;G0524;11257;Zuid-Holland;P28;2327;2200;22;17;2161;801;66;620;442;13;47;15;1;4;99;;1;17;;23;7;2;3;;
Hedel;G0245;10982;Gelderland;P25;946;946;26;14;906;387;79;136;49;1;35;6;7;;152;2;2;4;2;36;1;;7;;
Heel en Panheel;G0915;11208;Limburg;P31;1117;1097;4;11;1082;1050;9;1;;;12;;1;;;;;;6;;1;;1;1;
Heemskerk;G0396;10679;Noord-Holland;P27;2135;2066;7;16;2043;1514;145;53;97;88;60;1;53;14;3;;;;;;;;;;
Heemstede;G0397;11288;Noord-Holland;P27;10205;9694;130;102;9462;3187;892;1820;530;787;706;927;112;313;31;18;61;22;;1;17;1;2;21;11
Heenvliet;G0525;10823;Zuid-Holland;P28;708;641;13;18;610;5;174;85;23;73;26;98;96;6;6;4;;3;;1;1;;8;1;
Heer;G0916;11407;Limburg;P31;2458;2362;44;149;2169;1482;397;26;6;23;152;3;10;3;1;3;33;1;3;;6;11;6;;3
Heerde;G0246;10291;Gelderland;P25;4727;4501;85;109;4307;29;980;1214;1260;195;65;344;7;87;18;;;;;;;;;;
Heerenveen;G0074;10680;Fryslân;P21;11948;11114;177;312;10625;398;3120;1617;928;1576;175;288;1235;995;55;48;17;36;;6;77;1;50;3;
Heerewaarden;G0247;10067;Gelderland;P25;606;528;7;15;506;5;242;56;1;79;20;75;1;13;1;;1;;2;;;;10;;
Heerhugowaard;G0398;10752;Noord-Holland;P27;2404;2302;10;18;2274;1434;208;156;35;314;39;15;37;8;2;2;3;3;;2;14;;2;;
Heerjansdam;G0526;10540;Zuid-Holland;P28;662;627;8;2;617;;146;188;160;13;12;33;;1;49;;;4;;;10;;1;;
Heerlen;G0917;10902;Limburg;P31;19857;19192;371;455;18366;12336;2319;769;421;122;1024;92;722;145;13;44;185;9;9;;7;63;8;8;70
Heesch;G0791;10149;Noord-Brabant;P30;1450;1397;9;11;1377;1081;7;3;12;;5;;;;1;1;1;;264;;;;1;1;
Heeswijk;G1072;11229;Noord-Brabant;P30;789;766;4;2;760;718;1;;;;1;;;;;;4;;34;;;2;;;
Heeze;G0793;10462;Noord-Brabant;P30;1598;1556;7;16;1533;1396;7;11;53;6;23;1;2;;;;1;1;30;;;;;2;
Hei- en Boeicop;G0527;11024;Zuid-Holland;P28;368;330;0;6;324;;9;106;10;3;4;19;3;1;113;;;;;;;;;;
Heiloo;G0399;10793;Noord-Holland;P27;4024;3824;46;34;3744;1482;694;349;60;538;178;266;49;45;7;7;27;10;;1;16;;1;4;
Heinenoord;G0528;10821;Zuid-Holland;P28;1103;987;5;13;969;9;162;307;154;29;45;70;2;6;155;3;1;9;;4;5;1;6;1;
Heinkenszand;G0672;10413;Zeeland;P29;1026;974;12;6;956;472;18;139;178;53;25;29;2;;35;;;;;;4;1;;;
Heino;G0162;10854;Overijssel;P23;1483;1430;3;5;1422;703;117;119;363;71;11;10;1;15;1;1;6;1;1;2;;;;;
Hekelingen;G1074;10873;Zuid-Holland;P28;599;551;8;6;537;2;219;99;35;59;15;45;15;1;34;;;2;;;;;11;;
Hekendorp;G1075;10217;Zuid-Holland;P28;356;340;2;4;334;85;8;77;52;3;36;22;;4;26;;;;;;;;;;
Helden;G0918;10205;Limburg;P31;3016;2952;23;31;2898;2821;7;1;1;4;54;1;;;;;;;5;;;;;;
Hellendoorn;G0163;10806;Overijssel;P23;7339;7158;70;71;7017;1443;436;1622;1804;165;112;147;48;765;111;11;10;2;;15;318;1;4;;3
Hellevoetsluis;G0530;11078;Zuid-Holland;P28;852;778;8;22;748;19;209;147;124;93;15;104;5;8;15;2;2;2;;1;2;;;;
Helmond;G0794;10932;Noord-Brabant;P30;12832;12306;188;346;11772;9380;1211;232;94;98;190;58;139;11;5;4;137;2;87;8;28;74;9;5;
Helvoirt;G0795;10389;Noord-Brabant;P30;1107;1047;5;4;1038;931;6;6;35;1;3;5;;;2;;10;;27;;;12;;;
Hemelumer Oldephaert en Noordwolde;G1260;10334;Fryslân;P21;2777;2599;23;26;2550;91;197;601;1156;158;35;37;6;86;26;4;;129;;7;15;;2;;
Hemmen;G1076;11162;Gelderland;P25;119;113;1;3;109;;;28;36;1;17;2;;1;22;;;1;;1;;;;;
Hendrik-Ido-Ambacht;G0531;10416;Zuid-Holland;P28;2501;2324;20;54;2250;13;472;663;280;53;46;209;8;5;472;1;;15;;6;3;1;3;;
Hengelo;G0248;10359;Gelderland;P25;2631;2510;29;26;2455;790;246;566;409;224;39;65;3;5;39;1;16;2;38;;3;1;7;1;
Hengelo;G0164;10907;Overijssel;P23;20990;20391;265;513;19613;5877;5901;1830;663;1672;704;668;565;1004;27;145;414;7;8;11;74;6;23;10;4
Hennaarderadeel;G0076;10877;Fryslân;P21;2518;2371;20;5;2346;97;250;478;1036;225;34;90;8;75;3;;;29;;1;19;;1;;
Hensbroek;G0401;10181;Noord-Holland;P27;475;446;1;11;434;219;33;5;5;126;10;7;16;2;2;2;;10;;;2;;1;;
Herkingen;G1078;10267;Zuid-Holland;P28;521;410;5;11;394;;15;138;3;10;12;8;3;;156;1;;;;47;;1;;;
Herpen;G1079;11262;Noord-Brabant;P30;880;853;3;6;844;687;4;;1;4;2;;;3;1;;1;;139;;;;;2;
Herten;G0919;10138;Limburg;P31;718;693;2;8;683;606;4;4;2;4;10;;;;;;;;;;;;;1;
Herwen en Aerdt;G0249;10819;Gelderland;P25;2659;2408;49;46;2313;1449;154;92;104;80;33;3;4;10;6;1;6;2;357;;;2;9;1;
Herwijnen;G0250;11266;Gelderland;P25;986;906;30;12;864;;173;262;144;5;24;2;2;6;49;;1;;;31;4;;161;;
Het Bildt;G0063;10128;Fryslân;P21;4920;4678;63;60;4555;27;1110;1335;654;668;101;125;120;208;2;165;1;4;;1;17;2;15;;
Heteren;G0251;10290;Gelderland;P25;2033;1942;14;23;1905;931;62;274;231;18;68;20;2;;189;2;2;5;45;46;;1;9;;
Heukelum;G0533;11308;Zuid-Holland;P28;925;876;16;21;839;4;248;285;64;60;15;47;6;1;24;3;;1;;10;1;;21;;
Heumen;G0252;10600;Gelderland;P25;1480;1152;5;5;1142;962;21;16;8;5;17;2;1;;;;1;;101;1;3;2;1;1;
Heusden;G0797;10307;Noord-Brabant;P30;1526;1429;19;21;1389;914;86;103;135;21;23;22;3;1;29;;10;12;11;1;6;12;;;
Heythuysen;G0920;10840;Limburg;P31;1291;1262;13;9;1240;1214;1;6;;1;13;4;;;;;1;;7;;;1;;;
Hillegersberg;G1081;10227;Zuid-Holland;P28;12140;11523;164;232;11127;1793;1858;2883;1104;761;959;1077;80;138;201;55;51;104;;9;16;9;8;21;
Hillegom;G0534;11236;Zuid-Holland;P28;5638;5359;50;23;5286;2620;626;721;539;88;184;131;35;131;61;2;91;31;;1;10;2;3;2;
Hilvarenbeek;G0798;11297;Noord-Brabant;P30;2126;2067;7;15;2045;1677;17;14;36;29;6;18;;;;;28;;7;;1;202;10;;
Hilversum;G0402;11285;Noord-Holland;P27;38201;36875;566;723;35586;6947;8938;6778;2812;2353;1923;1900;1102;674;485;287;585;63;;505;42;31;33;123;5
Hindeloopen;G0077;10672;Fryslân;P21;528;486;7;2;477;9;147;72;154;40;1;6;6;35;;;1;3;;;1;;2;;
